TEAM,ABBREVIATION,DIVISION
Los Angeles Angels,LAA,AL WEST
Arizona Diamondbacks,ARI,NL WEST
Philadelphia Phillies,PHI,NL EAST
Detroit Tigers,DET,AL CENTRAL
Colorado Rockies,COL,NL WEST
Los Angeles Dodgers,LAD,NL WEST
Boston Red Sox,BOS,AL EAST
Cincinnati Reds,CIN,NL CENTRAL
Cleveland Indians,CLE,AL CENTRAL
Kansas City Royals,KCR,AL CENTRAL
Milwaukee Brewers,MIL,NL CENTRAL
Houston Astros,HOU,AL WEST
St. Louis Cardinals,STL,NL CENTRAL
Baltimore Orioles,BAL,AL EAST
San Francisco Giants,SFG,NL WEST
San Diego Padres,SDP,NL WEST
Pittsburgh Pirates,PIT,NL CENTRAL
Seattle Mariners,SEA,AL WEST
New York Mets,NYM,NL EAST
Texas Rangers,TEX,AL WEST
Tampa Bay Rays,TBR,AL EAST
Chicago White Sox,CHW,AL CENTRAL
Chicago Cubs,CHC,NL CENTRAL
New York Yankees,NYY,AL EAST
Washington Nationals,WSN,NL EAST
Minnesota Twins,MIN,AL CENTRAL
Toronto Blue Jays,TOR,AL EAST
Miami Marlins,MIA,NL EAST
Oakland Athletics,OAK,AL WEST
Atlanta Braves,ATL,NL EAST
