Gm#,Date,Tm,@,Opp,last_opp,new_series,series
1,2022-04-07,ARI,,SDP,,True,1.0
2,2022-04-08,ARI,,SDP,SDP,False,1.0
3,2022-04-09,ARI,,SDP,SDP,False,1.0
4,2022-04-10,ARI,,SDP,SDP,False,1.0
5,2022-04-12,ARI,,HOU,SDP,True,2.0
6,2022-04-13,ARI,,HOU,HOU,False,2.0
7,2022-04-15,ARI,@,NYM,HOU,True,3.0
8,2022-04-16,ARI,@,NYM,NYM,False,3.0
9,2022-04-17,ARI,@,NYM,NYM,False,3.0
10,2022-04-19,ARI,@,WSN,NYM,True,4.0
11,2022-04-19,ARI,@,WSN,WSN,False,4.0
12,2022-04-20,ARI,@,WSN,WSN,False,4.0
13,2022-04-21,ARI,@,WSN,WSN,False,4.0
14,2022-04-22,ARI,,NYM,WSN,True,5.0
15,2022-04-23,ARI,,NYM,NYM,False,5.0
16,2022-04-24,ARI,,NYM,NYM,False,5.0
17,2022-04-25,ARI,,LAD,NYM,True,6.0
18,2022-04-26,ARI,,LAD,LAD,False,6.0
19,2022-04-27,ARI,,LAD,LAD,False,6.0
20,2022-04-28,ARI,@,STL,LAD,True,7.0
21,2022-04-29,ARI,@,STL,STL,False,7.0
22,2022-04-30,ARI,@,STL,STL,False,7.0
23,2022-05-01,ARI,@,STL,STL,False,7.0
24,2022-05-02,ARI,@,MIA,STL,True,8.0
25,2022-05-03,ARI,@,MIA,MIA,False,8.0
26,2022-05-04,ARI,@,MIA,MIA,False,8.0
27,2022-05-06,ARI,,COL,MIA,True,9.0
28,2022-05-07,ARI,,COL,COL,False,9.0
29,2022-05-08,ARI,,COL,COL,False,9.0
30,2022-05-09,ARI,,MIA,COL,True,10.0
31,2022-05-10,ARI,,MIA,MIA,False,10.0
32,2022-05-11,ARI,,MIA,MIA,False,10.0
33,2022-05-13,ARI,,CHC,MIA,True,11.0
34,2022-05-14,ARI,,CHC,CHC,False,11.0
35,2022-05-15,ARI,,CHC,CHC,False,11.0
36,2022-05-16,ARI,@,LAD,CHC,True,12.0
37,2022-05-17,ARI,@,LAD,LAD,False,12.0
38,2022-05-17,ARI,@,LAD,LAD,False,12.0
39,2022-05-18,ARI,@,LAD,LAD,False,12.0
40,2022-05-19,ARI,@,CHC,LAD,True,13.0
41,2022-05-20,ARI,@,CHC,CHC,False,13.0
42,2022-05-21,ARI,@,CHC,CHC,False,13.0
43,2022-05-22,ARI,@,CHC,CHC,False,13.0
44,2022-05-23,ARI,,KCR,CHC,True,14.0
45,2022-05-24,ARI,,KCR,KCR,False,14.0
46,2022-05-26,ARI,,LAD,KCR,True,15.0
47,2022-05-27,ARI,,LAD,LAD,False,15.0
48,2022-05-28,ARI,,LAD,LAD,False,15.0
49,2022-05-29,ARI,,LAD,LAD,False,15.0
50,2022-05-30,ARI,,ATL,LAD,True,16.0
51,2022-05-31,ARI,,ATL,ATL,False,16.0
52,2022-06-01,ARI,,ATL,ATL,False,16.0
53,2022-06-03,ARI,@,PIT,ATL,True,17.0
54,2022-06-04,ARI,@,PIT,PIT,False,17.0
55,2022-06-05,ARI,@,PIT,PIT,False,17.0
56,2022-06-06,ARI,@,CIN,PIT,True,18.0
57,2022-06-07,ARI,@,CIN,CIN,False,18.0
58,2022-06-08,ARI,@,CIN,CIN,False,18.0
59,2022-06-09,ARI,@,CIN,CIN,False,18.0
60,2022-06-10,ARI,@,PHI,CIN,True,19.0
61,2022-06-11,ARI,@,PHI,PHI,False,19.0
62,2022-06-12,ARI,@,PHI,PHI,False,19.0
63,2022-06-13,ARI,,CIN,PHI,True,20.0
64,2022-06-14,ARI,,CIN,CIN,False,20.0
65,2022-06-15,ARI,,CIN,CIN,False,20.0
66,2022-06-17,ARI,,MIN,CIN,True,21.0
67,2022-06-18,ARI,,MIN,MIN,False,21.0
68,2022-06-19,ARI,,MIN,MIN,False,21.0
69,2022-06-20,ARI,@,SDP,MIN,True,22.0
70,2022-06-21,ARI,@,SDP,SDP,False,22.0
71,2022-06-22,ARI,@,SDP,SDP,False,22.0
72,2022-06-24,ARI,,DET,SDP,True,23.0
73,2022-06-25,ARI,,DET,DET,False,23.0
74,2022-06-26,ARI,,DET,DET,False,23.0
75,2022-06-28,ARI,,SDP,DET,True,24.0
76,2022-06-29,ARI,,SDP,SDP,False,24.0
77,2022-07-01,ARI,@,COL,SDP,True,25.0
78,2022-07-02,ARI,@,COL,COL,False,25.0
79,2022-07-03,ARI,@,COL,COL,False,25.0
80,2022-07-04,ARI,,SFG,COL,True,26.0
81,2022-07-05,ARI,,SFG,SFG,False,26.0
82,2022-07-06,ARI,,SFG,SFG,False,26.0
83,2022-07-07,ARI,,COL,SFG,True,27.0
84,2022-07-08,ARI,,COL,COL,False,27.0
85,2022-07-09,ARI,,COL,COL,False,27.0
86,2022-07-10,ARI,,COL,COL,False,27.0
87,2022-07-11,ARI,@,SFG,COL,True,28.0
88,2022-07-12,ARI,@,SFG,SFG,False,28.0
89,2022-07-13,ARI,@,SFG,SFG,False,28.0
