Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2024-03-28,ARI,,COL,2:37,N,,ARI
2,2024-03-29,ARI,,COL,2:36,N,,ARI
3,2024-03-30,ARI,,COL,3:17,N,,ARI
4,2024-03-31,ARI,,COL,2:22,D,,ARI
5,2024-04-01,ARI,,NYY,2:59,N,,ARI
6,2024-04-02,ARI,,NYY,2:27,N,,ARI
7,2024-04-03,ARI,,NYY,3:04,D,,ARI
8,2024-04-05,ARI,@,ATL,3:10,N,,ATL
9,2024-04-06,ARI,@,ATL,2:49,N,,ATL
10,2024-04-07,ARI,@,ATL,2:30,D,,ATL
11,2024-04-08,ARI,@,COL,3:07,N,,COL
12,2024-04-09,ARI,@,COL,2:38,N,,COL
13,2024-04-10,ARI,@,COL,2:53,D,,COL
14,2024-04-12,ARI,,STL,2:44,N,,ARI
15,2024-04-13,ARI,,STL,2:22,N,,ARI
16,2024-04-14,ARI,,STL,2:29,D,,ARI
17,2024-04-15,ARI,,CHC,3:16,N,,ARI
18,2024-04-16,ARI,,CHC,3:38,N,,ARI
19,2024-04-17,ARI,,CHC,2:26,D,,ARI
20,2024-04-18,ARI,@,SFG,2:12,N,,SFG
21,2024-04-19,ARI,@,SFG,3:00,N,,SFG
22,2024-04-20,ARI,@,SFG,2:34,D,,SFG
23,2024-04-21,ARI,@,SFG,2:40,D,,SFG
24,2024-04-22,ARI,@,STL,2:30,N,,STL
25,2024-04-23,ARI,@,STL,2:37,N,,STL
26,2024-04-24,ARI,@,STL,2:21,D,,STL
27,2024-04-26,ARI,@,SEA,2:09,N,,SEA
28,2024-04-27,ARI,@,SEA,2:16,N,,SEA
29,2024-04-28,ARI,@,SEA,2:26,D,,SEA
30,2024-04-29,ARI,,LAD,2:50,N,,ARI
31,2024-04-30,ARI,,LAD,2:47,N,,ARI
32,2024-05-01,ARI,,LAD,2:49,N,,ARI
33,2024-05-03,ARI,,SDP,2:36,N,,ARI
34,2024-05-04,ARI,,SDP,2:50,N,,ARI
35,2024-05-05,ARI,,SDP,2:39,D,,ARI
36,2024-05-07,ARI,@,CIN,2:27,N,,CIN
