Gm#,Date,Tm,@,Opp,away,lag,seg_start,seg
1,2024-03-28,ARI,,COL,0,,True,1.0
2,2024-03-29,ARI,,COL,0,0.0,False,1.0
3,2024-03-30,ARI,,COL,0,0.0,False,1.0
4,2024-03-31,ARI,,COL,0,0.0,False,1.0
5,2024-04-01,ARI,,NYY,0,0.0,False,1.0
6,2024-04-02,ARI,,NYY,0,0.0,False,1.0
7,2024-04-03,ARI,,NYY,0,0.0,False,1.0
8,2024-04-05,ARI,@,ATL,1,0.0,True,2.0
9,2024-04-06,ARI,@,ATL,1,1.0,False,2.0
10,2024-04-07,ARI,@,ATL,1,1.0,False,2.0
11,2024-04-08,ARI,@,COL,1,1.0,False,2.0
12,2024-04-09,ARI,@,COL,1,1.0,False,2.0
13,2024-04-10,ARI,@,COL,1,1.0,False,2.0
14,2024-04-12,ARI,,STL,0,1.0,True,3.0
15,2024-04-13,ARI,,STL,0,0.0,False,3.0
16,2024-04-14,ARI,,STL,0,0.0,False,3.0
17,2024-04-15,ARI,,CHC,0,0.0,False,3.0
18,2024-04-16,ARI,,CHC,0,0.0,False,3.0
19,2024-04-17,ARI,,CHC,0,0.0,False,3.0
20,2024-04-18,ARI,@,SFG,1,0.0,True,4.0
21,2024-04-19,ARI,@,SFG,1,1.0,False,4.0
22,2024-04-20,ARI,@,SFG,1,1.0,False,4.0
23,2024-04-21,ARI,@,SFG,1,1.0,False,4.0
24,2024-04-22,ARI,@,STL,1,1.0,False,4.0
25,2024-04-23,ARI,@,STL,1,1.0,False,4.0
26,2024-04-24,ARI,@,STL,1,1.0,False,4.0
27,2024-04-26,ARI,@,SEA,1,1.0,False,4.0
28,2024-04-27,ARI,@,SEA,1,1.0,False,4.0
29,2024-04-28,ARI,@,SEA,1,1.0,False,4.0
30,2024-04-29,ARI,,LAD,0,1.0,True,5.0
31,2024-04-30,ARI,,LAD,0,0.0,False,5.0
32,2024-05-01,ARI,,LAD,0,0.0,False,5.0
33,2024-05-03,ARI,,SDP,0,0.0,False,5.0
34,2024-05-04,ARI,,SDP,0,0.0,False,5.0
35,2024-05-05,ARI,,SDP,0,0.0,False,5.0
36,2024-05-07,ARI,@,CIN,1,0.0,True,6.0
37,2024-05-08,ARI,@,CIN,1,1.0,False,6.0
38,2024-05-09,ARI,@,CIN,1,1.0,False,6.0
39,2024-05-10,ARI,@,BAL,1,1.0,False,6.0
40,2024-05-11,ARI,@,BAL,1,1.0,False,6.0
41,2024-05-12,ARI,@,BAL,1,1.0,False,6.0
42,2024-05-13,ARI,,CIN,0,1.0,True,7.0
43,2024-05-14,ARI,,CIN,0,0.0,False,7.0
44,2024-05-15,ARI,,CIN,0,0.0,False,7.0
45,2024-05-17,ARI,,DET,0,0.0,False,7.0
46,2024-05-18,ARI,,DET,0,0.0,False,7.0
47,2024-05-19,ARI,,DET,0,0.0,False,7.0
48,2024-05-20,ARI,@,LAD,1,0.0,True,8.0
49,2024-05-21,ARI,@,LAD,1,1.0,False,8.0
50,2024-05-22,ARI,@,LAD,1,1.0,False,8.0
51,2024-05-24,ARI,,MIA,0,1.0,True,9.0
52,2024-05-25,ARI,,MIA,0,0.0,False,9.0
53,2024-05-26,ARI,,MIA,0,0.0,False,9.0
54,2024-05-28,ARI,@,TEX,1,0.0,True,10.0
55,2024-05-29,ARI,@,TEX,1,1.0,False,10.0
56,2024-05-30,ARI,@,NYM,1,1.0,False,10.0
57,2024-05-31,ARI,@,NYM,1,1.0,False,10.0
58,2024-06-01,ARI,@,NYM,1,1.0,False,10.0
59,2024-06-02,ARI,@,NYM,1,1.0,False,10.0
60,2024-06-03,ARI,,SFG,0,1.0,True,11.0
61,2024-06-04,ARI,,SFG,0,0.0,False,11.0
62,2024-06-05,ARI,,SFG,0,0.0,False,11.0
63,2024-06-06,ARI,@,SDP,1,0.0,True,12.0
64,2024-06-07,ARI,@,SDP,1,1.0,False,12.0
65,2024-06-08,ARI,@,SDP,1,1.0,False,12.0
66,2024-06-09,ARI,@,SDP,1,1.0,False,12.0
67,2024-06-11,ARI,,LAA,0,1.0,True,13.0
