Gm#,Date,Tm,@,Opp,away,lag,seg_start,seg
1,2022-04-08,BOS,@,NYY,1,,True,1.0
2,2022-04-09,BOS,@,NYY,1,1.0,False,1.0
3,2022-04-10,BOS,@,NYY,1,1.0,False,1.0
4,2022-04-11,BOS,@,DET,1,1.0,False,1.0
5,2022-04-12,BOS,@,DET,1,1.0,False,1.0
6,2022-04-13,BOS,@,DET,1,1.0,False,1.0
7,2022-04-15,BOS,,MIN,0,1.0,True,2.0
8,2022-04-16,BOS,,MIN,0,0.0,False,2.0
9,2022-04-17,BOS,,MIN,0,0.0,False,2.0
10,2022-04-18,BOS,,MIN,0,0.0,False,2.0
11,2022-04-19,BOS,,TOR,0,0.0,False,2.0
12,2022-04-20,BOS,,TOR,0,0.0,False,2.0
13,2022-04-21,BOS,,TOR,0,0.0,False,2.0
14,2022-04-22,BOS,@,TBR,1,0.0,True,3.0
15,2022-04-23,BOS,@,TBR,1,1.0,False,3.0
16,2022-04-24,BOS,@,TBR,1,1.0,False,3.0
17,2022-04-25,BOS,@,TOR,1,1.0,False,3.0
18,2022-04-26,BOS,@,TOR,1,1.0,False,3.0
19,2022-04-27,BOS,@,TOR,1,1.0,False,3.0
20,2022-04-28,BOS,@,TOR,1,1.0,False,3.0
21,2022-04-29,BOS,@,BAL,1,1.0,False,3.0
22,2022-04-30,BOS,@,BAL,1,1.0,False,3.0
23,2022-05-01,BOS,@,BAL,1,1.0,False,3.0
24,2022-05-03,BOS,,LAA,0,1.0,True,4.0
25,2022-05-04,BOS,,LAA,0,0.0,False,4.0
26,2022-05-05,BOS,,LAA,0,0.0,False,4.0
27,2022-05-06,BOS,,CHW,0,0.0,False,4.0
28,2022-05-07,BOS,,CHW,0,0.0,False,4.0
29,2022-05-08,BOS,,CHW,0,0.0,False,4.0
30,2022-05-10,BOS,@,ATL,1,0.0,True,5.0
31,2022-05-11,BOS,@,ATL,1,1.0,False,5.0
32,2022-05-13,BOS,@,TEX,1,1.0,False,5.0
33,2022-05-14,BOS,@,TEX,1,1.0,False,5.0
34,2022-05-15,BOS,@,TEX,1,1.0,False,5.0
35,2022-05-16,BOS,,HOU,0,1.0,True,6.0
36,2022-05-17,BOS,,HOU,0,0.0,False,6.0
37,2022-05-18,BOS,,HOU,0,0.0,False,6.0
38,2022-05-19,BOS,,SEA,0,0.0,False,6.0
39,2022-05-20,BOS,,SEA,0,0.0,False,6.0
