Gm#,Date,Tm,@,Opp,last_opp,new_series,series
1,2022-04-08,BOS,@,NYY,,True,1.0
2,2022-04-09,BOS,@,NYY,NYY,False,1.0
3,2022-04-10,BOS,@,NYY,NYY,False,1.0
4,2022-04-11,BOS,@,DET,NYY,True,2.0
5,2022-04-12,BOS,@,DET,DET,False,2.0
6,2022-04-13,BOS,@,DET,DET,False,2.0
7,2022-04-15,BOS,,MIN,DET,True,3.0
8,2022-04-16,BOS,,MIN,MIN,False,3.0
9,2022-04-17,BOS,,MIN,MIN,False,3.0
10,2022-04-18,BOS,,MIN,MIN,False,3.0
11,2022-04-19,BOS,,TOR,MIN,True,4.0
12,2022-04-20,BOS,,TOR,TOR,False,4.0
13,2022-04-21,BOS,,TOR,TOR,False,4.0
14,2022-04-22,BOS,@,TBR,TOR,True,5.0
15,2022-04-23,BOS,@,TBR,TBR,False,5.0
16,2022-04-24,BOS,@,TBR,TBR,False,5.0
17,2022-04-25,BOS,@,TOR,TBR,True,6.0
18,2022-04-26,BOS,@,TOR,TOR,False,6.0
19,2022-04-27,BOS,@,TOR,TOR,False,6.0
20,2022-04-28,BOS,@,TOR,TOR,False,6.0
21,2022-04-29,BOS,@,BAL,TOR,True,7.0
22,2022-04-30,BOS,@,BAL,BAL,False,7.0
23,2022-05-01,BOS,@,BAL,BAL,False,7.0
24,2022-05-03,BOS,,LAA,BAL,True,8.0
25,2022-05-04,BOS,,LAA,LAA,False,8.0
26,2022-05-05,BOS,,LAA,LAA,False,8.0
27,2022-05-06,BOS,,CHW,LAA,True,9.0
28,2022-05-07,BOS,,CHW,CHW,False,9.0
29,2022-05-08,BOS,,CHW,CHW,False,9.0
30,2022-05-10,BOS,@,ATL,CHW,True,10.0
31,2022-05-11,BOS,@,ATL,ATL,False,10.0
32,2022-05-13,BOS,@,TEX,ATL,True,11.0
33,2022-05-14,BOS,@,TEX,TEX,False,11.0
34,2022-05-15,BOS,@,TEX,TEX,False,11.0
35,2022-05-16,BOS,,HOU,TEX,True,12.0
36,2022-05-17,BOS,,HOU,HOU,False,12.0
37,2022-05-18,BOS,,HOU,HOU,False,12.0
38,2022-05-19,BOS,,SEA,HOU,True,13.0
39,2022-05-20,BOS,,SEA,SEA,False,13.0
40,2022-05-21,BOS,,SEA,SEA,False,13.0
41,2022-05-22,BOS,,SEA,SEA,False,13.0
42,2022-05-24,BOS,@,CHW,SEA,True,14.0
43,2022-05-25,BOS,@,CHW,CHW,False,14.0
44,2022-05-26,BOS,@,CHW,CHW,False,14.0
45,2022-05-27,BOS,,BAL,CHW,True,15.0
46,2022-05-28,BOS,,BAL,BAL,False,15.0
47,2022-05-28,BOS,,BAL,BAL,False,15.0
48,2022-05-29,BOS,,BAL,BAL,False,15.0
49,2022-05-30,BOS,,BAL,BAL,False,15.0
50,2022-05-31,BOS,,CIN,BAL,True,16.0
51,2022-06-01,BOS,,CIN,CIN,False,16.0
52,2022-06-03,BOS,@,OAK,CIN,True,17.0
53,2022-06-04,BOS,@,OAK,OAK,False,17.0
54,2022-06-05,BOS,@,OAK,OAK,False,17.0
55,2022-06-06,BOS,@,LAA,OAK,True,18.0
56,2022-06-07,BOS,@,LAA,LAA,False,18.0
57,2022-06-08,BOS,@,LAA,LAA,False,18.0
58,2022-06-09,BOS,@,LAA,LAA,False,18.0
59,2022-06-10,BOS,@,SEA,LAA,True,19.0
60,2022-06-11,BOS,@,SEA,SEA,False,19.0
61,2022-06-12,BOS,@,SEA,SEA,False,19.0
62,2022-06-14,BOS,,OAK,SEA,True,20.0
63,2022-06-15,BOS,,OAK,OAK,False,20.0
64,2022-06-16,BOS,,OAK,OAK,False,20.0
65,2022-06-17,BOS,,STL,OAK,True,21.0
66,2022-06-18,BOS,,STL,STL,False,21.0
67,2022-06-19,BOS,,STL,STL,False,21.0
68,2022-06-20,BOS,,DET,STL,True,22.0
69,2022-06-21,BOS,,DET,DET,False,22.0
70,2022-06-22,BOS,,DET,DET,False,22.0
71,2022-06-24,BOS,@,CLE,DET,True,23.0
72,2022-06-25,BOS,@,CLE,CLE,False,23.0
73,2022-06-26,BOS,@,CLE,CLE,False,23.0
74,2022-06-27,BOS,@,TOR,CLE,True,24.0
75,2022-06-28,BOS,@,TOR,TOR,False,24.0
76,2022-06-29,BOS,@,TOR,TOR,False,24.0
77,2022-07-01,BOS,@,CHC,TOR,True,25.0
78,2022-07-02,BOS,@,CHC,CHC,False,25.0
79,2022-07-03,BOS,@,CHC,CHC,False,25.0
80,2022-07-04,BOS,,TBR,CHC,True,26.0
81,2022-07-05,BOS,,TBR,TBR,False,26.0
82,2022-07-06,BOS,,TBR,TBR,False,26.0
83,2022-07-07,BOS,,NYY,TBR,True,27.0
84,2022-07-08,BOS,,NYY,NYY,False,27.0
85,2022-07-09,BOS,,NYY,NYY,False,27.0
86,2022-07-10,BOS,,NYY,NYY,False,27.0
87,2022-07-11,BOS,@,TBR,NYY,True,28.0
88,2022-07-12,BOS,@,TBR,TBR,False,28.0
89,2022-07-13,BOS,@,TBR,TBR,False,28.0
90,2022-07-14,BOS,@,TBR,TBR,False,28.0
91,2022-07-15,BOS,@,NYY,TBR,True,29.0
92,2022-07-16,BOS,@,NYY,NYY,False,29.0
93,2022-07-17,BOS,@,NYY,NYY,False,29.0
94,2022-07-22,BOS,,TOR,NYY,True,30.0
95,2022-07-23,BOS,,TOR,TOR,False,30.0
96,2022-07-24,BOS,,TOR,TOR,False,30.0
97,2022-07-25,BOS,,CLE,TOR,True,31.0
98,2022-07-26,BOS,,CLE,CLE,False,31.0
99,2022-07-27,BOS,,CLE,CLE,False,31.0
100,2022-07-28,BOS,,CLE,CLE,False,31.0
101,2022-07-29,BOS,,MIL,CLE,True,32.0
102,2022-07-30,BOS,,MIL,MIL,False,32.0
103,2022-07-31,BOS,,MIL,MIL,False,32.0
104,2022-08-01,BOS,@,HOU,MIL,True,33.0
105,2022-08-02,BOS,@,HOU,HOU,False,33.0
106,2022-08-03,BOS,@,HOU,HOU,False,33.0
107,2022-08-04,BOS,@,KCR,HOU,True,34.0
108,2022-08-05,BOS,@,KCR,KCR,False,34.0
109,2022-08-06,BOS,@,KCR,KCR,False,34.0
110,2022-08-07,BOS,@,KCR,KCR,False,34.0
111,2022-08-09,BOS,,ATL,KCR,True,35.0
112,2022-08-10,BOS,,ATL,ATL,False,35.0
113,2022-08-11,BOS,,BAL,ATL,True,36.0
114,2022-08-12,BOS,,NYY,BAL,True,37.0
115,2022-08-13,BOS,,NYY,NYY,False,37.0
116,2022-08-14,BOS,,NYY,NYY,False,37.0
117,2022-08-16,BOS,@,PIT,NYY,True,38.0
118,2022-08-17,BOS,@,PIT,PIT,False,38.0
119,2022-08-18,BOS,@,PIT,PIT,False,38.0
120,2022-08-19,BOS,@,BAL,PIT,True,39.0
121,2022-08-20,BOS,@,BAL,BAL,False,39.0
122,2022-08-21,BOS,@,BAL,BAL,False,39.0
123,2022-08-23,BOS,,TOR,BAL,True,40.0
124,2022-08-24,BOS,,TOR,TOR,False,40.0
125,2022-08-25,BOS,,TOR,TOR,False,40.0
126,2022-08-26,BOS,,TBR,TOR,True,41.0
127,2022-08-27,BOS,,TBR,TBR,False,41.0
128,2022-08-28,BOS,,TBR,TBR,False,41.0
129,2022-08-29,BOS,@,MIN,TBR,True,42.0
130,2022-08-30,BOS,@,MIN,MIN,False,42.0
131,2022-08-31,BOS,@,MIN,MIN,False,42.0
132,2022-09-01,BOS,,TEX,MIN,True,43.0
133,2022-09-02,BOS,,TEX,TEX,False,43.0
134,2022-09-03,BOS,,TEX,TEX,False,43.0
135,2022-09-04,BOS,,TEX,TEX,False,43.0
136,2022-09-05,BOS,@,TBR,TEX,True,44.0
137,2022-09-06,BOS,@,TBR,TBR,False,44.0
138,2022-09-07,BOS,@,TBR,TBR,False,44.0
139,2022-09-09,BOS,@,BAL,TBR,True,45.0
140,2022-09-10,BOS,@,BAL,BAL,False,45.0
141,2022-09-11,BOS,@,BAL,BAL,False,45.0
142,2022-09-13,BOS,,NYY,BAL,True,46.0
143,2022-09-14,BOS,,NYY,NYY,False,46.0
144,2022-09-16,BOS,,KCR,NYY,True,47.0
145,2022-09-17,BOS,,KCR,KCR,False,47.0
146,2022-09-18,BOS,,KCR,KCR,False,47.0
147,2022-09-20,BOS,@,CIN,KCR,True,48.0
148,2022-09-21,BOS,@,CIN,CIN,False,48.0
149,2022-09-22,BOS,@,NYY,CIN,True,49.0
150,2022-09-23,BOS,@,NYY,NYY,False,49.0
151,2022-09-24,BOS,@,NYY,NYY,False,49.0
152,2022-09-25,BOS,@,NYY,NYY,False,49.0
153,2022-09-26,BOS,,BAL,NYY,True,50.0
154,2022-09-27,BOS,,BAL,BAL,False,50.0
155,2022-09-28,BOS,,BAL,BAL,False,50.0
156,2022-09-29,BOS,,BAL,BAL,False,50.0
157,2022-09-30,BOS,@,TOR,BAL,True,51.0
158,2022-10-01,BOS,@,TOR,TOR,False,51.0
159,2022-10-02,BOS,@,TOR,TOR,False,51.0
160,2022-10-03,BOS,,TBR,TOR,True,52.0
161,2022-10-04,BOS,,TBR,TBR,False,52.0
162,2022-10-05,BOS,,TBR,TBR,False,52.0
