Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2024-03-28,BOS,@,SEA,2:45,N,,SEA
2,2024-03-29,BOS,@,SEA,2:24,N,,SEA
3,2024-03-30,BOS,@,SEA,2:46,N,,SEA
4,2024-03-31,BOS,@,SEA,2:32,D,,SEA
5,2024-04-01,BOS,@,OAK,2:31,N,,OAK
6,2024-04-02,BOS,@,OAK,3:04,N,,OAK
7,2024-04-03,BOS,@,OAK,2:21,D,,OAK
8,2024-04-05,BOS,@,LAA,3:11,N,,LAA
9,2024-04-06,BOS,@,LAA,2:42,N,,LAA
10,2024-04-07,BOS,@,LAA,2:56,D,,LAA
11,2024-04-09,BOS,,BAL,2:40,D,,BOS
12,2024-04-10,BOS,,BAL,2:41,N,,BOS
13,2024-04-11,BOS,,BAL,3:16,N,,BOS
14,2024-04-12,BOS,,LAA,2:20,N,,BOS
15,2024-04-13,BOS,,LAA,2:28,D,,BOS
16,2024-04-14,BOS,,LAA,2:55,D,,BOS
17,2024-04-15,BOS,,CLE,2:45,D,,BOS
18,2024-04-16,BOS,,CLE,3:37,N,,BOS
19,2024-04-17,BOS,,CLE,1:49,N,,BOS
20,2024-04-18,BOS,,CLE,2:39,D,,BOS
21,2024-04-19,BOS,@,PIT,2:22,N,,PIT
22,2024-04-20,BOS,@,PIT,2:48,D,,PIT
23,2024-04-21,BOS,@,PIT,2:52,D,,PIT
24,2024-04-23,BOS,@,CLE,2:18,N,,CLE
25,2024-04-24,BOS,@,CLE,2:28,N,,CLE
26,2024-04-25,BOS,@,CLE,2:49,D,,CLE
27,2024-04-26,BOS,,CHC,2:34,N,,BOS
28,2024-04-27,BOS,,CHC,2:40,D,,BOS
29,2024-04-28,BOS,,CHC,2:34,N,,BOS
30,2024-04-30,BOS,,SFG,2:32,N,,BOS
31,2024-05-01,BOS,,SFG,2:14,N,,BOS
32,2024-05-02,BOS,,SFG,2:21,D,,BOS
33,2024-05-03,BOS,@,MIN,2:21,N,,MIN
34,2024-05-04,BOS,@,MIN,2:34,D,,MIN
