Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2022-04-07,CHC,,MIL,3:18,D,,CHC
2,2022-04-09,CHC,,MIL,3:28,D,,CHC
3,2022-04-10,CHC,,MIL,3:03,D,,CHC
4,2022-04-12,CHC,@,PIT,2:51,D,,PIT
5,2022-04-13,CHC,@,PIT,2:49,D,,PIT
6,2022-04-14,CHC,@,COL,3:02,N,,COL
7,2022-04-15,CHC,@,COL,3:26,N,,COL
8,2022-04-16,CHC,@,COL,2:58,N,,COL
9,2022-04-17,CHC,@,COL,3:19,D,,COL
10,2022-04-18,CHC,,TBR,2:43,N,,CHC
11,2022-04-19,CHC,,TBR,3:09,N,,CHC
12,2022-04-20,CHC,,TBR,2:07,N,,CHC
13,2022-04-21,CHC,,PIT,3:35,N,,CHC
14,2022-04-22,CHC,,PIT,3:08,N,,CHC
15,2022-04-23,CHC,,PIT,2:47,D,,CHC
16,2022-04-24,CHC,,PIT,3:37,D,,CHC
17,2022-04-26,CHC,@,ATL,2:31,N,,ATL
18,2022-04-27,CHC,@,ATL,4:04,N,,ATL
19,2022-04-28,CHC,@,ATL,2:49,N,,ATL
20,2022-04-29,CHC,@,MIL,3:15,N,,MIL
21,2022-04-30,CHC,@,MIL,3:03,N,,MIL
22,2022-05-01,CHC,@,MIL,2:43,D,,MIL
23,2022-05-03,CHC,,CHW,3:01,N,,CHC
24,2022-05-04,CHC,,CHW,3:05,N,,CHC
25,2022-05-07,CHC,,LAD,2:43,D,2022-05-06 (Rain),CHC
26,2022-05-07,CHC,,LAD,3:05,N,,CHC
27,2022-05-08,CHC,,LAD,2:57,N,,CHC
28,2022-05-09,CHC,@,SDP,2:59,N,,SDP
29,2022-05-10,CHC,@,SDP,3:08,N,,SDP
30,2022-05-11,CHC,@,SDP,3:26,D,,SDP
31,2022-05-13,CHC,@,ARI,2:56,N,,ARI
32,2022-05-14,CHC,@,ARI,3:22,N,,ARI
33,2022-05-15,CHC,@,ARI,3:05,D,,ARI
34,2022-05-16,CHC,,PIT,2:29,N,,CHC
35,2022-05-17,CHC,,PIT,2:38,N,,CHC
36,2022-05-18,CHC,,PIT,3:02,N,,CHC
37,2022-05-19,CHC,,ARI,3:10,N,,CHC
38,2022-05-20,CHC,,ARI,3:06,D,,CHC
39,2022-05-21,CHC,,ARI,3:42,D,,CHC
40,2022-05-22,CHC,,ARI,2:43,D,,CHC
41,2022-05-23,CHC,@,CIN,3:16,N,,CIN
42,2022-05-24,CHC,@,CIN,3:12,N,,CIN
43,2022-05-25,CHC,@,CIN,3:04,N,,CIN
44,2022-05-26,CHC,@,CIN,3:10,D,,CIN
45,2022-05-28,CHC,@,CHW,3:03,N,,CHW
46,2022-05-29,CHC,@,CHW,3:54,D,,CHW
47,2022-05-30,CHC,,MIL,3:17,D,2022-04-08 (Rain),CHC
48,2022-05-30,CHC,,MIL,2:52,N,,CHC
49,2022-05-31,CHC,,MIL,3:33,N,,CHC
50,2022-06-01,CHC,,MIL,3:03,N,,CHC
51,2022-06-02,CHC,,STL,3:04,N,,CHC
52,2022-06-03,CHC,,STL,3:14,D,,CHC
53,2022-06-04,CHC,,STL,3:05,D,,CHC
54,2022-06-04,CHC,,STL,4:11,N,,CHC
55,2022-06-05,CHC,,STL,3:44,N,,CHC
56,2022-06-07,CHC,@,BAL,2:53,N,,BAL
57,2022-06-10,CHC,@,NYY,4:16,N,,NYY
58,2022-06-11,CHC,@,NYY,2:48,N,,NYY
59,2022-06-12,CHC,@,NYY,3:23,D,,NYY
60,2022-06-13,CHC,,SDP,2:45,N,,CHC
61,2022-06-14,CHC,,SDP,3:13,N,,CHC
62,2022-06-15,CHC,,SDP,3:46,N,,CHC
63,2022-06-16,CHC,,SDP,3:03,D,,CHC
64,2022-06-17,CHC,,ATL,2:40,D,,CHC
65,2022-06-18,CHC,,ATL,2:55,D,,CHC
66,2022-06-19,CHC,,ATL,2:41,D,,CHC
67,2022-06-20,CHC,@,PIT,3:17,N,,PIT
68,2022-06-21,CHC,@,PIT,2:44,N,,PIT
