Gm#,Date,Tm,@,Opp,last_opp,new_series,series
1,2022-04-07,CHC,,MIL,,True,1.0
2,2022-04-09,CHC,,MIL,MIL,False,1.0
3,2022-04-10,CHC,,MIL,MIL,False,1.0
4,2022-04-12,CHC,@,PIT,MIL,True,2.0
5,2022-04-13,CHC,@,PIT,PIT,False,2.0
6,2022-04-14,CHC,@,COL,PIT,True,3.0
7,2022-04-15,CHC,@,COL,COL,False,3.0
8,2022-04-16,CHC,@,COL,COL,False,3.0
9,2022-04-17,CHC,@,COL,COL,False,3.0
10,2022-04-18,CHC,,TBR,COL,True,4.0
11,2022-04-19,CHC,,TBR,TBR,False,4.0
12,2022-04-20,CHC,,TBR,TBR,False,4.0
13,2022-04-21,CHC,,PIT,TBR,True,5.0
14,2022-04-22,CHC,,PIT,PIT,False,5.0
15,2022-04-23,CHC,,PIT,PIT,False,5.0
16,2022-04-24,CHC,,PIT,PIT,False,5.0
17,2022-04-26,CHC,@,ATL,PIT,True,6.0
18,2022-04-27,CHC,@,ATL,ATL,False,6.0
19,2022-04-28,CHC,@,ATL,ATL,False,6.0
20,2022-04-29,CHC,@,MIL,ATL,True,7.0
21,2022-04-30,CHC,@,MIL,MIL,False,7.0
22,2022-05-01,CHC,@,MIL,MIL,False,7.0
23,2022-05-03,CHC,,CHW,MIL,True,8.0
24,2022-05-04,CHC,,CHW,CHW,False,8.0
25,2022-05-07,CHC,,LAD,CHW,True,9.0
26,2022-05-07,CHC,,LAD,LAD,False,9.0
27,2022-05-08,CHC,,LAD,LAD,False,9.0
28,2022-05-09,CHC,@,SDP,LAD,True,10.0
29,2022-05-10,CHC,@,SDP,SDP,False,10.0
30,2022-05-11,CHC,@,SDP,SDP,False,10.0
31,2022-05-13,CHC,@,ARI,SDP,True,11.0
32,2022-05-14,CHC,@,ARI,ARI,False,11.0
33,2022-05-15,CHC,@,ARI,ARI,False,11.0
34,2022-05-16,CHC,,PIT,ARI,True,12.0
35,2022-05-17,CHC,,PIT,PIT,False,12.0
36,2022-05-18,CHC,,PIT,PIT,False,12.0
37,2022-05-19,CHC,,ARI,PIT,True,13.0
38,2022-05-20,CHC,,ARI,ARI,False,13.0
39,2022-05-21,CHC,,ARI,ARI,False,13.0
40,2022-05-22,CHC,,ARI,ARI,False,13.0
41,2022-05-23,CHC,@,CIN,ARI,True,14.0
42,2022-05-24,CHC,@,CIN,CIN,False,14.0
43,2022-05-25,CHC,@,CIN,CIN,False,14.0
44,2022-05-26,CHC,@,CIN,CIN,False,14.0
45,2022-05-28,CHC,@,CHW,CIN,True,15.0
46,2022-05-29,CHC,@,CHW,CHW,False,15.0
47,2022-05-30,CHC,,MIL,CHW,True,16.0
48,2022-05-30,CHC,,MIL,MIL,False,16.0
49,2022-05-31,CHC,,MIL,MIL,False,16.0
50,2022-06-01,CHC,,MIL,MIL,False,16.0
51,2022-06-02,CHC,,STL,MIL,True,17.0
52,2022-06-03,CHC,,STL,STL,False,17.0
53,2022-06-04,CHC,,STL,STL,False,17.0
54,2022-06-04,CHC,,STL,STL,False,17.0
55,2022-06-05,CHC,,STL,STL,False,17.0
56,2022-06-07,CHC,@,BAL,STL,True,18.0
57,2022-06-10,CHC,@,NYY,BAL,True,19.0
58,2022-06-11,CHC,@,NYY,NYY,False,19.0
59,2022-06-12,CHC,@,NYY,NYY,False,19.0
60,2022-06-13,CHC,,SDP,NYY,True,20.0
61,2022-06-14,CHC,,SDP,SDP,False,20.0
62,2022-06-15,CHC,,SDP,SDP,False,20.0
63,2022-06-16,CHC,,SDP,SDP,False,20.0
64,2022-06-17,CHC,,ATL,SDP,True,21.0
65,2022-06-18,CHC,,ATL,ATL,False,21.0
66,2022-06-19,CHC,,ATL,ATL,False,21.0
67,2022-06-20,CHC,@,PIT,ATL,True,22.0
68,2022-06-21,CHC,@,PIT,PIT,False,22.0
69,2022-06-22,CHC,@,PIT,PIT,False,22.0
70,2022-06-23,CHC,@,PIT,PIT,False,22.0
71,2022-06-24,CHC,@,STL,PIT,True,23.0
72,2022-06-25,CHC,@,STL,STL,False,23.0
73,2022-06-26,CHC,@,STL,STL,False,23.0
74,2022-06-28,CHC,,CIN,STL,True,24.0
75,2022-06-29,CHC,,CIN,CIN,False,24.0
76,2022-06-30,CHC,,CIN,CIN,False,24.0
77,2022-07-01,CHC,,BOS,CIN,True,25.0
78,2022-07-02,CHC,,BOS,BOS,False,25.0
79,2022-07-03,CHC,,BOS,BOS,False,25.0
80,2022-07-04,CHC,@,MIL,BOS,True,26.0
81,2022-07-05,CHC,@,MIL,MIL,False,26.0
82,2022-07-06,CHC,@,MIL,MIL,False,26.0
83,2022-07-07,CHC,@,LAD,MIL,True,27.0
84,2022-07-08,CHC,@,LAD,LAD,False,27.0
85,2022-07-09,CHC,@,LAD,LAD,False,27.0
86,2022-07-10,CHC,@,LAD,LAD,False,27.0
87,2022-07-12,CHC,,BAL,LAD,True,28.0
88,2022-07-13,CHC,,BAL,BAL,False,28.0
89,2022-07-14,CHC,,NYM,BAL,True,29.0
90,2022-07-16,CHC,,NYM,NYM,False,29.0
91,2022-07-16,CHC,,NYM,NYM,False,29.0
92,2022-07-17,CHC,,NYM,NYM,False,29.0
93,2022-07-22,CHC,@,PHI,NYM,True,30.0
94,2022-07-23,CHC,@,PHI,PHI,False,30.0
95,2022-07-24,CHC,@,PHI,PHI,False,30.0
96,2022-07-25,CHC,,PIT,PHI,True,31.0
97,2022-07-26,CHC,,PIT,PIT,False,31.0
98,2022-07-28,CHC,@,SFG,PIT,True,32.0
99,2022-07-29,CHC,@,SFG,SFG,False,32.0
100,2022-07-30,CHC,@,SFG,SFG,False,32.0
101,2022-07-31,CHC,@,SFG,SFG,False,32.0
102,2022-08-02,CHC,@,STL,SFG,True,33.0
103,2022-08-04,CHC,@,STL,STL,False,33.0
104,2022-08-04,CHC,@,STL,STL,False,33.0
105,2022-08-05,CHC,,MIA,STL,True,34.0
106,2022-08-06,CHC,,MIA,MIA,False,34.0
107,2022-08-07,CHC,,MIA,MIA,False,34.0
108,2022-08-08,CHC,,WSN,MIA,True,35.0
109,2022-08-09,CHC,,WSN,WSN,False,35.0
110,2022-08-10,CHC,,WSN,WSN,False,35.0
111,2022-08-11,CHC,@,CIN,WSN,True,36.0
112,2022-08-13,CHC,@,CIN,CIN,False,36.0
113,2022-08-14,CHC,@,CIN,CIN,False,36.0
114,2022-08-15,CHC,@,WSN,CIN,True,37.0
115,2022-08-16,CHC,@,WSN,WSN,False,37.0
116,2022-08-17,CHC,@,WSN,WSN,False,37.0
117,2022-08-18,CHC,@,BAL,WSN,True,38.0
118,2022-08-19,CHC,,MIL,BAL,True,39.0
119,2022-08-20,CHC,,MIL,MIL,False,39.0
120,2022-08-21,CHC,,MIL,MIL,False,39.0
121,2022-08-22,CHC,,STL,MIL,True,40.0
122,2022-08-23,CHC,,STL,STL,False,40.0
123,2022-08-23,CHC,,STL,STL,False,40.0
124,2022-08-24,CHC,,STL,STL,False,40.0
125,2022-08-25,CHC,,STL,STL,False,40.0
126,2022-08-26,CHC,@,MIL,STL,True,41.0
127,2022-08-27,CHC,@,MIL,MIL,False,41.0
128,2022-08-28,CHC,@,MIL,MIL,False,41.0
129,2022-08-29,CHC,@,TOR,MIL,True,42.0
130,2022-08-30,CHC,@,TOR,TOR,False,42.0
131,2022-08-31,CHC,@,TOR,TOR,False,42.0
132,2022-09-02,CHC,@,STL,TOR,True,43.0
133,2022-09-03,CHC,@,STL,STL,False,43.0
134,2022-09-04,CHC,@,STL,STL,False,43.0
135,2022-09-06,CHC,,CIN,STL,True,44.0
136,2022-09-07,CHC,,CIN,CIN,False,44.0
137,2022-09-08,CHC,,CIN,CIN,False,44.0
138,2022-09-09,CHC,,SFG,CIN,True,45.0
139,2022-09-10,CHC,,SFG,SFG,False,45.0
140,2022-09-11,CHC,,SFG,SFG,False,45.0
141,2022-09-12,CHC,@,NYM,SFG,True,46.0
142,2022-09-13,CHC,@,NYM,NYM,False,46.0
143,2022-09-14,CHC,@,NYM,NYM,False,46.0
144,2022-09-16,CHC,,COL,NYM,True,47.0
145,2022-09-17,CHC,,COL,COL,False,47.0
146,2022-09-18,CHC,,COL,COL,False,47.0
147,2022-09-19,CHC,@,MIA,COL,True,48.0
148,2022-09-20,CHC,@,MIA,MIA,False,48.0
149,2022-09-21,CHC,@,MIA,MIA,False,48.0
150,2022-09-22,CHC,@,PIT,MIA,True,49.0
151,2022-09-23,CHC,@,PIT,PIT,False,49.0
152,2022-09-24,CHC,@,PIT,PIT,False,49.0
153,2022-09-25,CHC,@,PIT,PIT,False,49.0
154,2022-09-27,CHC,,PHI,PIT,True,50.0
155,2022-09-28,CHC,,PHI,PHI,False,50.0
156,2022-09-29,CHC,,PHI,PHI,False,50.0
157,2022-09-30,CHC,,CIN,PHI,True,51.0
158,2022-10-01,CHC,,CIN,CIN,False,51.0
159,2022-10-02,CHC,,CIN,CIN,False,51.0
160,2022-10-03,CHC,@,CIN,CIN,False,51.0
161,2022-10-04,CHC,@,CIN,CIN,False,51.0
162,2022-10-05,CHC,@,CIN,CIN,False,51.0
