Gm#,Date,Tm,@,Opp,away,lag,seg_start,seg
1,2024-03-28,CHC,@,TEX,1,,True,1.0
2,2024-03-30,CHC,@,TEX,1,1.0,False,1.0
3,2024-03-31,CHC,@,TEX,1,1.0,False,1.0
4,2024-04-01,CHC,,COL,0,1.0,True,2.0
5,2024-04-02,CHC,,COL,0,0.0,False,2.0
6,2024-04-03,CHC,,COL,0,0.0,False,2.0
7,2024-04-05,CHC,,LAD,0,0.0,False,2.0
8,2024-04-06,CHC,,LAD,0,0.0,False,2.0
9,2024-04-07,CHC,,LAD,0,0.0,False,2.0
10,2024-04-08,CHC,@,SDP,1,0.0,True,3.0
11,2024-04-09,CHC,@,SDP,1,1.0,False,3.0
12,2024-04-10,CHC,@,SDP,1,1.0,False,3.0
13,2024-04-12,CHC,@,SEA,1,1.0,False,3.0
14,2024-04-13,CHC,@,SEA,1,1.0,False,3.0
15,2024-04-14,CHC,@,SEA,1,1.0,False,3.0
16,2024-04-15,CHC,@,ARI,1,1.0,False,3.0
17,2024-04-16,CHC,@,ARI,1,1.0,False,3.0
18,2024-04-17,CHC,@,ARI,1,1.0,False,3.0
19,2024-04-19,CHC,,MIA,0,1.0,True,4.0
20,2024-04-20,CHC,,MIA,0,0.0,False,4.0
21,2024-04-20,CHC,,MIA,0,0.0,False,4.0
22,2024-04-21,CHC,,MIA,0,0.0,False,4.0
23,2024-04-23,CHC,,HOU,0,0.0,False,4.0
24,2024-04-24,CHC,,HOU,0,0.0,False,4.0
25,2024-04-25,CHC,,HOU,0,0.0,False,4.0
26,2024-04-26,CHC,@,BOS,1,0.0,True,5.0
27,2024-04-27,CHC,@,BOS,1,1.0,False,5.0
28,2024-04-28,CHC,@,BOS,1,1.0,False,5.0
29,2024-04-29,CHC,@,NYM,1,1.0,False,5.0
30,2024-04-30,CHC,@,NYM,1,1.0,False,5.0
31,2024-05-01,CHC,@,NYM,1,1.0,False,5.0
32,2024-05-02,CHC,@,NYM,1,1.0,False,5.0
33,2024-05-03,CHC,,MIL,0,1.0,True,6.0
34,2024-05-04,CHC,,MIL,0,0.0,False,6.0
35,2024-05-05,CHC,,MIL,0,0.0,False,6.0
36,2024-05-06,CHC,,SDP,0,0.0,False,6.0
37,2024-05-07,CHC,,SDP,0,0.0,False,6.0
38,2024-05-08,CHC,,SDP,0,0.0,False,6.0
39,2024-05-10,CHC,@,PIT,1,0.0,True,7.0
40,2024-05-11,CHC,@,PIT,1,1.0,False,7.0
41,2024-05-12,CHC,@,PIT,1,1.0,False,7.0
42,2024-05-13,CHC,@,ATL,1,1.0,False,7.0
43,2024-05-14,CHC,@,ATL,1,1.0,False,7.0
44,2024-05-15,CHC,@,ATL,1,1.0,False,7.0
45,2024-05-16,CHC,,PIT,0,1.0,True,8.0
46,2024-05-17,CHC,,PIT,0,0.0,False,8.0
47,2024-05-18,CHC,,PIT,0,0.0,False,8.0
48,2024-05-19,CHC,,PIT,0,0.0,False,8.0
49,2024-05-21,CHC,,ATL,0,0.0,False,8.0
50,2024-05-22,CHC,,ATL,0,0.0,False,8.0
51,2024-05-23,CHC,,ATL,0,0.0,False,8.0
52,2024-05-25,CHC,@,STL,1,0.0,True,9.0
53,2024-05-26,CHC,@,STL,1,1.0,False,9.0
54,2024-05-27,CHC,@,MIL,1,1.0,False,9.0
55,2024-05-28,CHC,@,MIL,1,1.0,False,9.0
56,2024-05-29,CHC,@,MIL,1,1.0,False,9.0
57,2024-05-30,CHC,@,MIL,1,1.0,False,9.0
58,2024-05-31,CHC,,CIN,0,1.0,True,10.0
59,2024-06-01,CHC,,CIN,0,0.0,False,10.0
60,2024-06-02,CHC,,CIN,0,0.0,False,10.0
61,2024-06-04,CHC,,CHW,0,0.0,False,10.0
62,2024-06-05,CHC,,CHW,0,0.0,False,10.0
63,2024-06-06,CHC,@,CIN,1,0.0,True,11.0
64,2024-06-07,CHC,@,CIN,1,1.0,False,11.0
65,2024-06-08,CHC,@,CIN,1,1.0,False,11.0
66,2024-06-09,CHC,@,CIN,1,1.0,False,11.0
67,2024-06-11,CHC,@,TBR,1,1.0,False,11.0
68,2024-06-12,CHC,@,TBR,1,1.0,False,11.0
69,2024-06-13,CHC,@,TBR,1,1.0,False,11.0
70,2024-06-14,CHC,,STL,0,1.0,True,12.0
71,2024-06-15,CHC,,STL,0,0.0,False,12.0
72,2024-06-16,CHC,,STL,0,0.0,False,12.0
73,2024-06-17,CHC,,SFG,0,0.0,False,12.0
74,2024-06-18,CHC,,SFG,0,0.0,False,12.0
75,2024-06-19,CHC,,SFG,0,0.0,False,12.0
76,2024-06-21,CHC,,NYM,0,0.0,False,12.0
77,2024-06-22,CHC,,NYM,0,0.0,False,12.0
78,2024-06-23,CHC,,NYM,0,0.0,False,12.0
79,2024-06-24,CHC,@,SFG,1,0.0,True,13.0
80,2024-06-25,CHC,@,SFG,1,1.0,False,13.0
81,2024-06-26,CHC,@,SFG,1,1.0,False,13.0
82,2024-06-27,CHC,@,SFG,1,1.0,False,13.0
83,2024-06-28,CHC,@,MIL,1,1.0,False,13.0
84,2024-06-29,CHC,@,MIL,1,1.0,False,13.0
85,2024-06-30,CHC,@,MIL,1,1.0,False,13.0
86,2024-07-02,CHC,,PHI,0,1.0,True,14.0
87,2024-07-03,CHC,,PHI,0,0.0,False,14.0
88,2024-07-04,CHC,,PHI,0,0.0,False,14.0
89,2024-07-05,CHC,,LAA,0,0.0,False,14.0
90,2024-07-06,CHC,,LAA,0,0.0,False,14.0
91,2024-07-07,CHC,,LAA,0,0.0,False,14.0
92,2024-07-09,CHC,@,BAL,1,0.0,True,15.0
93,2024-07-10,CHC,@,BAL,1,1.0,False,15.0
94,2024-07-11,CHC,@,BAL,1,1.0,False,15.0
95,2024-07-12,CHC,@,STL,1,1.0,False,15.0
96,2024-07-13,CHC,@,STL,1,1.0,False,15.0
97,2024-07-13,CHC,@,STL,1,1.0,False,15.0
98,2024-07-14,CHC,@,STL,1,1.0,False,15.0
99,2024-07-19,CHC,,ARI,0,1.0,True,16.0
100,2024-07-20,CHC,,ARI,0,0.0,False,16.0
101,2024-07-21,CHC,,ARI,0,0.0,False,16.0
102,2024-07-22,CHC,,MIL,0,0.0,False,16.0
103,2024-07-23,CHC,,MIL,0,0.0,False,16.0
104,2024-07-24,CHC,,MIL,0,0.0,False,16.0
105,2024-07-26,CHC,@,KCR,1,0.0,True,17.0
106,2024-07-27,CHC,@,KCR,1,1.0,False,17.0
107,2024-07-28,CHC,@,KCR,1,1.0,False,17.0
108,2024-07-29,CHC,@,CIN,1,1.0,False,17.0
109,2024-07-30,CHC,@,CIN,1,1.0,False,17.0
110,2024-07-31,CHC,@,CIN,1,1.0,False,17.0
111,2024-08-01,CHC,,STL,0,1.0,True,18.0
112,2024-08-02,CHC,,STL,0,0.0,False,18.0
113,2024-08-03,CHC,,STL,0,0.0,False,18.0
114,2024-08-04,CHC,,STL,0,0.0,False,18.0
115,2024-08-05,CHC,,MIN,0,0.0,False,18.0
116,2024-08-06,CHC,,MIN,0,0.0,False,18.0
117,2024-08-07,CHC,,MIN,0,0.0,False,18.0
118,2024-08-09,CHC,@,CHW,1,0.0,True,19.0
119,2024-08-10,CHC,@,CHW,1,1.0,False,19.0
120,2024-08-12,CHC,@,CLE,1,1.0,False,19.0
121,2024-08-13,CHC,@,CLE,1,1.0,False,19.0
122,2024-08-14,CHC,@,CLE,1,1.0,False,19.0
123,2024-08-16,CHC,,TOR,0,1.0,True,20.0
124,2024-08-17,CHC,,TOR,0,0.0,False,20.0
125,2024-08-18,CHC,,TOR,0,0.0,False,20.0
126,2024-08-20,CHC,,DET,0,0.0,False,20.0
127,2024-08-21,CHC,,DET,0,0.0,False,20.0
128,2024-08-22,CHC,,DET,0,0.0,False,20.0
129,2024-08-23,CHC,@,MIA,1,0.0,True,21.0
130,2024-08-24,CHC,@,MIA,1,1.0,False,21.0
131,2024-08-25,CHC,@,MIA,1,1.0,False,21.0
132,2024-08-26,CHC,@,PIT,1,1.0,False,21.0
133,2024-08-27,CHC,@,PIT,1,1.0,False,21.0
134,2024-08-28,CHC,@,PIT,1,1.0,False,21.0
135,2024-08-30,CHC,@,WSN,1,1.0,False,21.0
136,2024-08-31,CHC,@,WSN,1,1.0,False,21.0
137,2024-09-01,CHC,@,WSN,1,1.0,False,21.0
138,2024-09-02,CHC,,PIT,0,1.0,True,22.0
139,2024-09-03,CHC,,PIT,0,0.0,False,22.0
140,2024-09-04,CHC,,PIT,0,0.0,False,22.0
141,2024-09-06,CHC,,NYY,0,0.0,False,22.0
142,2024-09-07,CHC,,NYY,0,0.0,False,22.0
143,2024-09-08,CHC,,NYY,0,0.0,False,22.0
144,2024-09-09,CHC,@,LAD,1,0.0,True,23.0
145,2024-09-10,CHC,@,LAD,1,1.0,False,23.0
146,2024-09-11,CHC,@,LAD,1,1.0,False,23.0
147,2024-09-13,CHC,@,COL,1,1.0,False,23.0
148,2024-09-14,CHC,@,COL,1,1.0,False,23.0
149,2024-09-15,CHC,@,COL,1,1.0,False,23.0
150,2024-09-16,CHC,,OAK,0,1.0,True,24.0
151,2024-09-17,CHC,,OAK,0,0.0,False,24.0
152,2024-09-18,CHC,,OAK,0,0.0,False,24.0
153,2024-09-19,CHC,,WSN,0,0.0,False,24.0
154,2024-09-20,CHC,,WSN,0,0.0,False,24.0
155,2024-09-21,CHC,,WSN,0,0.0,False,24.0
156,2024-09-22,CHC,,WSN,0,0.0,False,24.0
157,2024-09-23,CHC,@,PHI,1,0.0,True,25.0
