Gm#,Date,Tm,@,Opp,away,lag,seg_start,seg
1,2022-04-07,CLE,@,KCR,1,,True,1.0
2,2022-04-09,CLE,@,KCR,1,1.0,False,1.0
3,2022-04-10,CLE,@,KCR,1,1.0,False,1.0
4,2022-04-11,CLE,@,KCR,1,1.0,False,1.0
5,2022-04-12,CLE,@,CIN,1,1.0,False,1.0
6,2022-04-13,CLE,@,CIN,1,1.0,False,1.0
7,2022-04-15,CLE,,SFG,0,1.0,True,2.0
8,2022-04-16,CLE,,SFG,0,0.0,False,2.0
9,2022-04-17,CLE,,SFG,0,0.0,False,2.0
10,2022-04-20,CLE,,CHW,0,0.0,False,2.0
11,2022-04-20,CLE,,CHW,0,0.0,False,2.0
12,2022-04-21,CLE,,CHW,0,0.0,False,2.0
13,2022-04-22,CLE,@,NYY,1,0.0,True,3.0
14,2022-04-23,CLE,@,NYY,1,1.0,False,3.0
15,2022-04-24,CLE,@,NYY,1,1.0,False,3.0
16,2022-04-25,CLE,@,LAA,1,1.0,False,3.0
17,2022-04-26,CLE,@,LAA,1,1.0,False,3.0
18,2022-04-27,CLE,@,LAA,1,1.0,False,3.0
19,2022-04-28,CLE,@,LAA,1,1.0,False,3.0
20,2022-04-29,CLE,@,OAK,1,1.0,False,3.0
21,2022-04-30,CLE,@,OAK,1,1.0,False,3.0
22,2022-05-01,CLE,@,OAK,1,1.0,False,3.0
23,2022-05-04,CLE,,SDP,0,1.0,True,4.0
24,2022-05-04,CLE,,SDP,0,0.0,False,4.0
25,2022-05-05,CLE,,TOR,0,0.0,False,4.0
26,2022-05-07,CLE,,TOR,0,0.0,False,4.0
27,2022-05-07,CLE,,TOR,0,0.0,False,4.0
28,2022-05-08,CLE,,TOR,0,0.0,False,4.0
29,2022-05-09,CLE,@,CHW,1,0.0,True,5.0
30,2022-05-10,CLE,@,CHW,1,1.0,False,5.0
31,2022-05-13,CLE,@,MIN,1,1.0,False,5.0
32,2022-05-14,CLE,@,MIN,1,1.0,False,5.0
33,2022-05-15,CLE,@,MIN,1,1.0,False,5.0
34,2022-05-17,CLE,,CIN,0,1.0,True,6.0
35,2022-05-19,CLE,,CIN,0,0.0,False,6.0
36,2022-05-20,CLE,,DET,0,0.0,False,6.0
37,2022-05-22,CLE,,DET,0,0.0,False,6.0
38,2022-05-23,CLE,@,HOU,1,0.0,True,7.0
39,2022-05-24,CLE,@,HOU,1,1.0,False,7.0
40,2022-05-25,CLE,@,HOU,1,1.0,False,7.0
41,2022-05-26,CLE,@,DET,1,1.0,False,7.0
42,2022-05-28,CLE,@,DET,1,1.0,False,7.0
43,2022-05-29,CLE,@,DET,1,1.0,False,7.0
44,2022-05-30,CLE,,KCR,0,1.0,True,8.0
45,2022-05-31,CLE,,KCR,0,0.0,False,8.0
46,2022-06-01,CLE,,KCR,0,0.0,False,8.0
47,2022-06-03,CLE,@,BAL,1,0.0,True,9.0
48,2022-06-04,CLE,@,BAL,1,1.0,False,9.0
49,2022-06-05,CLE,@,BAL,1,1.0,False,9.0
50,2022-06-07,CLE,,TEX,0,1.0,True,10.0
51,2022-06-07,CLE,,TEX,0,0.0,False,10.0
52,2022-06-08,CLE,,TEX,0,0.0,False,10.0
53,2022-06-09,CLE,,OAK,0,0.0,False,10.0
54,2022-06-10,CLE,,OAK,0,0.0,False,10.0
55,2022-06-11,CLE,,OAK,0,0.0,False,10.0
56,2022-06-12,CLE,,OAK,0,0.0,False,10.0
57,2022-06-14,CLE,@,COL,1,0.0,True,11.0
58,2022-06-15,CLE,@,COL,1,1.0,False,11.0
59,2022-06-16,CLE,@,COL,1,1.0,False,11.0
60,2022-06-17,CLE,@,LAD,1,1.0,False,11.0
61,2022-06-18,CLE,@,LAD,1,1.0,False,11.0
62,2022-06-19,CLE,@,LAD,1,1.0,False,11.0
63,2022-06-21,CLE,@,MIN,1,1.0,False,11.0
64,2022-06-22,CLE,@,MIN,1,1.0,False,11.0
65,2022-06-23,CLE,@,MIN,1,1.0,False,11.0
66,2022-06-24,CLE,,BOS,0,1.0,True,12.0
67,2022-06-25,CLE,,BOS,0,0.0,False,12.0
68,2022-06-26,CLE,,BOS,0,0.0,False,12.0
69,2022-06-27,CLE,,MIN,0,0.0,False,12.0
70,2022-06-28,CLE,,MIN,0,0.0,False,12.0
71,2022-06-28,CLE,,MIN,0,0.0,False,12.0
72,2022-06-29,CLE,,MIN,0,0.0,False,12.0
73,2022-06-30,CLE,,MIN,0,0.0,False,12.0
74,2022-07-02,CLE,,NYY,0,0.0,False,12.0
75,2022-07-02,CLE,,NYY,0,0.0,False,12.0
76,2022-07-03,CLE,,NYY,0,0.0,False,12.0
77,2022-07-04,CLE,@,DET,1,0.0,True,13.0
78,2022-07-04,CLE,@,DET,1,1.0,False,13.0
79,2022-07-05,CLE,@,DET,1,1.0,False,13.0
80,2022-07-06,CLE,@,DET,1,1.0,False,13.0
81,2022-07-08,CLE,@,KCR,1,1.0,False,13.0
82,2022-07-09,CLE,@,KCR,1,1.0,False,13.0
83,2022-07-10,CLE,@,KCR,1,1.0,False,13.0
84,2022-07-11,CLE,,CHW,0,1.0,True,14.0
85,2022-07-12,CLE,,CHW,0,0.0,False,14.0
86,2022-07-12,CLE,,CHW,0,0.0,False,14.0
87,2022-07-13,CLE,,CHW,0,0.0,False,14.0
