Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2024-03-28,CLE,@,OAK,2:22,N,,OAK
2,2024-03-29,CLE,@,OAK,2:39,N,,OAK
3,2024-03-30,CLE,@,OAK,3:01,D,,OAK
4,2024-03-31,CLE,@,OAK,2:30,D,,OAK
5,2024-04-01,CLE,@,SEA,2:35,N,,SEA
6,2024-04-02,CLE,@,SEA,2:27,N,,SEA
7,2024-04-03,CLE,@,SEA,2:22,D,,SEA
8,2024-04-04,CLE,@,MIN,2:57,D,,MIN
9,2024-04-06,CLE,@,MIN,2:51,D,,MIN
10,2024-04-08,CLE,,CHW,2:35,N,,CLE
11,2024-04-09,CLE,,CHW,2:45,N,,CLE
12,2024-04-10,CLE,,CHW,2:57,N,,CLE
13,2024-04-13,CLE,,NYY,2:57,D,,CLE
14,2024-04-13,CLE,,NYY,2:28,N,,CLE
15,2024-04-14,CLE,,NYY,3:08,D,,CLE
16,2024-04-15,CLE,@,BOS,2:45,D,,BOS
17,2024-04-16,CLE,@,BOS,3:37,N,,BOS
18,2024-04-17,CLE,@,BOS,1:49,N,,BOS
19,2024-04-18,CLE,@,BOS,2:39,D,,BOS
20,2024-04-19,CLE,,OAK,2:15,N,,CLE
21,2024-04-20,CLE,,OAK,2:36,N,,CLE
22,2024-04-21,CLE,,OAK,2:39,D,,CLE
23,2024-04-23,CLE,,BOS,2:18,N,,CLE
24,2024-04-24,CLE,,BOS,2:28,N,,CLE
25,2024-04-25,CLE,,BOS,2:49,D,,CLE
26,2024-04-26,CLE,@,ATL,2:35,N,,ATL
27,2024-04-27,CLE,@,ATL,2:47,N,,ATL
28,2024-04-28,CLE,@,ATL,2:55,D,,ATL
29,2024-04-30,CLE,@,HOU,3:17,N,,HOU
30,2024-05-01,CLE,@,HOU,2:36,N,,HOU
31,2024-05-02,CLE,@,HOU,2:39,N,,HOU
32,2024-05-03,CLE,,LAA,2:41,N,,CLE
33,2024-05-04,CLE,,LAA,2:15,N,,CLE
34,2024-05-05,CLE,,LAA,2:15,D,,CLE
35,2024-05-06,CLE,,DET,2:21,N,,CLE
36,2024-05-07,CLE,,DET,2:45,N,,CLE
37,2024-05-08,CLE,,DET,2:42,D,,CLE
38,2024-05-09,CLE,@,CHW,2:22,N,,CHW
39,2024-05-10,CLE,@,CHW,2:15,N,,CHW
40,2024-05-11,CLE,@,CHW,2:16,N,,CHW
41,2024-05-12,CLE,@,CHW,2:12,D,,CHW
42,2024-05-13,CLE,@,TEX,2:46,N,,TEX
43,2024-05-14,CLE,@,TEX,2:56,N,,TEX
44,2024-05-15,CLE,@,TEX,2:26,N,,TEX
45,2024-05-17,CLE,,MIN,2:32,N,,CLE
46,2024-05-18,CLE,,MIN,2:45,N,,CLE
47,2024-05-19,CLE,,MIN,2:16,D,,CLE
48,2024-05-20,CLE,,NYM,2:16,N,,CLE
49,2024-05-21,CLE,,NYM,2:35,N,,CLE
50,2024-05-22,CLE,,NYM,2:45,D,,CLE
51,2024-05-24,CLE,@,LAA,2:40,N,,LAA
52,2024-05-25,CLE,@,LAA,2:22,N,,LAA
53,2024-05-26,CLE,@,LAA,2:33,D,,LAA
54,2024-05-27,CLE,@,COL,2:42,D,,COL
55,2024-05-28,CLE,@,COL,2:55,N,,COL
56,2024-05-29,CLE,@,COL,2:29,N,,COL
57,2024-05-31,CLE,,WSN,2:21,N,,CLE
58,2024-06-01,CLE,,WSN,2:26,D,,CLE
59,2024-06-02,CLE,,WSN,2:18,D,,CLE
60,2024-06-04,CLE,,KCR,2:22,N,,CLE
61,2024-06-06,CLE,,KCR,2:59,D,,CLE
62,2024-06-07,CLE,@,MIA,2:14,N,,MIA
63,2024-06-08,CLE,@,MIA,2:41,N,,MIA
64,2024-06-09,CLE,@,MIA,2:27,D,,MIA
65,2024-06-11,CLE,@,CIN,2:58,N,,CIN
66,2024-06-12,CLE,@,CIN,2:35,N,,CIN
67,2024-06-14,CLE,@,TOR,2:22,N,,TOR
68,2024-06-15,CLE,@,TOR,2:23,D,,TOR
69,2024-06-16,CLE,@,TOR,2:48,D,,TOR
70,2024-06-18,CLE,,SEA,3:15,N,,CLE
71,2024-06-19,CLE,,SEA,2:19,N,,CLE
72,2024-06-20,CLE,,SEA,2:26,D,,CLE
73,2024-06-21,CLE,,TOR,2:33,N,,CLE
74,2024-06-22,CLE,,TOR,2:22,D,,CLE
75,2024-06-23,CLE,,TOR,3:01,D,,CLE
76,2024-06-24,CLE,@,BAL,2:39,N,,BAL
77,2024-06-25,CLE,@,BAL,2:47,N,,BAL
78,2024-06-26,CLE,@,BAL,2:19,N,,BAL
79,2024-06-27,CLE,@,KCR,2:11,N,,KCR
80,2024-06-28,CLE,@,KCR,2:42,N,,KCR
81,2024-06-29,CLE,@,KCR,2:37,D,,KCR
82,2024-06-30,CLE,@,KCR,2:34,D,,KCR
83,2024-07-02,CLE,,CHW,2:25,N,,CLE
84,2024-07-03,CLE,,CHW,2:35,N,,CLE
85,2024-07-04,CLE,,CHW,2:45,D,,CLE
86,2024-07-05,CLE,,SFG,2:57,N,,CLE
87,2024-07-06,CLE,,SFG,2:35,D,,CLE
88,2024-07-07,CLE,,SFG,2:36,D,,CLE
89,2024-07-08,CLE,@,DET,2:11,N,,DET
90,2024-07-09,CLE,@,DET,3:08,N,,DET
91,2024-07-10,CLE,@,DET,2:39,N,,DET
92,2024-07-11,CLE,@,DET,2:19,D,,DET
93,2024-07-12,CLE,@,TBR,2:29,N,,TBR
94,2024-07-13,CLE,@,TBR,2:32,D,,TBR
95,2024-07-14,CLE,@,TBR,2:12,D,,TBR
96,2024-07-19,CLE,,SDP,3:01,N,,CLE
97,2024-07-20,CLE,,SDP,2:35,N,,CLE
98,2024-07-21,CLE,,SDP,2:33,D,,CLE
99,2024-07-22,CLE,,DET,2:38,N,,CLE
100,2024-07-23,CLE,,DET,2:34,N,,CLE
101,2024-07-24,CLE,,DET,2:15,N,,CLE
102,2024-07-25,CLE,,DET,2:28,D,,CLE
103,2024-07-26,CLE,@,PHI,2:32,N,,PHI
104,2024-07-27,CLE,@,PHI,2:20,N,,PHI
105,2024-07-28,CLE,@,PHI,2:33,D,,PHI
106,2024-07-29,CLE,@,DET,2:41,N,,DET
107,2024-07-30,CLE,@,DET,2:20,D,,DET
108,2024-08-01,CLE,,BAL,2:40,N,,CLE
109,2024-08-02,CLE,,BAL,2:47,N,,CLE
110,2024-08-03,CLE,,BAL,2:56,N,,CLE
111,2024-08-04,CLE,,BAL,3:14,D,,CLE
112,2024-08-05,CLE,,ARI,3:07,N,,CLE
113,2024-08-07,CLE,,ARI,2:35,D,,CLE
114,2024-08-07,CLE,,ARI,2:27,D,,CLE
115,2024-08-09,CLE,@,MIN,2:26,D,,MIN
116,2024-08-09,CLE,@,MIN,2:34,N,,MIN
117,2024-08-10,CLE,@,MIN,1:58,N,,MIN
118,2024-08-11,CLE,@,MIN,3:01,D,,MIN
119,2024-08-12,CLE,,CHC,2:52,N,,CLE
120,2024-08-13,CLE,,CHC,2:32,N,,CLE
121,2024-08-14,CLE,,CHC,2:24,N,,CLE
122,2024-08-16,CLE,@,MIL,2:36,N,,MIL
123,2024-08-17,CLE,@,MIL,2:18,N,,MIL
124,2024-08-18,CLE,@,MIL,2:07,D,,MIL
125,2024-08-20,CLE,@,NYY,4:05,N,,NYY
126,2024-08-21,CLE,@,NYY,2:20,N,,NYY
127,2024-08-22,CLE,@,NYY,2:52,D,,NYY
128,2024-08-23,CLE,,TEX,2:45,N,,CLE
129,2024-08-24,CLE,,TEX,2:40,N,,CLE
130,2024-08-25,CLE,,TEX,2:23,D,,CLE
131,2024-08-26,CLE,,KCR,2:36,D,,CLE
132,2024-08-26,CLE,,KCR,2:35,N,,CLE
133,2024-08-27,CLE,,KCR,2:41,N,,CLE
134,2024-08-28,CLE,,KCR,2:53,D,,CLE
135,2024-08-30,CLE,,PIT,2:46,N,,CLE
136,2024-08-31,CLE,,PIT,2:46,N,,CLE
137,2024-09-01,CLE,,PIT,2:14,D,,CLE
138,2024-09-02,CLE,@,KCR,2:15,D,,KCR
139,2024-09-03,CLE,@,KCR,2:48,N,,KCR
140,2024-09-04,CLE,@,KCR,2:23,N,,KCR
141,2024-09-06,CLE,@,LAD,2:17,N,,LAD
142,2024-09-07,CLE,@,LAD,2:34,N,,LAD
143,2024-09-08,CLE,@,LAD,2:31,D,,LAD
144,2024-09-09,CLE,@,CHW,2:50,N,,CHW
145,2024-09-10,CLE,@,CHW,2:37,N,,CHW
146,2024-09-11,CLE,@,CHW,3:00,D,,CHW
147,2024-09-12,CLE,,TBR,2:45,N,,CLE
148,2024-09-13,CLE,,TBR,2:21,N,,CLE
149,2024-09-14,CLE,,TBR,2:16,N,,CLE
150,2024-09-15,CLE,,TBR,2:26,D,,CLE
151,2024-09-16,CLE,,MIN,2:51,N,,CLE
152,2024-09-17,CLE,,MIN,2:37,N,,CLE
153,2024-09-18,CLE,,MIN,2:46,N,,CLE
154,2024-09-19,CLE,,MIN,3:04,D,,CLE
155,2024-09-20,CLE,@,STL,2:22,N,,STL
156,2024-09-21,CLE,@,STL,2:39,N,,STL
157,2024-09-22,CLE,@,STL,2:15,D,,STL
158,2024-09-24,CLE,,CIN,2:22,N,,CLE
159,2024-09-25,CLE,,CIN,2:12,N,,CLE
160,2024-09-27,CLE,,HOU,3:15,N,,CLE
161,2024-09-28,CLE,,HOU,2:46,N,,CLE
