Gm#,Date,Tm,@,Opp,away,lag,seg_start,seg
1,2024-03-28,LAA,@,BAL,1,,True,1.0
2,2024-03-30,LAA,@,BAL,1,1.0,False,1.0
3,2024-03-31,LAA,@,BAL,1,1.0,False,1.0
4,2024-04-01,LAA,@,MIA,1,1.0,False,1.0
5,2024-04-02,LAA,@,MIA,1,1.0,False,1.0
6,2024-04-03,LAA,@,MIA,1,1.0,False,1.0
7,2024-04-05,LAA,,BOS,0,1.0,True,2.0
8,2024-04-06,LAA,,BOS,0,0.0,False,2.0
9,2024-04-07,LAA,,BOS,0,0.0,False,2.0
10,2024-04-08,LAA,,TBR,0,0.0,False,2.0
11,2024-04-09,LAA,,TBR,0,0.0,False,2.0
12,2024-04-10,LAA,,TBR,0,0.0,False,2.0
13,2024-04-12,LAA,@,BOS,1,0.0,True,3.0
14,2024-04-13,LAA,@,BOS,1,1.0,False,3.0
15,2024-04-14,LAA,@,BOS,1,1.0,False,3.0
16,2024-04-15,LAA,@,TBR,1,1.0,False,3.0
17,2024-04-16,LAA,@,TBR,1,1.0,False,3.0
18,2024-04-17,LAA,@,TBR,1,1.0,False,3.0
19,2024-04-18,LAA,@,TBR,1,1.0,False,3.0
20,2024-04-19,LAA,@,CIN,1,1.0,False,3.0
21,2024-04-20,LAA,@,CIN,1,1.0,False,3.0
22,2024-04-21,LAA,@,CIN,1,1.0,False,3.0
23,2024-04-22,LAA,,BAL,0,1.0,True,4.0
24,2024-04-23,LAA,,BAL,0,0.0,False,4.0
25,2024-04-24,LAA,,BAL,0,0.0,False,4.0
26,2024-04-26,LAA,,MIN,0,0.0,False,4.0
27,2024-04-27,LAA,,MIN,0,0.0,False,4.0
28,2024-04-28,LAA,,MIN,0,0.0,False,4.0
29,2024-04-29,LAA,,PHI,0,0.0,False,4.0
30,2024-04-30,LAA,,PHI,0,0.0,False,4.0
31,2024-05-01,LAA,,PHI,0,0.0,False,4.0
32,2024-05-03,LAA,@,CLE,1,0.0,True,5.0
33,2024-05-04,LAA,@,CLE,1,1.0,False,5.0
34,2024-05-05,LAA,@,CLE,1,1.0,False,5.0
35,2024-05-06,LAA,@,PIT,1,1.0,False,5.0
36,2024-05-07,LAA,@,PIT,1,1.0,False,5.0
37,2024-05-08,LAA,@,PIT,1,1.0,False,5.0
