Gm#,Date,Tm,@,Opp,last_opp,new_series,series
1,2024-03-28,LAA,@,BAL,,True,1.0
2,2024-03-30,LAA,@,BAL,BAL,False,1.0
3,2024-03-31,LAA,@,BAL,BAL,False,1.0
4,2024-04-01,LAA,@,MIA,BAL,True,2.0
5,2024-04-02,LAA,@,MIA,MIA,False,2.0
6,2024-04-03,LAA,@,MIA,MIA,False,2.0
7,2024-04-05,LAA,,BOS,MIA,True,3.0
8,2024-04-06,LAA,,BOS,BOS,False,3.0
9,2024-04-07,LAA,,BOS,BOS,False,3.0
10,2024-04-08,LAA,,TBR,BOS,True,4.0
11,2024-04-09,LAA,,TBR,TBR,False,4.0
12,2024-04-10,LAA,,TBR,TBR,False,4.0
13,2024-04-12,LAA,@,BOS,TBR,True,5.0
14,2024-04-13,LAA,@,BOS,BOS,False,5.0
15,2024-04-14,LAA,@,BOS,BOS,False,5.0
16,2024-04-15,LAA,@,TBR,BOS,True,6.0
17,2024-04-16,LAA,@,TBR,TBR,False,6.0
18,2024-04-17,LAA,@,TBR,TBR,False,6.0
19,2024-04-18,LAA,@,TBR,TBR,False,6.0
20,2024-04-19,LAA,@,CIN,TBR,True,7.0
21,2024-04-20,LAA,@,CIN,CIN,False,7.0
22,2024-04-21,LAA,@,CIN,CIN,False,7.0
23,2024-04-22,LAA,,BAL,CIN,True,8.0
24,2024-04-23,LAA,,BAL,BAL,False,8.0
25,2024-04-24,LAA,,BAL,BAL,False,8.0
26,2024-04-26,LAA,,MIN,BAL,True,9.0
27,2024-04-27,LAA,,MIN,MIN,False,9.0
28,2024-04-28,LAA,,MIN,MIN,False,9.0
29,2024-04-29,LAA,,PHI,MIN,True,10.0
30,2024-04-30,LAA,,PHI,PHI,False,10.0
31,2024-05-01,LAA,,PHI,PHI,False,10.0
32,2024-05-03,LAA,@,CLE,PHI,True,11.0
33,2024-05-04,LAA,@,CLE,CLE,False,11.0
34,2024-05-05,LAA,@,CLE,CLE,False,11.0
35,2024-05-06,LAA,@,PIT,CLE,True,12.0
36,2024-05-07,LAA,@,PIT,PIT,False,12.0
37,2024-05-08,LAA,@,PIT,PIT,False,12.0
38,2024-05-09,LAA,,KCR,PIT,True,13.0
39,2024-05-10,LAA,,KCR,KCR,False,13.0
40,2024-05-11,LAA,,KCR,KCR,False,13.0
41,2024-05-12,LAA,,KCR,KCR,False,13.0
42,2024-05-13,LAA,,STL,KCR,True,14.0
43,2024-05-14,LAA,,STL,STL,False,14.0
44,2024-05-15,LAA,,STL,STL,False,14.0
45,2024-05-17,LAA,@,TEX,STL,True,15.0
46,2024-05-18,LAA,@,TEX,TEX,False,15.0
47,2024-05-19,LAA,@,TEX,TEX,False,15.0
48,2024-05-20,LAA,@,HOU,TEX,True,16.0
49,2024-05-21,LAA,@,HOU,HOU,False,16.0
50,2024-05-22,LAA,@,HOU,HOU,False,16.0
51,2024-05-24,LAA,,CLE,HOU,True,17.0
52,2024-05-25,LAA,,CLE,CLE,False,17.0
53,2024-05-26,LAA,,CLE,CLE,False,17.0
54,2024-05-28,LAA,,NYY,CLE,True,18.0
55,2024-05-29,LAA,,NYY,NYY,False,18.0
56,2024-05-30,LAA,,NYY,NYY,False,18.0
57,2024-05-31,LAA,@,SEA,NYY,True,19.0
58,2024-06-01,LAA,@,SEA,SEA,False,19.0
59,2024-06-02,LAA,@,SEA,SEA,False,19.0
60,2024-06-03,LAA,,SDP,SEA,True,20.0
61,2024-06-04,LAA,,SDP,SDP,False,20.0
62,2024-06-05,LAA,,SDP,SDP,False,20.0
63,2024-06-07,LAA,,HOU,SDP,True,21.0
64,2024-06-08,LAA,,HOU,HOU,False,21.0
65,2024-06-09,LAA,,HOU,HOU,False,21.0
66,2024-06-11,LAA,@,ARI,HOU,True,22.0
67,2024-06-12,LAA,@,ARI,ARI,False,22.0
68,2024-06-13,LAA,@,ARI,ARI,False,22.0
69,2024-06-14,LAA,@,SFG,ARI,True,23.0
70,2024-06-15,LAA,@,SFG,SFG,False,23.0
71,2024-06-16,LAA,@,SFG,SFG,False,23.0
72,2024-06-17,LAA,,MIL,SFG,True,24.0
73,2024-06-18,LAA,,MIL,MIL,False,24.0
74,2024-06-19,LAA,,MIL,MIL,False,24.0
75,2024-06-21,LAA,@,LAD,MIL,True,25.0
76,2024-06-22,LAA,@,LAD,LAD,False,25.0
77,2024-06-24,LAA,,OAK,LAD,True,26.0
78,2024-06-25,LAA,,OAK,OAK,False,26.0
79,2024-06-26,LAA,,OAK,OAK,False,26.0
80,2024-06-27,LAA,,DET,OAK,True,27.0
81,2024-06-28,LAA,,DET,DET,False,27.0
82,2024-06-29,LAA,,DET,DET,False,27.0
83,2024-06-30,LAA,,DET,DET,False,27.0
84,2024-07-02,LAA,@,OAK,DET,True,28.0
85,2024-07-03,LAA,@,OAK,OAK,False,28.0
86,2024-07-04,LAA,@,OAK,OAK,False,28.0
87,2024-07-05,LAA,@,CHC,OAK,True,29.0
88,2024-07-06,LAA,@,CHC,CHC,False,29.0
89,2024-07-07,LAA,@,CHC,CHC,False,29.0
90,2024-07-08,LAA,,TEX,CHC,True,30.0
