Gm#,Date,Tm,@,Opp,last_opp,new_series,series
1,2022-04-08,LAD,@,COL,,True,1.0
2,2022-04-09,LAD,@,COL,COL,False,1.0
3,2022-04-10,LAD,@,COL,COL,False,1.0
4,2022-04-12,LAD,@,MIN,COL,True,2.0
5,2022-04-13,LAD,@,MIN,MIN,False,2.0
6,2022-04-14,LAD,,CIN,MIN,True,3.0
7,2022-04-15,LAD,,CIN,CIN,False,3.0
8,2022-04-16,LAD,,CIN,CIN,False,3.0
9,2022-04-17,LAD,,CIN,CIN,False,3.0
10,2022-04-18,LAD,,ATL,CIN,True,4.0
11,2022-04-19,LAD,,ATL,ATL,False,4.0
12,2022-04-20,LAD,,ATL,ATL,False,4.0
13,2022-04-22,LAD,@,SDP,ATL,True,5.0
14,2022-04-23,LAD,@,SDP,SDP,False,5.0
15,2022-04-24,LAD,@,SDP,SDP,False,5.0
16,2022-04-25,LAD,@,ARI,SDP,True,6.0
17,2022-04-26,LAD,@,ARI,ARI,False,6.0
18,2022-04-27,LAD,@,ARI,ARI,False,6.0
19,2022-04-29,LAD,,DET,ARI,True,7.0
20,2022-04-30,LAD,,DET,DET,False,7.0
21,2022-05-01,LAD,,DET,DET,False,7.0
22,2022-05-03,LAD,,SFG,DET,True,8.0
23,2022-05-04,LAD,,SFG,SFG,False,8.0
24,2022-05-07,LAD,@,CHC,SFG,True,9.0
25,2022-05-07,LAD,@,CHC,CHC,False,9.0
26,2022-05-08,LAD,@,CHC,CHC,False,9.0
27,2022-05-09,LAD,@,PIT,CHC,True,10.0
28,2022-05-10,LAD,@,PIT,PIT,False,10.0
29,2022-05-11,LAD,@,PIT,PIT,False,10.0
30,2022-05-12,LAD,,PHI,PIT,True,11.0
31,2022-05-13,LAD,,PHI,PHI,False,11.0
32,2022-05-14,LAD,,PHI,PHI,False,11.0
33,2022-05-15,LAD,,PHI,PHI,False,11.0
34,2022-05-16,LAD,,ARI,PHI,True,12.0
35,2022-05-17,LAD,,ARI,ARI,False,12.0
36,2022-05-17,LAD,,ARI,ARI,False,12.0
37,2022-05-18,LAD,,ARI,ARI,False,12.0
38,2022-05-20,LAD,@,PHI,ARI,True,13.0
39,2022-05-21,LAD,@,PHI,PHI,False,13.0
40,2022-05-22,LAD,@,PHI,PHI,False,13.0
41,2022-05-23,LAD,@,WSN,PHI,True,14.0
42,2022-05-24,LAD,@,WSN,WSN,False,14.0
43,2022-05-25,LAD,@,WSN,WSN,False,14.0
44,2022-05-26,LAD,@,ARI,WSN,True,15.0
45,2022-05-27,LAD,@,ARI,ARI,False,15.0
46,2022-05-28,LAD,@,ARI,ARI,False,15.0
47,2022-05-29,LAD,@,ARI,ARI,False,15.0
48,2022-05-30,LAD,,PIT,ARI,True,16.0
49,2022-05-31,LAD,,PIT,PIT,False,16.0
50,2022-06-01,LAD,,PIT,PIT,False,16.0
51,2022-06-02,LAD,,NYM,PIT,True,17.0
52,2022-06-03,LAD,,NYM,NYM,False,17.0
53,2022-06-04,LAD,,NYM,NYM,False,17.0
54,2022-06-05,LAD,,NYM,NYM,False,17.0
55,2022-06-07,LAD,@,CHW,NYM,True,18.0
56,2022-06-08,LAD,@,CHW,CHW,False,18.0
57,2022-06-09,LAD,@,CHW,CHW,False,18.0
58,2022-06-10,LAD,@,SFG,CHW,True,19.0
59,2022-06-11,LAD,@,SFG,SFG,False,19.0
60,2022-06-12,LAD,@,SFG,SFG,False,19.0
61,2022-06-14,LAD,,LAA,SFG,True,20.0
62,2022-06-15,LAD,,LAA,LAA,False,20.0
63,2022-06-17,LAD,,CLE,LAA,True,21.0
64,2022-06-18,LAD,,CLE,CLE,False,21.0
65,2022-06-19,LAD,,CLE,CLE,False,21.0
66,2022-06-21,LAD,@,CIN,CLE,True,22.0
67,2022-06-22,LAD,@,CIN,CIN,False,22.0
68,2022-06-23,LAD,@,CIN,CIN,False,22.0
69,2022-06-24,LAD,@,ATL,CIN,True,23.0
70,2022-06-25,LAD,@,ATL,ATL,False,23.0
71,2022-06-26,LAD,@,ATL,ATL,False,23.0
72,2022-06-27,LAD,@,COL,ATL,True,24.0
73,2022-06-28,LAD,@,COL,COL,False,24.0
74,2022-06-29,LAD,@,COL,COL,False,24.0
75,2022-06-30,LAD,,SDP,COL,True,25.0
76,2022-07-01,LAD,,SDP,SDP,False,25.0
77,2022-07-02,LAD,,SDP,SDP,False,25.0
78,2022-07-03,LAD,,SDP,SDP,False,25.0
79,2022-07-04,LAD,,COL,SDP,True,26.0
80,2022-07-05,LAD,,COL,COL,False,26.0
81,2022-07-06,LAD,,COL,COL,False,26.0
82,2022-07-07,LAD,,CHC,COL,True,27.0
83,2022-07-08,LAD,,CHC,CHC,False,27.0
84,2022-07-09,LAD,,CHC,CHC,False,27.0
85,2022-07-10,LAD,,CHC,CHC,False,27.0
86,2022-07-12,LAD,@,STL,CHC,True,28.0
87,2022-07-13,LAD,@,STL,STL,False,28.0
88,2022-07-14,LAD,@,STL,STL,False,28.0
89,2022-07-15,LAD,@,LAA,STL,True,29.0
90,2022-07-16,LAD,@,LAA,LAA,False,29.0
91,2022-07-21,LAD,,SFG,LAA,True,30.0
92,2022-07-22,LAD,,SFG,SFG,False,30.0
93,2022-07-23,LAD,,SFG,SFG,False,30.0
94,2022-07-24,LAD,,SFG,SFG,False,30.0
95,2022-07-25,LAD,,WSN,SFG,True,31.0
