Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2024-03-20,LAD,@,SDP,3:05,N,,SDP
2,2024-03-21,LAD,,SDP,3:42,N,,LAD
3,2024-03-28,LAD,,STL,2:23,D,,LAD
4,2024-03-29,LAD,,STL,2:23,N,,LAD
5,2024-03-30,LAD,,STL,3:17,N,,LAD
6,2024-03-31,LAD,,STL,2:41,D,,LAD
7,2024-04-01,LAD,,SFG,2:38,N,,LAD
8,2024-04-02,LAD,,SFG,2:57,N,,LAD
9,2024-04-03,LAD,,SFG,2:25,N,,LAD
10,2024-04-05,LAD,@,CHC,2:57,D,,CHC
11,2024-04-06,LAD,@,CHC,2:45,D,,CHC
12,2024-04-07,LAD,@,CHC,2:32,D,,CHC
13,2024-04-08,LAD,@,MIN,2:15,N,,MIN
14,2024-04-09,LAD,@,MIN,2:23,N,,MIN
15,2024-04-10,LAD,@,MIN,2:31,D,,MIN
16,2024-04-12,LAD,,SDP,3:14,N,,LAD
17,2024-04-13,LAD,,SDP,2:36,N,,LAD
18,2024-04-14,LAD,,SDP,2:58,D,,LAD
19,2024-04-15,LAD,,WSN,2:36,N,,LAD
20,2024-04-16,LAD,,WSN,2:26,N,,LAD
21,2024-04-17,LAD,,WSN,2:16,D,,LAD
22,2024-04-19,LAD,,NYM,3:03,N,,LAD
23,2024-04-20,LAD,,NYM,3:20,D,,LAD
24,2024-04-21,LAD,,NYM,2:18,D,,LAD
25,2024-04-23,LAD,@,WSN,3:10,N,,WSN
26,2024-04-24,LAD,@,WSN,2:40,N,,WSN
27,2024-04-25,LAD,@,WSN,2:36,D,,WSN
28,2024-04-26,LAD,@,TOR,2:39,N,,TOR
29,2024-04-27,LAD,@,TOR,2:49,D,,TOR
30,2024-04-28,LAD,@,TOR,2:20,D,,TOR
31,2024-04-29,LAD,@,ARI,2:50,N,,ARI
32,2024-04-30,LAD,@,ARI,2:47,N,,ARI
33,2024-05-01,LAD,@,ARI,2:49,N,,ARI
34,2024-05-03,LAD,,ATL,3:00,N,,LAD
35,2024-05-04,LAD,,ATL,2:24,N,,LAD
36,2024-05-05,LAD,,ATL,2:07,D,,LAD
37,2024-05-06,LAD,,MIA,2:19,N,,LAD
38,2024-05-07,LAD,,MIA,2:11,N,,LAD
39,2024-05-08,LAD,,MIA,1:55,D,,LAD
40,2024-05-10,LAD,@,SDP,2:12,N,,SDP
41,2024-05-11,LAD,@,SDP,2:36,N,,SDP
42,2024-05-12,LAD,@,SDP,2:35,D,,SDP
43,2024-05-13,LAD,@,SFG,2:55,N,,SFG
44,2024-05-14,LAD,@,SFG,2:36,N,,SFG
45,2024-05-15,LAD,@,SFG,2:23,N,,SFG
46,2024-05-16,LAD,,CIN,2:49,N,,LAD
47,2024-05-17,LAD,,CIN,2:19,N,,LAD
48,2024-05-18,LAD,,CIN,2:07,N,,LAD
49,2024-05-19,LAD,,CIN,2:54,D,,LAD
50,2024-05-20,LAD,,ARI,2:39,N,,LAD
51,2024-05-21,LAD,,ARI,2:30,N,,LAD
52,2024-05-22,LAD,,ARI,2:40,N,,LAD
53,2024-05-24,LAD,@,CIN,2:56,N,,CIN
54,2024-05-25,LAD,@,CIN,2:29,N,,CIN
55,2024-05-26,LAD,@,CIN,2:27,D,,CIN
56,2024-05-28,LAD,@,NYM,2:42,N,,NYM
57,2024-05-28,LAD,@,NYM,2:18,N,,NYM
58,2024-05-29,LAD,@,NYM,3:20,D,,NYM
59,2024-05-31,LAD,,COL,2:20,N,,LAD
60,2024-06-01,LAD,,COL,2:41,N,,LAD
61,2024-06-02,LAD,,COL,2:29,D,,LAD
62,2024-06-04,LAD,@,PIT,2:21,N,,PIT
63,2024-06-05,LAD,@,PIT,2:45,N,,PIT
64,2024-06-06,LAD,@,PIT,3:08,N,,PIT
65,2024-06-07,LAD,@,NYY,3:21,N,,NYY
66,2024-06-08,LAD,@,NYY,3:17,N,,NYY
67,2024-06-09,LAD,@,NYY,2:44,N,,NYY
68,2024-06-11,LAD,,TEX,2:40,N,,LAD
69,2024-06-12,LAD,,TEX,2:51,N,,LAD
70,2024-06-13,LAD,,TEX,2:31,N,,LAD
71,2024-06-14,LAD,,KCR,2:01,N,,LAD
72,2024-06-15,LAD,,KCR,2:32,N,,LAD
73,2024-06-16,LAD,,KCR,2:05,D,,LAD
74,2024-06-17,LAD,@,COL,2:44,N,,COL
75,2024-06-18,LAD,@,COL,2:55,N,,COL
76,2024-06-19,LAD,@,COL,2:30,N,,COL
77,2024-06-20,LAD,@,COL,2:34,D,,COL
78,2024-06-21,LAD,,LAA,2:40,N,,LAD
79,2024-06-22,LAD,,LAA,2:10,N,,LAD
80,2024-06-24,LAD,@,CHW,2:28,N,,CHW
81,2024-06-25,LAD,@,CHW,2:49,N,,CHW
82,2024-06-26,LAD,@,CHW,2:02,N,,CHW
83,2024-06-28,LAD,@,SFG,2:15,N,,SFG
84,2024-06-29,LAD,@,SFG,3:45,D,,SFG
85,2024-06-30,LAD,@,SFG,2:27,D,,SFG
86,2024-07-02,LAD,,ARI,2:44,N,,LAD
87,2024-07-03,LAD,,ARI,3:23,N,,LAD
88,2024-07-04,LAD,,ARI,2:48,N,,LAD
89,2024-07-05,LAD,,MIL,2:30,N,,LAD
90,2024-07-06,LAD,,MIL,2:42,D,,LAD
91,2024-07-07,LAD,,MIL,2:53,D,,LAD
92,2024-07-09,LAD,@,PHI,2:49,N,,PHI
93,2024-07-10,LAD,@,PHI,2:30,N,,PHI
94,2024-07-11,LAD,@,PHI,2:43,N,,PHI
95,2024-07-12,LAD,@,DET,2:58,N,,DET
96,2024-07-13,LAD,@,DET,3:11,D,,DET
97,2024-07-14,LAD,@,DET,2:52,D,,DET
98,2024-07-19,LAD,,BOS,2:36,N,,LAD
99,2024-07-20,LAD,,BOS,3:30,D,,LAD
100,2024-07-21,LAD,,BOS,2:42,D,,LAD
101,2024-07-22,LAD,,SFG,2:26,N,,LAD
102,2024-07-23,LAD,,SFG,2:55,N,,LAD
103,2024-07-24,LAD,,SFG,2:51,N,,LAD
104,2024-07-25,LAD,,SFG,2:38,D,,LAD
105,2024-07-26,LAD,@,HOU,2:38,N,,HOU
106,2024-07-27,LAD,@,HOU,2:50,N,,HOU
107,2024-07-28,LAD,@,HOU,2:46,D,,HOU
108,2024-07-30,LAD,@,SDP,2:48,N,,SDP
109,2024-07-31,LAD,@,SDP,2:35,N,,SDP
110,2024-08-02,LAD,@,OAK,2:27,N,,OAK
111,2024-08-03,LAD,@,OAK,2:47,N,,OAK
112,2024-08-04,LAD,@,OAK,2:27,D,,OAK
113,2024-08-05,LAD,,PHI,2:25,N,,LAD
114,2024-08-06,LAD,,PHI,2:52,N,,LAD
115,2024-08-07,LAD,,PHI,2:49,N,,LAD
116,2024-08-09,LAD,,PIT,2:42,N,,LAD
117,2024-08-10,LAD,,PIT,2:29,N,,LAD
118,2024-08-11,LAD,,PIT,3:24,D,,LAD
119,2024-08-12,LAD,@,MIL,2:29,N,,MIL
120,2024-08-13,LAD,@,MIL,2:34,N,,MIL
121,2024-08-14,LAD,@,MIL,2:59,N,,MIL
122,2024-08-15,LAD,@,MIL,2:41,D,,MIL
123,2024-08-16,LAD,@,STL,2:39,N,,STL
124,2024-08-17,LAD,@,STL,2:27,N,,STL
125,2024-08-18,LAD,@,STL,2:27,D,,STL
126,2024-08-19,LAD,,SEA,2:15,N,,LAD
127,2024-08-20,LAD,,SEA,3:11,N,,LAD
128,2024-08-21,LAD,,SEA,2:47,N,,LAD
129,2024-08-23,LAD,,TBR,2:27,N,,LAD
130,2024-08-24,LAD,,TBR,2:50,N,,LAD
131,2024-08-25,LAD,,TBR,2:03,D,,LAD
132,2024-08-27,LAD,,BAL,2:41,N,,LAD
133,2024-08-28,LAD,,BAL,2:30,N,,LAD
134,2024-08-29,LAD,,BAL,2:55,N,,LAD
135,2024-08-30,LAD,@,ARI,3:13,N,,ARI
136,2024-08-31,LAD,@,ARI,2:50,N,,ARI
137,2024-09-01,LAD,@,ARI,2:38,D,,ARI
138,2024-09-02,LAD,@,ARI,3:25,D,,ARI
139,2024-09-03,LAD,@,LAA,2:40,N,,LAA
140,2024-09-04,LAD,@,LAA,2:18,N,,LAA
141,2024-09-06,LAD,,CLE,2:17,N,,LAD
142,2024-09-07,LAD,,CLE,2:34,N,,LAD
143,2024-09-08,LAD,,CLE,2:31,D,,LAD
144,2024-09-09,LAD,,CHC,2:50,N,,LAD
145,2024-09-10,LAD,,CHC,2:36,N,,LAD
146,2024-09-11,LAD,,CHC,2:56,N,,LAD
147,2024-09-13,LAD,@,ATL,2:26,N,,ATL
148,2024-09-14,LAD,@,ATL,2:30,N,,ATL
149,2024-09-15,LAD,@,ATL,2:42,N,,ATL
150,2024-09-16,LAD,@,ATL,2:37,N,,ATL
151,2024-09-17,LAD,@,MIA,2:57,N,,MIA
152,2024-09-18,LAD,@,MIA,2:48,N,,MIA
153,2024-09-19,LAD,@,MIA,3:06,D,,MIA
154,2024-09-20,LAD,,COL,2:21,N,,LAD
155,2024-09-21,LAD,,COL,2:53,N,,LAD
156,2024-09-22,LAD,,COL,2:53,D,,LAD
157,2024-09-24,LAD,,SDP,2:44,N,,LAD
158,2024-09-25,LAD,,SDP,2:47,N,,LAD
159,2024-09-26,LAD,,SDP,2:29,N,,LAD
160,2024-09-27,LAD,@,COL,2:59,N,,COL
161,2024-09-28,LAD,@,COL,2:53,N,,COL
162,2024-09-29,LAD,@,COL,2:33,D,,COL
