Gm#,Date,Tm,@,Opp,last_opp,new_series,series
1,2022-04-07,NYM,@,WSN,,True,1.0
2,2022-04-08,NYM,@,WSN,WSN,False,1.0
3,2022-04-09,NYM,@,WSN,WSN,False,1.0
4,2022-04-10,NYM,@,WSN,WSN,False,1.0
5,2022-04-11,NYM,@,PHI,WSN,True,2.0
6,2022-04-12,NYM,@,PHI,PHI,False,2.0
7,2022-04-13,NYM,@,PHI,PHI,False,2.0
8,2022-04-15,NYM,,ARI,PHI,True,3.0
9,2022-04-16,NYM,,ARI,ARI,False,3.0
10,2022-04-17,NYM,,ARI,ARI,False,3.0
11,2022-04-19,NYM,,SFG,ARI,True,4.0
12,2022-04-19,NYM,,SFG,SFG,False,4.0
13,2022-04-20,NYM,,SFG,SFG,False,4.0
14,2022-04-21,NYM,,SFG,SFG,False,4.0
15,2022-04-22,NYM,@,ARI,SFG,True,5.0
16,2022-04-23,NYM,@,ARI,ARI,False,5.0
17,2022-04-24,NYM,@,ARI,ARI,False,5.0
18,2022-04-25,NYM,@,STL,ARI,True,6.0
19,2022-04-26,NYM,@,STL,STL,False,6.0
20,2022-04-27,NYM,@,STL,STL,False,6.0
21,2022-04-29,NYM,,PHI,STL,True,7.0
22,2022-04-30,NYM,,PHI,PHI,False,7.0
23,2022-05-01,NYM,,PHI,PHI,False,7.0
24,2022-05-02,NYM,,ATL,PHI,True,8.0
25,2022-05-03,NYM,,ATL,ATL,False,8.0
26,2022-05-03,NYM,,ATL,ATL,False,8.0
27,2022-05-04,NYM,,ATL,ATL,False,8.0
28,2022-05-05,NYM,@,PHI,ATL,True,9.0
29,2022-05-08,NYM,@,PHI,PHI,False,9.0
30,2022-05-08,NYM,@,PHI,PHI,False,9.0
31,2022-05-10,NYM,@,WSN,PHI,True,10.0
32,2022-05-11,NYM,@,WSN,WSN,False,10.0
33,2022-05-12,NYM,@,WSN,WSN,False,10.0
34,2022-05-13,NYM,,SEA,WSN,True,11.0
35,2022-05-14,NYM,,SEA,SEA,False,11.0
36,2022-05-15,NYM,,SEA,SEA,False,11.0
37,2022-05-17,NYM,,STL,SEA,True,12.0
38,2022-05-17,NYM,,STL,STL,False,12.0
39,2022-05-18,NYM,,STL,STL,False,12.0
40,2022-05-19,NYM,,STL,STL,False,12.0
41,2022-05-21,NYM,@,COL,STL,True,13.0
42,2022-05-21,NYM,@,COL,COL,False,13.0
43,2022-05-22,NYM,@,COL,COL,False,13.0
44,2022-05-23,NYM,@,SFG,COL,True,14.0
45,2022-05-24,NYM,@,SFG,SFG,False,14.0
46,2022-05-25,NYM,@,SFG,SFG,False,14.0
47,2022-05-27,NYM,,PHI,SFG,True,15.0
48,2022-05-28,NYM,,PHI,PHI,False,15.0
49,2022-05-29,NYM,,PHI,PHI,False,15.0
50,2022-05-30,NYM,,WSN,PHI,True,16.0
51,2022-05-31,NYM,,WSN,WSN,False,16.0
52,2022-06-01,NYM,,WSN,WSN,False,16.0
53,2022-06-02,NYM,@,LAD,WSN,True,17.0
54,2022-06-03,NYM,@,LAD,LAD,False,17.0
55,2022-06-04,NYM,@,LAD,LAD,False,17.0
56,2022-06-05,NYM,@,LAD,LAD,False,17.0
57,2022-06-06,NYM,@,SDP,LAD,True,18.0
58,2022-06-07,NYM,@,SDP,SDP,False,18.0
59,2022-06-08,NYM,@,SDP,SDP,False,18.0
60,2022-06-10,NYM,@,LAA,SDP,True,19.0
61,2022-06-11,NYM,@,LAA,LAA,False,19.0
62,2022-06-12,NYM,@,LAA,LAA,False,19.0
63,2022-06-14,NYM,,MIL,LAA,True,20.0
64,2022-06-15,NYM,,MIL,MIL,False,20.0
65,2022-06-16,NYM,,MIL,MIL,False,20.0
66,2022-06-17,NYM,,MIA,MIL,True,21.0
67,2022-06-18,NYM,,MIA,MIA,False,21.0
68,2022-06-19,NYM,,MIA,MIA,False,21.0
69,2022-06-20,NYM,,MIA,MIA,False,21.0
70,2022-06-21,NYM,@,HOU,MIA,True,22.0
71,2022-06-22,NYM,@,HOU,HOU,False,22.0
72,2022-06-24,NYM,@,MIA,HOU,True,23.0
73,2022-06-25,NYM,@,MIA,MIA,False,23.0
74,2022-06-26,NYM,@,MIA,MIA,False,23.0
75,2022-06-28,NYM,,HOU,MIA,True,24.0
76,2022-06-29,NYM,,HOU,HOU,False,24.0
77,2022-07-01,NYM,,TEX,HOU,True,25.0
78,2022-07-02,NYM,,TEX,TEX,False,25.0
79,2022-07-03,NYM,,TEX,TEX,False,25.0
80,2022-07-04,NYM,@,CIN,TEX,True,26.0
81,2022-07-05,NYM,@,CIN,CIN,False,26.0
82,2022-07-06,NYM,@,CIN,CIN,False,26.0
83,2022-07-07,NYM,,MIA,CIN,True,27.0
84,2022-07-08,NYM,,MIA,MIA,False,27.0
85,2022-07-09,NYM,,MIA,MIA,False,27.0
86,2022-07-10,NYM,,MIA,MIA,False,27.0
87,2022-07-11,NYM,@,ATL,MIA,True,28.0
88,2022-07-12,NYM,@,ATL,ATL,False,28.0
89,2022-07-13,NYM,@,ATL,ATL,False,28.0
90,2022-07-14,NYM,@,CHC,ATL,True,29.0
91,2022-07-16,NYM,@,CHC,CHC,False,29.0
92,2022-07-16,NYM,@,CHC,CHC,False,29.0
93,2022-07-17,NYM,@,CHC,CHC,False,29.0
94,2022-07-22,NYM,,SDP,CHC,True,30.0
95,2022-07-23,NYM,,SDP,SDP,False,30.0
96,2022-07-24,NYM,,SDP,SDP,False,30.0
97,2022-07-26,NYM,,NYY,SDP,True,31.0
98,2022-07-27,NYM,,NYY,NYY,False,31.0
99,2022-07-29,NYM,@,MIA,NYY,True,32.0
100,2022-07-30,NYM,@,MIA,MIA,False,32.0
101,2022-07-31,NYM,@,MIA,MIA,False,32.0
102,2022-08-01,NYM,@,WSN,MIA,True,33.0
103,2022-08-02,NYM,@,WSN,WSN,False,33.0
104,2022-08-03,NYM,@,WSN,WSN,False,33.0
105,2022-08-04,NYM,,ATL,WSN,True,34.0
106,2022-08-05,NYM,,ATL,ATL,False,34.0
107,2022-08-06,NYM,,ATL,ATL,False,34.0
108,2022-08-06,NYM,,ATL,ATL,False,34.0
109,2022-08-07,NYM,,ATL,ATL,False,34.0
110,2022-08-08,NYM,,CIN,ATL,True,35.0
111,2022-08-09,NYM,,CIN,CIN,False,35.0
112,2022-08-10,NYM,,CIN,CIN,False,35.0
113,2022-08-12,NYM,,PHI,CIN,True,36.0
114,2022-08-13,NYM,,PHI,PHI,False,36.0
115,2022-08-14,NYM,,PHI,PHI,False,36.0
116,2022-08-15,NYM,@,ATL,PHI,True,37.0
117,2022-08-16,NYM,@,ATL,ATL,False,37.0
118,2022-08-17,NYM,@,ATL,ATL,False,37.0
119,2022-08-18,NYM,@,ATL,ATL,False,37.0
120,2022-08-19,NYM,@,PHI,ATL,True,38.0
121,2022-08-20,NYM,@,PHI,PHI,False,38.0
122,2022-08-20,NYM,@,PHI,PHI,False,38.0
123,2022-08-21,NYM,@,PHI,PHI,False,38.0
124,2022-08-22,NYM,@,NYY,PHI,True,39.0
125,2022-08-23,NYM,@,NYY,NYY,False,39.0
126,2022-08-25,NYM,,COL,NYY,True,40.0
127,2022-08-26,NYM,,COL,COL,False,40.0
128,2022-08-27,NYM,,COL,COL,False,40.0
129,2022-08-28,NYM,,COL,COL,False,40.0
130,2022-08-30,NYM,,LAD,COL,True,41.0
131,2022-08-31,NYM,,LAD,LAD,False,41.0
132,2022-09-01,NYM,,LAD,LAD,False,41.0
133,2022-09-02,NYM,,WSN,LAD,True,42.0
134,2022-09-03,NYM,,WSN,WSN,False,42.0
135,2022-09-04,NYM,,WSN,WSN,False,42.0
136,2022-09-06,NYM,@,PIT,WSN,True,43.0
137,2022-09-07,NYM,@,PIT,PIT,False,43.0
138,2022-09-07,NYM,@,PIT,PIT,False,43.0
139,2022-09-09,NYM,@,MIA,PIT,True,44.0
140,2022-09-10,NYM,@,MIA,MIA,False,44.0
141,2022-09-11,NYM,@,MIA,MIA,False,44.0
142,2022-09-12,NYM,,CHC,MIA,True,45.0
143,2022-09-13,NYM,,CHC,CHC,False,45.0
144,2022-09-14,NYM,,CHC,CHC,False,45.0
145,2022-09-15,NYM,,PIT,CHC,True,46.0
146,2022-09-16,NYM,,PIT,PIT,False,46.0
147,2022-09-17,NYM,,PIT,PIT,False,46.0
148,2022-09-18,NYM,,PIT,PIT,False,46.0
149,2022-09-19,NYM,@,MIL,PIT,True,47.0
150,2022-09-20,NYM,@,MIL,MIL,False,47.0
151,2022-09-21,NYM,@,MIL,MIL,False,47.0
152,2022-09-23,NYM,@,OAK,MIL,True,48.0
153,2022-09-24,NYM,@,OAK,OAK,False,48.0
154,2022-09-25,NYM,@,OAK,OAK,False,48.0
155,2022-09-27,NYM,,MIA,OAK,True,49.0
156,2022-09-28,NYM,,MIA,MIA,False,49.0
157,2022-09-30,NYM,@,ATL,MIA,True,50.0
158,2022-10-01,NYM,@,ATL,ATL,False,50.0
159,2022-10-02,NYM,@,ATL,ATL,False,50.0
160,2022-10-04,NYM,,WSN,ATL,True,51.0
161,2022-10-04,NYM,,WSN,WSN,False,51.0
162,2022-10-05,NYM,,WSN,WSN,False,51.0
