Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2024-03-29,NYM,,MIL,2:28,D,,NYM
2,2024-03-30,NYM,,MIL,2:50,D,,NYM
3,2024-03-31,NYM,,MIL,2:43,D,,NYM
4,2024-04-01,NYM,,DET,2:46,N,,NYM
5,2024-04-04,NYM,,DET,3:25,D,,NYM
6,2024-04-04,NYM,,DET,2:23,D,,NYM
7,2024-04-05,NYM,@,CIN,2:58,N,,CIN
8,2024-04-06,NYM,@,CIN,2:38,D,,CIN
9,2024-04-07,NYM,@,CIN,2:38,D,,CIN
10,2024-04-08,NYM,@,ATL,3:27,N,,ATL
11,2024-04-09,NYM,@,ATL,2:42,N,,ATL
12,2024-04-11,NYM,@,ATL,2:50,D,,ATL
13,2024-04-12,NYM,,KCR,2:18,N,,NYM
14,2024-04-13,NYM,,KCR,2:56,D,,NYM
15,2024-04-14,NYM,,KCR,2:22,D,,NYM
16,2024-04-15,NYM,,PIT,2:43,N,,NYM
17,2024-04-16,NYM,,PIT,2:28,N,,NYM
18,2024-04-17,NYM,,PIT,2:33,D,,NYM
19,2024-04-19,NYM,@,LAD,3:03,N,,LAD
20,2024-04-20,NYM,@,LAD,3:20,D,,LAD
21,2024-04-21,NYM,@,LAD,2:18,D,,LAD
22,2024-04-22,NYM,@,SFG,2:25,N,,SFG
23,2024-04-23,NYM,@,SFG,2:10,N,,SFG
24,2024-04-24,NYM,@,SFG,2:50,D,,SFG
25,2024-04-26,NYM,,STL,2:30,N,,NYM
26,2024-04-27,NYM,,STL,3:03,D,,NYM
27,2024-04-28,NYM,,STL,2:59,D,,NYM
28,2024-04-29,NYM,,CHC,2:05,N,,NYM
29,2024-04-30,NYM,,CHC,2:31,N,,NYM
30,2024-05-01,NYM,,CHC,2:37,N,,NYM
31,2024-05-02,NYM,,CHC,3:17,D,,NYM
32,2024-05-03,NYM,@,TBR,2:46,N,,TBR
33,2024-05-04,NYM,@,TBR,2:51,N,,TBR
34,2024-05-05,NYM,@,TBR,3:28,D,,TBR
35,2024-05-06,NYM,@,STL,2:25,N,,STL
36,2024-05-07,NYM,@,STL,2:52,N,,STL
37,2024-05-10,NYM,,ATL,2:27,N,,NYM
38,2024-05-11,NYM,,ATL,2:45,D,,NYM
39,2024-05-12,NYM,,ATL,2:50,N,,NYM
40,2024-05-13,NYM,,PHI,3:10,N,,NYM
41,2024-05-14,NYM,,PHI,2:48,D,,NYM
42,2024-05-15,NYM,@,PHI,2:43,N,,PHI
43,2024-05-16,NYM,@,PHI,3:29,N,,PHI
44,2024-05-17,NYM,@,MIA,2:27,N,,MIA
45,2024-05-18,NYM,@,MIA,3:09,D,,MIA
46,2024-05-19,NYM,@,MIA,2:59,D,,MIA
47,2024-05-20,NYM,@,CLE,2:16,N,,CLE
48,2024-05-21,NYM,@,CLE,2:35,N,,CLE
49,2024-05-22,NYM,@,CLE,2:45,D,,CLE
50,2024-05-24,NYM,,SFG,2:45,N,,NYM
51,2024-05-25,NYM,,SFG,3:03,D,,NYM
52,2024-05-26,NYM,,SFG,2:17,D,,NYM
53,2024-05-28,NYM,,LAD,2:42,N,,NYM
54,2024-05-28,NYM,,LAD,2:18,N,,NYM
55,2024-05-29,NYM,,LAD,3:20,D,,NYM
56,2024-05-30,NYM,,ARI,2:43,N,,NYM
57,2024-05-31,NYM,,ARI,2:51,N,,NYM
58,2024-06-01,NYM,,ARI,2:53,D,,NYM
59,2024-06-02,NYM,,ARI,2:40,D,,NYM
60,2024-06-03,NYM,@,WSN,3:18,N,,WSN
61,2024-06-04,NYM,@,WSN,2:34,N,,WSN
62,2024-06-05,NYM,@,WSN,2:06,D,,WSN
63,2024-06-08,NYM,,PHI,2:52,N,,NYM
64,2024-06-09,NYM,@,PHI,3:27,D,,PHI
65,2024-06-11,NYM,,MIA,2:50,N,,NYM
66,2024-06-12,NYM,,MIA,2:45,N,,NYM
67,2024-06-13,NYM,,MIA,2:25,N,,NYM
68,2024-06-14,NYM,,SDP,2:32,N,,NYM
69,2024-06-15,NYM,,SDP,2:34,D,,NYM
70,2024-06-16,NYM,,SDP,3:11,D,,NYM
71,2024-06-17,NYM,@,TEX,2:53,N,,TEX
72,2024-06-18,NYM,@,TEX,2:44,N,,TEX
73,2024-06-19,NYM,@,TEX,2:27,N,,TEX
74,2024-06-21,NYM,@,CHC,3:03,D,,CHC
75,2024-06-22,NYM,@,CHC,2:30,D,,CHC
76,2024-06-23,NYM,@,CHC,3:10,N,,CHC
77,2024-06-25,NYM,,NYY,3:05,N,,NYM
78,2024-06-26,NYM,,NYY,3:05,N,,NYM
79,2024-06-28,NYM,,HOU,3:06,N,,NYM
80,2024-06-29,NYM,,HOU,3:23,D,,NYM
81,2024-06-30,NYM,,HOU,3:01,D,,NYM
82,2024-07-01,NYM,@,WSN,3:19,N,,WSN
83,2024-07-02,NYM,@,WSN,2:46,N,,WSN
84,2024-07-03,NYM,@,WSN,2:40,N,,WSN
85,2024-07-04,NYM,@,WSN,1:58,D,,WSN
86,2024-07-05,NYM,@,PIT,2:38,N,,PIT
87,2024-07-06,NYM,@,PIT,2:43,D,,PIT
88,2024-07-07,NYM,@,PIT,3:01,D,,PIT
89,2024-07-08,NYM,@,PIT,2:22,D,,PIT
90,2024-07-09,NYM,,WSN,2:41,N,,NYM
91,2024-07-10,NYM,,WSN,2:24,N,,NYM
92,2024-07-11,NYM,,WSN,2:49,D,,NYM
93,2024-07-12,NYM,,COL,2:49,N,,NYM
94,2024-07-13,NYM,,COL,2:53,D,,NYM
95,2024-07-14,NYM,,COL,2:56,D,,NYM
96,2024-07-19,NYM,@,MIA,2:43,N,,MIA
97,2024-07-20,NYM,@,MIA,2:35,D,,MIA
98,2024-07-21,NYM,@,MIA,3:02,D,,MIA
99,2024-07-22,NYM,@,MIA,2:45,N,,MIA
100,2024-07-23,NYM,@,NYY,3:13,N,,NYY
101,2024-07-24,NYM,@,NYY,3:18,N,,NYY
102,2024-07-25,NYM,,ATL,2:39,N,,NYM
103,2024-07-26,NYM,,ATL,2:44,N,,NYM
104,2024-07-27,NYM,,ATL,2:13,D,,NYM
105,2024-07-28,NYM,,ATL,2:38,D,,NYM
106,2024-07-29,NYM,,MIN,2:59,N,,NYM
107,2024-07-30,NYM,,MIN,2:12,N,,NYM
108,2024-07-31,NYM,,MIN,2:49,D,,NYM
109,2024-08-02,NYM,@,LAA,2:41,N,,LAA
110,2024-08-03,NYM,@,LAA,2:50,N,,LAA
111,2024-08-04,NYM,@,LAA,2:46,D,,LAA
112,2024-08-05,NYM,@,STL,2:22,D,,STL
113,2024-08-06,NYM,@,COL,2:29,N,,COL
114,2024-08-07,NYM,@,COL,2:46,N,,COL
115,2024-08-08,NYM,@,COL,2:47,D,,COL
116,2024-08-09,NYM,@,SEA,2:31,N,,SEA
117,2024-08-10,NYM,@,SEA,2:28,N,,SEA
118,2024-08-11,NYM,@,SEA,2:41,D,,SEA
119,2024-08-13,NYM,,OAK,3:00,N,,NYM
120,2024-08-14,NYM,,OAK,2:29,N,,NYM
121,2024-08-15,NYM,,OAK,3:45,D,,NYM
122,2024-08-16,NYM,,MIA,2:41,N,,NYM
123,2024-08-17,NYM,,MIA,2:26,D,,NYM
124,2024-08-18,NYM,,MIA,3:06,D,,NYM
125,2024-08-19,NYM,,BAL,2:22,N,,NYM
126,2024-08-20,NYM,,BAL,2:49,N,,NYM
127,2024-08-21,NYM,,BAL,2:30,D,,NYM
128,2024-08-22,NYM,@,SDP,2:57,N,,SDP
129,2024-08-23,NYM,@,SDP,2:34,N,,SDP
130,2024-08-24,NYM,@,SDP,2:25,N,,SDP
131,2024-08-25,NYM,@,SDP,2:46,D,,SDP
132,2024-08-27,NYM,@,ARI,2:51,N,,ARI
133,2024-08-28,NYM,@,ARI,2:38,N,,ARI
134,2024-08-29,NYM,@,ARI,2:21,D,,ARI
135,2024-08-30,NYM,@,CHW,2:36,N,,CHW
136,2024-08-31,NYM,@,CHW,2:49,N,,CHW
137,2024-09-01,NYM,@,CHW,2:18,D,,CHW
138,2024-09-02,NYM,,BOS,2:22,N,,NYM
139,2024-09-03,NYM,,BOS,2:35,N,,NYM
140,2024-09-04,NYM,,BOS,2:50,N,,NYM
141,2024-09-06,NYM,,CIN,2:35,N,,NYM
142,2024-09-07,NYM,,CIN,2:26,D,,NYM
143,2024-09-08,NYM,,CIN,2:52,D,,NYM
144,2024-09-09,NYM,@,TOR,2:39,N,,TOR
145,2024-09-10,NYM,@,TOR,2:56,N,,TOR
146,2024-09-11,NYM,@,TOR,2:37,D,,TOR
147,2024-09-13,NYM,@,PHI,2:50,N,,PHI
148,2024-09-14,NYM,@,PHI,2:27,D,,PHI
149,2024-09-15,NYM,@,PHI,2:13,D,,PHI
150,2024-09-16,NYM,,WSN,2:28,N,,NYM
151,2024-09-17,NYM,,WSN,2:43,N,,NYM
152,2024-09-18,NYM,,WSN,2:26,N,,NYM
153,2024-09-19,NYM,,PHI,2:36,N,,NYM
154,2024-09-20,NYM,,PHI,2:57,N,,NYM
155,2024-09-21,NYM,,PHI,2:23,D,,NYM
156,2024-09-22,NYM,,PHI,2:30,N,,NYM
157,2024-09-24,NYM,@,ATL,2:16,N,,ATL
158,2024-09-27,NYM,@,MIL,3:05,N,,MIL
