Gm#,Date,Tm,@,Opp,away,lag,seg_start,seg
1,2024-03-29,NYM,,MIL,0,,True,1.0
2,2024-03-30,NYM,,MIL,0,0.0,False,1.0
3,2024-03-31,NYM,,MIL,0,0.0,False,1.0
4,2024-04-01,NYM,,DET,0,0.0,False,1.0
5,2024-04-04,NYM,,DET,0,0.0,False,1.0
6,2024-04-04,NYM,,DET,0,0.0,False,1.0
7,2024-04-05,NYM,@,CIN,1,0.0,True,2.0
8,2024-04-06,NYM,@,CIN,1,1.0,False,2.0
9,2024-04-07,NYM,@,CIN,1,1.0,False,2.0
10,2024-04-08,NYM,@,ATL,1,1.0,False,2.0
11,2024-04-09,NYM,@,ATL,1,1.0,False,2.0
12,2024-04-11,NYM,@,ATL,1,1.0,False,2.0
13,2024-04-12,NYM,,KCR,0,1.0,True,3.0
14,2024-04-13,NYM,,KCR,0,0.0,False,3.0
15,2024-04-14,NYM,,KCR,0,0.0,False,3.0
16,2024-04-15,NYM,,PIT,0,0.0,False,3.0
17,2024-04-16,NYM,,PIT,0,0.0,False,3.0
18,2024-04-17,NYM,,PIT,0,0.0,False,3.0
19,2024-04-19,NYM,@,LAD,1,0.0,True,4.0
20,2024-04-20,NYM,@,LAD,1,1.0,False,4.0
21,2024-04-21,NYM,@,LAD,1,1.0,False,4.0
22,2024-04-22,NYM,@,SFG,1,1.0,False,4.0
23,2024-04-23,NYM,@,SFG,1,1.0,False,4.0
24,2024-04-24,NYM,@,SFG,1,1.0,False,4.0
25,2024-04-26,NYM,,STL,0,1.0,True,5.0
26,2024-04-27,NYM,,STL,0,0.0,False,5.0
27,2024-04-28,NYM,,STL,0,0.0,False,5.0
28,2024-04-29,NYM,,CHC,0,0.0,False,5.0
29,2024-04-30,NYM,,CHC,0,0.0,False,5.0
30,2024-05-01,NYM,,CHC,0,0.0,False,5.0
31,2024-05-02,NYM,,CHC,0,0.0,False,5.0
32,2024-05-03,NYM,@,TBR,1,0.0,True,6.0
33,2024-05-04,NYM,@,TBR,1,1.0,False,6.0
34,2024-05-05,NYM,@,TBR,1,1.0,False,6.0
35,2024-05-06,NYM,@,STL,1,1.0,False,6.0
36,2024-05-07,NYM,@,STL,1,1.0,False,6.0
37,2024-05-10,NYM,,ATL,0,1.0,True,7.0
38,2024-05-11,NYM,,ATL,0,0.0,False,7.0
39,2024-05-12,NYM,,ATL,0,0.0,False,7.0
40,2024-05-13,NYM,,PHI,0,0.0,False,7.0
41,2024-05-14,NYM,,PHI,0,0.0,False,7.0
42,2024-05-15,NYM,@,PHI,1,0.0,True,8.0
43,2024-05-16,NYM,@,PHI,1,1.0,False,8.0
44,2024-05-17,NYM,@,MIA,1,1.0,False,8.0
45,2024-05-18,NYM,@,MIA,1,1.0,False,8.0
46,2024-05-19,NYM,@,MIA,1,1.0,False,8.0
47,2024-05-20,NYM,@,CLE,1,1.0,False,8.0
48,2024-05-21,NYM,@,CLE,1,1.0,False,8.0
49,2024-05-22,NYM,@,CLE,1,1.0,False,8.0
50,2024-05-24,NYM,,SFG,0,1.0,True,9.0
51,2024-05-25,NYM,,SFG,0,0.0,False,9.0
52,2024-05-26,NYM,,SFG,0,0.0,False,9.0
53,2024-05-28,NYM,,LAD,0,0.0,False,9.0
54,2024-05-28,NYM,,LAD,0,0.0,False,9.0
55,2024-05-29,NYM,,LAD,0,0.0,False,9.0
56,2024-05-30,NYM,,ARI,0,0.0,False,9.0
57,2024-05-31,NYM,,ARI,0,0.0,False,9.0
58,2024-06-01,NYM,,ARI,0,0.0,False,9.0
59,2024-06-02,NYM,,ARI,0,0.0,False,9.0
60,2024-06-03,NYM,@,WSN,1,0.0,True,10.0
61,2024-06-04,NYM,@,WSN,1,1.0,False,10.0
62,2024-06-05,NYM,@,WSN,1,1.0,False,10.0
63,2024-06-08,NYM,,PHI,0,1.0,True,11.0
64,2024-06-09,NYM,@,PHI,1,0.0,True,12.0
65,2024-06-11,NYM,,MIA,0,1.0,True,13.0
66,2024-06-12,NYM,,MIA,0,0.0,False,13.0
67,2024-06-13,NYM,,MIA,0,0.0,False,13.0
68,2024-06-14,NYM,,SDP,0,0.0,False,13.0
69,2024-06-15,NYM,,SDP,0,0.0,False,13.0
70,2024-06-16,NYM,,SDP,0,0.0,False,13.0
71,2024-06-17,NYM,@,TEX,1,0.0,True,14.0
72,2024-06-18,NYM,@,TEX,1,1.0,False,14.0
73,2024-06-19,NYM,@,TEX,1,1.0,False,14.0
74,2024-06-21,NYM,@,CHC,1,1.0,False,14.0
75,2024-06-22,NYM,@,CHC,1,1.0,False,14.0
76,2024-06-23,NYM,@,CHC,1,1.0,False,14.0
77,2024-06-25,NYM,,NYY,0,1.0,True,15.0
78,2024-06-26,NYM,,NYY,0,0.0,False,15.0
79,2024-06-28,NYM,,HOU,0,0.0,False,15.0
80,2024-06-29,NYM,,HOU,0,0.0,False,15.0
81,2024-06-30,NYM,,HOU,0,0.0,False,15.0
82,2024-07-01,NYM,@,WSN,1,0.0,True,16.0
83,2024-07-02,NYM,@,WSN,1,1.0,False,16.0
84,2024-07-03,NYM,@,WSN,1,1.0,False,16.0
85,2024-07-04,NYM,@,WSN,1,1.0,False,16.0
86,2024-07-05,NYM,@,PIT,1,1.0,False,16.0
87,2024-07-06,NYM,@,PIT,1,1.0,False,16.0
88,2024-07-07,NYM,@,PIT,1,1.0,False,16.0
89,2024-07-08,NYM,@,PIT,1,1.0,False,16.0
