Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2022-04-08,NYY,,BOS,3:56,D,,NYY
2,2022-04-09,NYY,,BOS,2:58,D,,NYY
3,2022-04-10,NYY,,BOS,3:40,N,,NYY
4,2022-04-11,NYY,,TOR,3:03,N,,NYY
5,2022-04-12,NYY,,TOR,3:07,N,,NYY
6,2022-04-13,NYY,,TOR,3:10,N,,NYY
7,2022-04-14,NYY,,TOR,3:06,N,,NYY
8,2022-04-15,NYY,@,BAL,4:15,N,,BAL
9,2022-04-16,NYY,@,BAL,3:26,N,,BAL
10,2022-04-17,NYY,@,BAL,3:16,D,,BAL
11,2022-04-19,NYY,@,DET,3:59,N,,DET
12,2022-04-20,NYY,@,DET,3:06,N,,DET
13,2022-04-21,NYY,@,DET,2:34,D,,DET
14,2022-04-22,NYY,,CLE,2:58,N,,NYY
15,2022-04-23,NYY,,CLE,2:50,D,,NYY
16,2022-04-24,NYY,,CLE,2:43,D,,NYY
17,2022-04-26,NYY,,BAL,3:19,N,,NYY
18,2022-04-27,NYY,,BAL,2:57,N,,NYY
19,2022-04-28,NYY,,BAL,3:51,D,,NYY
20,2022-04-29,NYY,@,KCR,2:58,N,,KCR
21,2022-04-30,NYY,@,KCR,3:08,N,,KCR
22,2022-05-01,NYY,@,KCR,3:23,D,,KCR
23,2022-05-02,NYY,@,TOR,2:54,N,,TOR
24,2022-05-03,NYY,@,TOR,2:57,N,,TOR
25,2022-05-04,NYY,@,TOR,2:44,N,,TOR
26,2022-05-08,NYY,,TEX,2:54,D,2022-05-06 (Rain),NYY
27,2022-05-08,NYY,,TEX,3:07,D,,NYY
28,2022-05-09,NYY,,TEX,2:41,D,2022-05-07 (Rain),NYY
29,2022-05-10,NYY,,TOR,3:39,N,,NYY
30,2022-05-11,NYY,,TOR,2:50,D,,NYY
31,2022-05-12,NYY,@,CHW,3:56,N,,CHW
32,2022-05-13,NYY,@,CHW,3:21,N,,CHW
33,2022-05-14,NYY,@,CHW,3:27,N,,CHW
34,2022-05-15,NYY,@,CHW,2:32,D,,CHW
35,2022-05-16,NYY,@,BAL,2:59,N,,BAL
36,2022-05-17,NYY,@,BAL,3:06,N,,BAL
37,2022-05-18,NYY,@,BAL,2:34,N,,BAL
38,2022-05-19,NYY,@,BAL,4:01,D,,BAL
39,2022-05-21,NYY,,CHW,3:40,D,,NYY
40,2022-05-22,NYY,,CHW,3:09,D,2022-05-20 (Rain),NYY
41,2022-05-22,NYY,,CHW,2:51,N,,NYY
42,2022-05-23,NYY,,BAL,2:50,N,,NYY
43,2022-05-24,NYY,,BAL,3:36,N,,NYY
44,2022-05-25,NYY,,BAL,3:07,N,,NYY
45,2022-05-26,NYY,@,TBR,2:49,N,,TBR
46,2022-05-27,NYY,@,TBR,2:23,N,,TBR
47,2022-05-28,NYY,@,TBR,2:47,D,,TBR
48,2022-05-29,NYY,@,TBR,2:35,D,,TBR
49,2022-05-31,NYY,,LAA,2:54,N,,NYY
50,2022-06-02,NYY,,LAA,3:07,D,2022-06-01 (Rain),NYY
51,2022-06-02,NYY,,LAA,3:08,N,,NYY
52,2022-06-03,NYY,,DET,2:39,N,,NYY
53,2022-06-04,NYY,,DET,2:28,D,,NYY
54,2022-06-05,NYY,,DET,3:24,D,,NYY
55,2022-06-07,NYY,@,MIN,3:50,N,,MIN
56,2022-06-08,NYY,@,MIN,3:00,N,,MIN
57,2022-06-09,NYY,@,MIN,3:32,N,,MIN
58,2022-06-10,NYY,,CHC,4:16,N,,NYY
59,2022-06-11,NYY,,CHC,2:48,N,,NYY
60,2022-06-12,NYY,,CHC,3:23,D,,NYY
61,2022-06-14,NYY,,TBR,3:03,N,,NYY
