Gm#,Date,Tm,@,Opp,last_opp,new_series,series
1,2022-04-08,NYY,,BOS,,True,1.0
2,2022-04-09,NYY,,BOS,BOS,False,1.0
3,2022-04-10,NYY,,BOS,BOS,False,1.0
4,2022-04-11,NYY,,TOR,BOS,True,2.0
5,2022-04-12,NYY,,TOR,TOR,False,2.0
6,2022-04-13,NYY,,TOR,TOR,False,2.0
7,2022-04-14,NYY,,TOR,TOR,False,2.0
8,2022-04-15,NYY,@,BAL,TOR,True,3.0
9,2022-04-16,NYY,@,BAL,BAL,False,3.0
10,2022-04-17,NYY,@,BAL,BAL,False,3.0
11,2022-04-19,NYY,@,DET,BAL,True,4.0
12,2022-04-20,NYY,@,DET,DET,False,4.0
13,2022-04-21,NYY,@,DET,DET,False,4.0
14,2022-04-22,NYY,,CLE,DET,True,5.0
15,2022-04-23,NYY,,CLE,CLE,False,5.0
16,2022-04-24,NYY,,CLE,CLE,False,5.0
17,2022-04-26,NYY,,BAL,CLE,True,6.0
18,2022-04-27,NYY,,BAL,BAL,False,6.0
19,2022-04-28,NYY,,BAL,BAL,False,6.0
20,2022-04-29,NYY,@,KCR,BAL,True,7.0
21,2022-04-30,NYY,@,KCR,KCR,False,7.0
22,2022-05-01,NYY,@,KCR,KCR,False,7.0
23,2022-05-02,NYY,@,TOR,KCR,True,8.0
24,2022-05-03,NYY,@,TOR,TOR,False,8.0
25,2022-05-04,NYY,@,TOR,TOR,False,8.0
26,2022-05-08,NYY,,TEX,TOR,True,9.0
27,2022-05-08,NYY,,TEX,TEX,False,9.0
28,2022-05-09,NYY,,TEX,TEX,False,9.0
29,2022-05-10,NYY,,TOR,TEX,True,10.0
30,2022-05-11,NYY,,TOR,TOR,False,10.0
31,2022-05-12,NYY,@,CHW,TOR,True,11.0
32,2022-05-13,NYY,@,CHW,CHW,False,11.0
33,2022-05-14,NYY,@,CHW,CHW,False,11.0
34,2022-05-15,NYY,@,CHW,CHW,False,11.0
35,2022-05-16,NYY,@,BAL,CHW,True,12.0
36,2022-05-17,NYY,@,BAL,BAL,False,12.0
37,2022-05-18,NYY,@,BAL,BAL,False,12.0
38,2022-05-19,NYY,@,BAL,BAL,False,12.0
39,2022-05-21,NYY,,CHW,BAL,True,13.0
40,2022-05-22,NYY,,CHW,CHW,False,13.0
41,2022-05-22,NYY,,CHW,CHW,False,13.0
42,2022-05-23,NYY,,BAL,CHW,True,14.0
43,2022-05-24,NYY,,BAL,BAL,False,14.0
44,2022-05-25,NYY,,BAL,BAL,False,14.0
45,2022-05-26,NYY,@,TBR,BAL,True,15.0
46,2022-05-27,NYY,@,TBR,TBR,False,15.0
47,2022-05-28,NYY,@,TBR,TBR,False,15.0
48,2022-05-29,NYY,@,TBR,TBR,False,15.0
49,2022-05-31,NYY,,LAA,TBR,True,16.0
50,2022-06-02,NYY,,LAA,LAA,False,16.0
51,2022-06-02,NYY,,LAA,LAA,False,16.0
52,2022-06-03,NYY,,DET,LAA,True,17.0
53,2022-06-04,NYY,,DET,DET,False,17.0
54,2022-06-05,NYY,,DET,DET,False,17.0
55,2022-06-07,NYY,@,MIN,DET,True,18.0
56,2022-06-08,NYY,@,MIN,MIN,False,18.0
57,2022-06-09,NYY,@,MIN,MIN,False,18.0
58,2022-06-10,NYY,,CHC,MIN,True,19.0
59,2022-06-11,NYY,,CHC,CHC,False,19.0
60,2022-06-12,NYY,,CHC,CHC,False,19.0
61,2022-06-14,NYY,,TBR,CHC,True,20.0
62,2022-06-15,NYY,,TBR,TBR,False,20.0
63,2022-06-16,NYY,,TBR,TBR,False,20.0
64,2022-06-17,NYY,@,TOR,TBR,True,21.0
65,2022-06-18,NYY,@,TOR,TOR,False,21.0
66,2022-06-19,NYY,@,TOR,TOR,False,21.0
67,2022-06-20,NYY,@,TBR,TOR,True,22.0
68,2022-06-21,NYY,@,TBR,TBR,False,22.0
69,2022-06-22,NYY,@,TBR,TBR,False,22.0
70,2022-06-23,NYY,,HOU,TBR,True,23.0
71,2022-06-24,NYY,,HOU,HOU,False,23.0
72,2022-06-25,NYY,,HOU,HOU,False,23.0
73,2022-06-26,NYY,,HOU,HOU,False,23.0
74,2022-06-27,NYY,,OAK,HOU,True,24.0
75,2022-06-28,NYY,,OAK,OAK,False,24.0
76,2022-06-29,NYY,,OAK,OAK,False,24.0
77,2022-06-30,NYY,@,HOU,OAK,True,25.0
78,2022-07-02,NYY,@,CLE,HOU,True,26.0
79,2022-07-02,NYY,@,CLE,CLE,False,26.0
80,2022-07-03,NYY,@,CLE,CLE,False,26.0
81,2022-07-05,NYY,@,PIT,CLE,True,27.0
82,2022-07-06,NYY,@,PIT,PIT,False,27.0
83,2022-07-07,NYY,@,BOS,PIT,True,28.0
84,2022-07-08,NYY,@,BOS,BOS,False,28.0
85,2022-07-09,NYY,@,BOS,BOS,False,28.0
86,2022-07-10,NYY,@,BOS,BOS,False,28.0
87,2022-07-12,NYY,,CIN,BOS,True,29.0
88,2022-07-13,NYY,,CIN,CIN,False,29.0
89,2022-07-14,NYY,,CIN,CIN,False,29.0
90,2022-07-15,NYY,,BOS,CIN,True,30.0
91,2022-07-16,NYY,,BOS,BOS,False,30.0
92,2022-07-17,NYY,,BOS,BOS,False,30.0
93,2022-07-21,NYY,@,HOU,BOS,True,31.0
94,2022-07-21,NYY,@,HOU,HOU,False,31.0
95,2022-07-22,NYY,@,BAL,HOU,True,32.0
96,2022-07-23,NYY,@,BAL,BAL,False,32.0
97,2022-07-24,NYY,@,BAL,BAL,False,32.0
98,2022-07-26,NYY,@,NYM,BAL,True,33.0
99,2022-07-27,NYY,@,NYM,NYM,False,33.0
100,2022-07-28,NYY,,KCR,NYM,True,34.0
101,2022-07-29,NYY,,KCR,KCR,False,34.0
102,2022-07-30,NYY,,KCR,KCR,False,34.0
103,2022-07-31,NYY,,KCR,KCR,False,34.0
104,2022-08-01,NYY,,SEA,KCR,True,35.0
105,2022-08-02,NYY,,SEA,SEA,False,35.0
106,2022-08-03,NYY,,SEA,SEA,False,35.0
107,2022-08-05,NYY,@,STL,SEA,True,36.0
108,2022-08-06,NYY,@,STL,STL,False,36.0
109,2022-08-07,NYY,@,STL,STL,False,36.0
110,2022-08-08,NYY,@,SEA,STL,True,37.0
111,2022-08-09,NYY,@,SEA,SEA,False,37.0
112,2022-08-10,NYY,@,SEA,SEA,False,37.0
113,2022-08-12,NYY,@,BOS,SEA,True,38.0
114,2022-08-13,NYY,@,BOS,BOS,False,38.0
115,2022-08-14,NYY,@,BOS,BOS,False,38.0
116,2022-08-15,NYY,,TBR,BOS,True,39.0
117,2022-08-16,NYY,,TBR,TBR,False,39.0
118,2022-08-17,NYY,,TBR,TBR,False,39.0
119,2022-08-18,NYY,,TOR,TBR,True,40.0
120,2022-08-19,NYY,,TOR,TOR,False,40.0
121,2022-08-20,NYY,,TOR,TOR,False,40.0
122,2022-08-21,NYY,,TOR,TOR,False,40.0
123,2022-08-22,NYY,,NYM,TOR,True,41.0
124,2022-08-23,NYY,,NYM,NYM,False,41.0
125,2022-08-25,NYY,@,OAK,NYM,True,42.0
126,2022-08-26,NYY,@,OAK,OAK,False,42.0
127,2022-08-27,NYY,@,OAK,OAK,False,42.0
128,2022-08-28,NYY,@,OAK,OAK,False,42.0
129,2022-08-29,NYY,@,LAA,OAK,True,43.0
130,2022-08-30,NYY,@,LAA,LAA,False,43.0
131,2022-08-31,NYY,@,LAA,LAA,False,43.0
132,2022-09-02,NYY,@,TBR,LAA,True,44.0
133,2022-09-03,NYY,@,TBR,TBR,False,44.0
134,2022-09-04,NYY,@,TBR,TBR,False,44.0
135,2022-09-05,NYY,,MIN,TBR,True,45.0
136,2022-09-07,NYY,,MIN,MIN,False,45.0
137,2022-09-07,NYY,,MIN,MIN,False,45.0
138,2022-09-08,NYY,,MIN,MIN,False,45.0
139,2022-09-09,NYY,,TBR,MIN,True,46.0
140,2022-09-10,NYY,,TBR,TBR,False,46.0
141,2022-09-11,NYY,,TBR,TBR,False,46.0
142,2022-09-13,NYY,@,BOS,TBR,True,47.0
143,2022-09-14,NYY,@,BOS,BOS,False,47.0
144,2022-09-16,NYY,@,MIL,BOS,True,48.0
145,2022-09-17,NYY,@,MIL,MIL,False,48.0
146,2022-09-18,NYY,@,MIL,MIL,False,48.0
147,2022-09-20,NYY,,PIT,MIL,True,49.0
148,2022-09-21,NYY,,PIT,PIT,False,49.0
149,2022-09-22,NYY,,BOS,PIT,True,50.0
150,2022-09-23,NYY,,BOS,BOS,False,50.0
151,2022-09-24,NYY,,BOS,BOS,False,50.0
152,2022-09-25,NYY,,BOS,BOS,False,50.0
153,2022-09-26,NYY,@,TOR,BOS,True,51.0
154,2022-09-27,NYY,@,TOR,TOR,False,51.0
155,2022-09-28,NYY,@,TOR,TOR,False,51.0
156,2022-09-30,NYY,,BAL,TOR,True,52.0
157,2022-10-01,NYY,,BAL,BAL,False,52.0
158,2022-10-02,NYY,,BAL,BAL,False,52.0
159,2022-10-03,NYY,@,TEX,BAL,True,53.0
160,2022-10-04,NYY,@,TEX,TEX,False,53.0
161,2022-10-04,NYY,@,TEX,TEX,False,53.0
162,2022-10-05,NYY,@,TEX,TEX,False,53.0
