Gm#,Date,Tm,@,Opp,away,lag,seg_start,seg
1,2024-03-28,NYY,@,HOU,1,,True,1.0
2,2024-03-29,NYY,@,HOU,1,1.0,False,1.0
3,2024-03-30,NYY,@,HOU,1,1.0,False,1.0
4,2024-03-31,NYY,@,HOU,1,1.0,False,1.0
5,2024-04-01,NYY,@,ARI,1,1.0,False,1.0
6,2024-04-02,NYY,@,ARI,1,1.0,False,1.0
7,2024-04-03,NYY,@,ARI,1,1.0,False,1.0
8,2024-04-05,NYY,,TOR,0,1.0,True,2.0
9,2024-04-06,NYY,,TOR,0,0.0,False,2.0
10,2024-04-07,NYY,,TOR,0,0.0,False,2.0
11,2024-04-08,NYY,,MIA,0,0.0,False,2.0
12,2024-04-09,NYY,,MIA,0,0.0,False,2.0
13,2024-04-10,NYY,,MIA,0,0.0,False,2.0
14,2024-04-13,NYY,@,CLE,1,0.0,True,3.0
15,2024-04-13,NYY,@,CLE,1,1.0,False,3.0
16,2024-04-14,NYY,@,CLE,1,1.0,False,3.0
17,2024-04-15,NYY,@,TOR,1,1.0,False,3.0
18,2024-04-16,NYY,@,TOR,1,1.0,False,3.0
19,2024-04-17,NYY,@,TOR,1,1.0,False,3.0
20,2024-04-19,NYY,,TBR,0,1.0,True,4.0
21,2024-04-20,NYY,,TBR,0,0.0,False,4.0
22,2024-04-21,NYY,,TBR,0,0.0,False,4.0
23,2024-04-22,NYY,,OAK,0,0.0,False,4.0
24,2024-04-23,NYY,,OAK,0,0.0,False,4.0
25,2024-04-24,NYY,,OAK,0,0.0,False,4.0
26,2024-04-25,NYY,,OAK,0,0.0,False,4.0
27,2024-04-26,NYY,@,MIL,1,0.0,True,5.0
28,2024-04-27,NYY,@,MIL,1,1.0,False,5.0
29,2024-04-28,NYY,@,MIL,1,1.0,False,5.0
30,2024-04-29,NYY,@,BAL,1,1.0,False,5.0
31,2024-04-30,NYY,@,BAL,1,1.0,False,5.0
32,2024-05-01,NYY,@,BAL,1,1.0,False,5.0
33,2024-05-02,NYY,@,BAL,1,1.0,False,5.0
34,2024-05-03,NYY,,DET,0,1.0,True,6.0
35,2024-05-04,NYY,,DET,0,0.0,False,6.0
36,2024-05-05,NYY,,DET,0,0.0,False,6.0
37,2024-05-07,NYY,,HOU,0,0.0,False,6.0
38,2024-05-08,NYY,,HOU,0,0.0,False,6.0
39,2024-05-09,NYY,,HOU,0,0.0,False,6.0
40,2024-05-10,NYY,@,TBR,1,0.0,True,7.0
41,2024-05-11,NYY,@,TBR,1,1.0,False,7.0
42,2024-05-12,NYY,@,TBR,1,1.0,False,7.0
43,2024-05-14,NYY,@,MIN,1,1.0,False,7.0
44,2024-05-15,NYY,@,MIN,1,1.0,False,7.0
45,2024-05-16,NYY,@,MIN,1,1.0,False,7.0
46,2024-05-17,NYY,,CHW,0,1.0,True,8.0
47,2024-05-18,NYY,,CHW,0,0.0,False,8.0
48,2024-05-19,NYY,,CHW,0,0.0,False,8.0
49,2024-05-20,NYY,,SEA,0,0.0,False,8.0
50,2024-05-21,NYY,,SEA,0,0.0,False,8.0
51,2024-05-22,NYY,,SEA,0,0.0,False,8.0
52,2024-05-23,NYY,,SEA,0,0.0,False,8.0
53,2024-05-24,NYY,@,SDP,1,0.0,True,9.0
54,2024-05-25,NYY,@,SDP,1,1.0,False,9.0
55,2024-05-26,NYY,@,SDP,1,1.0,False,9.0
56,2024-05-28,NYY,@,LAA,1,1.0,False,9.0
57,2024-05-29,NYY,@,LAA,1,1.0,False,9.0
58,2024-05-30,NYY,@,LAA,1,1.0,False,9.0
59,2024-05-31,NYY,@,SFG,1,1.0,False,9.0
60,2024-06-01,NYY,@,SFG,1,1.0,False,9.0
61,2024-06-02,NYY,@,SFG,1,1.0,False,9.0
62,2024-06-04,NYY,,MIN,0,1.0,True,10.0
63,2024-06-05,NYY,,MIN,0,0.0,False,10.0
64,2024-06-06,NYY,,MIN,0,0.0,False,10.0
65,2024-06-07,NYY,,LAD,0,0.0,False,10.0
66,2024-06-08,NYY,,LAD,0,0.0,False,10.0
67,2024-06-09,NYY,,LAD,0,0.0,False,10.0
68,2024-06-10,NYY,@,KCR,1,0.0,True,11.0
69,2024-06-11,NYY,@,KCR,1,1.0,False,11.0
70,2024-06-12,NYY,@,KCR,1,1.0,False,11.0
71,2024-06-13,NYY,@,KCR,1,1.0,False,11.0
72,2024-06-14,NYY,@,BOS,1,1.0,False,11.0
73,2024-06-15,NYY,@,BOS,1,1.0,False,11.0
74,2024-06-16,NYY,@,BOS,1,1.0,False,11.0
75,2024-06-18,NYY,,BAL,0,1.0,True,12.0
76,2024-06-19,NYY,,BAL,0,0.0,False,12.0
77,2024-06-20,NYY,,BAL,0,0.0,False,12.0
78,2024-06-21,NYY,,ATL,0,0.0,False,12.0
79,2024-06-22,NYY,,ATL,0,0.0,False,12.0
80,2024-06-23,NYY,,ATL,0,0.0,False,12.0
81,2024-06-25,NYY,@,NYM,1,0.0,True,13.0
82,2024-06-26,NYY,@,NYM,1,1.0,False,13.0
83,2024-06-27,NYY,@,TOR,1,1.0,False,13.0
84,2024-06-28,NYY,@,TOR,1,1.0,False,13.0
85,2024-06-29,NYY,@,TOR,1,1.0,False,13.0
86,2024-06-30,NYY,@,TOR,1,1.0,False,13.0
87,2024-07-02,NYY,,CIN,0,1.0,True,14.0
88,2024-07-03,NYY,,CIN,0,0.0,False,14.0
89,2024-07-04,NYY,,CIN,0,0.0,False,14.0
90,2024-07-05,NYY,,BOS,0,0.0,False,14.0
91,2024-07-06,NYY,,BOS,0,0.0,False,14.0
92,2024-07-07,NYY,,BOS,0,0.0,False,14.0
93,2024-07-09,NYY,@,TBR,1,0.0,True,15.0
94,2024-07-10,NYY,@,TBR,1,1.0,False,15.0
95,2024-07-11,NYY,@,TBR,1,1.0,False,15.0
96,2024-07-12,NYY,@,BAL,1,1.0,False,15.0
97,2024-07-13,NYY,@,BAL,1,1.0,False,15.0
98,2024-07-14,NYY,@,BAL,1,1.0,False,15.0
99,2024-07-19,NYY,,TBR,0,1.0,True,16.0
100,2024-07-20,NYY,,TBR,0,0.0,False,16.0
101,2024-07-21,NYY,,TBR,0,0.0,False,16.0
102,2024-07-22,NYY,,TBR,0,0.0,False,16.0
103,2024-07-23,NYY,,NYM,0,0.0,False,16.0
104,2024-07-24,NYY,,NYM,0,0.0,False,16.0
105,2024-07-26,NYY,@,BOS,1,0.0,True,17.0
106,2024-07-27,NYY,@,BOS,1,1.0,False,17.0
107,2024-07-28,NYY,@,BOS,1,1.0,False,17.0
108,2024-07-29,NYY,@,PHI,1,1.0,False,17.0
109,2024-07-30,NYY,@,PHI,1,1.0,False,17.0
110,2024-07-31,NYY,@,PHI,1,1.0,False,17.0
111,2024-08-02,NYY,,TOR,0,1.0,True,18.0
112,2024-08-03,NYY,,TOR,0,0.0,False,18.0
113,2024-08-04,NYY,,TOR,0,0.0,False,18.0
114,2024-08-07,NYY,,LAA,0,0.0,False,18.0
115,2024-08-07,NYY,,LAA,0,0.0,False,18.0
116,2024-08-08,NYY,,LAA,0,0.0,False,18.0
117,2024-08-10,NYY,,TEX,0,0.0,False,18.0
118,2024-08-10,NYY,,TEX,0,0.0,False,18.0
119,2024-08-11,NYY,,TEX,0,0.0,False,18.0
120,2024-08-12,NYY,@,CHW,1,0.0,True,19.0
121,2024-08-13,NYY,@,CHW,1,1.0,False,19.0
122,2024-08-14,NYY,@,CHW,1,1.0,False,19.0
123,2024-08-16,NYY,@,DET,1,1.0,False,19.0
124,2024-08-17,NYY,@,DET,1,1.0,False,19.0
125,2024-08-18,NYY,@,DET,1,1.0,False,19.0
126,2024-08-20,NYY,,CLE,0,1.0,True,20.0
127,2024-08-21,NYY,,CLE,0,0.0,False,20.0
128,2024-08-22,NYY,,CLE,0,0.0,False,20.0
129,2024-08-23,NYY,,COL,0,0.0,False,20.0
130,2024-08-24,NYY,,COL,0,0.0,False,20.0
131,2024-08-25,NYY,,COL,0,0.0,False,20.0
132,2024-08-26,NYY,@,WSN,1,0.0,True,21.0
133,2024-08-27,NYY,@,WSN,1,1.0,False,21.0
134,2024-08-28,NYY,@,WSN,1,1.0,False,21.0
135,2024-08-30,NYY,,STL,0,1.0,True,22.0
136,2024-08-31,NYY,,STL,0,0.0,False,22.0
137,2024-09-01,NYY,,STL,0,0.0,False,22.0
138,2024-09-02,NYY,@,TEX,1,0.0,True,23.0
139,2024-09-03,NYY,@,TEX,1,1.0,False,23.0
140,2024-09-04,NYY,@,TEX,1,1.0,False,23.0
141,2024-09-06,NYY,@,CHC,1,1.0,False,23.0
142,2024-09-07,NYY,@,CHC,1,1.0,False,23.0
143,2024-09-08,NYY,@,CHC,1,1.0,False,23.0
144,2024-09-09,NYY,,KCR,0,1.0,True,24.0
145,2024-09-10,NYY,,KCR,0,0.0,False,24.0
146,2024-09-11,NYY,,KCR,0,0.0,False,24.0
147,2024-09-12,NYY,,BOS,0,0.0,False,24.0
148,2024-09-13,NYY,,BOS,0,0.0,False,24.0
149,2024-09-14,NYY,,BOS,0,0.0,False,24.0
150,2024-09-15,NYY,,BOS,0,0.0,False,24.0
151,2024-09-17,NYY,@,SEA,1,0.0,True,25.0
152,2024-09-18,NYY,@,SEA,1,1.0,False,25.0
153,2024-09-19,NYY,@,SEA,1,1.0,False,25.0
154,2024-09-20,NYY,@,OAK,1,1.0,False,25.0
155,2024-09-21,NYY,@,OAK,1,1.0,False,25.0
156,2024-09-22,NYY,@,OAK,1,1.0,False,25.0
157,2024-09-24,NYY,,BAL,0,1.0,True,26.0
158,2024-09-25,NYY,,BAL,0,0.0,False,26.0
159,2024-09-26,NYY,,BAL,0,0.0,False,26.0
160,2024-09-27,NYY,,PIT,0,0.0,False,26.0
161,2024-09-28,NYY,,PIT,0,0.0,False,26.0
162,2024-09-29,NYY,,PIT,0,0.0,False,26.0
