Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2024-03-28,OAK,,CLE,2:22,N,,OAK
2,2024-03-29,OAK,,CLE,2:39,N,,OAK
3,2024-03-30,OAK,,CLE,3:01,D,,OAK
4,2024-03-31,OAK,,CLE,2:30,D,,OAK
5,2024-04-01,OAK,,BOS,2:31,N,,OAK
6,2024-04-02,OAK,,BOS,3:04,N,,OAK
7,2024-04-03,OAK,,BOS,2:21,D,,OAK
8,2024-04-05,OAK,@,DET,2:33,D,,DET
9,2024-04-06,OAK,@,DET,2:31,D,,DET
10,2024-04-07,OAK,@,DET,2:34,D,,DET
11,2024-04-09,OAK,@,TEX,2:23,N,,TEX
12,2024-04-10,OAK,@,TEX,2:22,N,,TEX
13,2024-04-11,OAK,@,TEX,2:18,D,,TEX
14,2024-04-12,OAK,,WSN,2:36,N,,OAK
15,2024-04-13,OAK,,WSN,2:35,D,,OAK
16,2024-04-14,OAK,,WSN,2:45,D,,OAK
17,2024-04-15,OAK,,STL,2:19,N,,OAK
18,2024-04-16,OAK,,STL,2:29,N,,OAK
19,2024-04-17,OAK,,STL,2:30,D,,OAK
20,2024-04-19,OAK,@,CLE,2:15,N,,CLE
21,2024-04-20,OAK,@,CLE,2:36,N,,CLE
22,2024-04-21,OAK,@,CLE,2:39,D,,CLE
23,2024-04-22,OAK,@,NYY,2:32,D,,NYY
24,2024-04-23,OAK,@,NYY,2:29,N,,NYY
25,2024-04-24,OAK,@,NYY,2:33,N,,NYY
26,2024-04-25,OAK,@,NYY,2:24,N,,NYY
27,2024-04-26,OAK,@,BAL,3:00,N,,BAL
28,2024-04-27,OAK,@,BAL,2:10,D,,BAL
29,2024-04-28,OAK,@,BAL,2:53,D,,BAL
30,2024-04-29,OAK,,PIT,2:18,N,,OAK
31,2024-04-30,OAK,,PIT,2:22,N,,OAK
32,2024-05-01,OAK,,PIT,2:21,D,,OAK
33,2024-05-03,OAK,,MIA,2:20,N,,OAK
34,2024-05-04,OAK,,MIA,2:43,D,,OAK
35,2024-05-05,OAK,,MIA,2:52,D,,OAK
36,2024-05-06,OAK,,TEX,2:26,N,,OAK
37,2024-05-07,OAK,,TEX,3:07,D,,OAK
38,2024-05-08,OAK,,TEX,2:19,D,,OAK
39,2024-05-08,OAK,,TEX,3:33,D,,OAK
40,2024-05-10,OAK,@,SEA,2:44,N,,SEA
41,2024-05-11,OAK,@,SEA,2:21,N,,SEA
42,2024-05-12,OAK,@,SEA,2:18,D,,SEA
43,2024-05-13,OAK,@,HOU,2:33,N,,HOU
44,2024-05-14,OAK,@,HOU,3:01,N,,HOU
45,2024-05-15,OAK,@,HOU,2:04,N,,HOU
46,2024-05-16,OAK,@,HOU,2:23,N,,HOU
47,2024-05-17,OAK,@,KCR,2:27,N,,KCR
48,2024-05-18,OAK,@,KCR,2:19,N,,KCR
49,2024-05-19,OAK,@,KCR,2:23,D,,KCR
50,2024-05-21,OAK,,COL,2:17,N,,OAK
51,2024-05-22,OAK,,COL,3:09,N,,OAK
52,2024-05-23,OAK,,COL,3:12,D,,OAK
