Gm#,Date,Tm,@,Opp,away,lag,seg_start,seg
1,2024-03-28,OAK,,CLE,0,,True,1.0
2,2024-03-29,OAK,,CLE,0,0.0,False,1.0
3,2024-03-30,OAK,,CLE,0,0.0,False,1.0
4,2024-03-31,OAK,,CLE,0,0.0,False,1.0
5,2024-04-01,OAK,,BOS,0,0.0,False,1.0
6,2024-04-02,OAK,,BOS,0,0.0,False,1.0
7,2024-04-03,OAK,,BOS,0,0.0,False,1.0
8,2024-04-05,OAK,@,DET,1,0.0,True,2.0
9,2024-04-06,OAK,@,DET,1,1.0,False,2.0
10,2024-04-07,OAK,@,DET,1,1.0,False,2.0
11,2024-04-09,OAK,@,TEX,1,1.0,False,2.0
12,2024-04-10,OAK,@,TEX,1,1.0,False,2.0
13,2024-04-11,OAK,@,TEX,1,1.0,False,2.0
14,2024-04-12,OAK,,WSN,0,1.0,True,3.0
15,2024-04-13,OAK,,WSN,0,0.0,False,3.0
16,2024-04-14,OAK,,WSN,0,0.0,False,3.0
17,2024-04-15,OAK,,STL,0,0.0,False,3.0
18,2024-04-16,OAK,,STL,0,0.0,False,3.0
19,2024-04-17,OAK,,STL,0,0.0,False,3.0
20,2024-04-19,OAK,@,CLE,1,0.0,True,4.0
21,2024-04-20,OAK,@,CLE,1,1.0,False,4.0
22,2024-04-21,OAK,@,CLE,1,1.0,False,4.0
23,2024-04-22,OAK,@,NYY,1,1.0,False,4.0
24,2024-04-23,OAK,@,NYY,1,1.0,False,4.0
25,2024-04-24,OAK,@,NYY,1,1.0,False,4.0
26,2024-04-25,OAK,@,NYY,1,1.0,False,4.0
27,2024-04-26,OAK,@,BAL,1,1.0,False,4.0
28,2024-04-27,OAK,@,BAL,1,1.0,False,4.0
29,2024-04-28,OAK,@,BAL,1,1.0,False,4.0
30,2024-04-29,OAK,,PIT,0,1.0,True,5.0
31,2024-04-30,OAK,,PIT,0,0.0,False,5.0
32,2024-05-01,OAK,,PIT,0,0.0,False,5.0
33,2024-05-03,OAK,,MIA,0,0.0,False,5.0
34,2024-05-04,OAK,,MIA,0,0.0,False,5.0
35,2024-05-05,OAK,,MIA,0,0.0,False,5.0
36,2024-05-06,OAK,,TEX,0,0.0,False,5.0
37,2024-05-07,OAK,,TEX,0,0.0,False,5.0
38,2024-05-08,OAK,,TEX,0,0.0,False,5.0
39,2024-05-08,OAK,,TEX,0,0.0,False,5.0
40,2024-05-10,OAK,@,SEA,1,0.0,True,6.0
41,2024-05-11,OAK,@,SEA,1,1.0,False,6.0
42,2024-05-12,OAK,@,SEA,1,1.0,False,6.0
43,2024-05-13,OAK,@,HOU,1,1.0,False,6.0
44,2024-05-14,OAK,@,HOU,1,1.0,False,6.0
45,2024-05-15,OAK,@,HOU,1,1.0,False,6.0
46,2024-05-16,OAK,@,HOU,1,1.0,False,6.0
47,2024-05-17,OAK,@,KCR,1,1.0,False,6.0
48,2024-05-18,OAK,@,KCR,1,1.0,False,6.0
49,2024-05-19,OAK,@,KCR,1,1.0,False,6.0
50,2024-05-21,OAK,,COL,0,1.0,True,7.0
51,2024-05-22,OAK,,COL,0,0.0,False,7.0
52,2024-05-23,OAK,,COL,0,0.0,False,7.0
53,2024-05-24,OAK,,HOU,0,0.0,False,7.0
54,2024-05-25,OAK,,HOU,0,0.0,False,7.0
55,2024-05-26,OAK,,HOU,0,0.0,False,7.0
56,2024-05-28,OAK,@,TBR,1,0.0,True,8.0
57,2024-05-29,OAK,@,TBR,1,1.0,False,8.0
58,2024-05-30,OAK,@,TBR,1,1.0,False,8.0
59,2024-05-31,OAK,@,ATL,1,1.0,False,8.0
60,2024-06-01,OAK,@,ATL,1,1.0,False,8.0
61,2024-06-02,OAK,@,ATL,1,1.0,False,8.0
62,2024-06-04,OAK,,SEA,0,1.0,True,9.0
63,2024-06-05,OAK,,SEA,0,0.0,False,9.0
64,2024-06-06,OAK,,SEA,0,0.0,False,9.0
65,2024-06-07,OAK,,TOR,0,0.0,False,9.0
66,2024-06-08,OAK,,TOR,0,0.0,False,9.0
67,2024-06-09,OAK,,TOR,0,0.0,False,9.0
68,2024-06-10,OAK,@,SDP,1,0.0,True,10.0
69,2024-06-11,OAK,@,SDP,1,1.0,False,10.0
70,2024-06-12,OAK,@,SDP,1,1.0,False,10.0
71,2024-06-13,OAK,@,MIN,1,1.0,False,10.0
72,2024-06-14,OAK,@,MIN,1,1.0,False,10.0
73,2024-06-16,OAK,@,MIN,1,1.0,False,10.0
74,2024-06-16,OAK,@,MIN,1,1.0,False,10.0
75,2024-06-18,OAK,,KCR,0,1.0,True,11.0
76,2024-06-19,OAK,,KCR,0,0.0,False,11.0
77,2024-06-20,OAK,,KCR,0,0.0,False,11.0
78,2024-06-21,OAK,,MIN,0,0.0,False,11.0
79,2024-06-22,OAK,,MIN,0,0.0,False,11.0
80,2024-06-23,OAK,,MIN,0,0.0,False,11.0
81,2024-06-24,OAK,@,LAA,1,0.0,True,12.0
82,2024-06-25,OAK,@,LAA,1,1.0,False,12.0
83,2024-06-26,OAK,@,LAA,1,1.0,False,12.0
84,2024-06-28,OAK,@,ARI,1,1.0,False,12.0
85,2024-06-29,OAK,@,ARI,1,1.0,False,12.0
86,2024-06-30,OAK,@,ARI,1,1.0,False,12.0
87,2024-07-02,OAK,,LAA,0,1.0,True,13.0
88,2024-07-03,OAK,,LAA,0,0.0,False,13.0
89,2024-07-04,OAK,,LAA,0,0.0,False,13.0
90,2024-07-05,OAK,,BAL,0,0.0,False,13.0
91,2024-07-06,OAK,,BAL,0,0.0,False,13.0
92,2024-07-07,OAK,,BAL,0,0.0,False,13.0
93,2024-07-09,OAK,@,BOS,1,0.0,True,14.0
94,2024-07-10,OAK,@,BOS,1,1.0,False,14.0
95,2024-07-11,OAK,@,BOS,1,1.0,False,14.0
96,2024-07-12,OAK,@,PHI,1,1.0,False,14.0
97,2024-07-13,OAK,@,PHI,1,1.0,False,14.0
98,2024-07-14,OAK,@,PHI,1,1.0,False,14.0
99,2024-07-19,OAK,,LAA,0,1.0,True,15.0
100,2024-07-20,OAK,,LAA,0,0.0,False,15.0
101,2024-07-21,OAK,,LAA,0,0.0,False,15.0
102,2024-07-22,OAK,,HOU,0,0.0,False,15.0
103,2024-07-23,OAK,,HOU,0,0.0,False,15.0
104,2024-07-24,OAK,,HOU,0,0.0,False,15.0
105,2024-07-25,OAK,@,LAA,1,0.0,True,16.0
106,2024-07-26,OAK,@,LAA,1,1.0,False,16.0
107,2024-07-27,OAK,@,LAA,1,1.0,False,16.0
108,2024-07-28,OAK,@,LAA,1,1.0,False,16.0
109,2024-07-30,OAK,@,SFG,1,1.0,False,16.0
110,2024-07-31,OAK,@,SFG,1,1.0,False,16.0
111,2024-08-02,OAK,,LAD,0,1.0,True,17.0
112,2024-08-03,OAK,,LAD,0,0.0,False,17.0
113,2024-08-04,OAK,,LAD,0,0.0,False,17.0
