Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2022-04-08,PHI,,OAK,3:14,D,,PHI
2,2022-04-09,PHI,,OAK,2:37,D,,PHI
3,2022-04-10,PHI,,OAK,2:57,D,,PHI
4,2022-04-11,PHI,,NYM,3:05,N,,PHI
5,2022-04-12,PHI,,NYM,3:12,N,,PHI
6,2022-04-13,PHI,,NYM,4:04,D,,PHI
7,2022-04-14,PHI,@,MIA,3:23,N,,MIA
8,2022-04-15,PHI,@,MIA,3:15,N,,MIA
9,2022-04-16,PHI,@,MIA,3:23,N,,MIA
10,2022-04-17,PHI,@,MIA,3:32,D,,MIA
11,2022-04-18,PHI,@,COL,2:53,N,,COL
12,2022-04-19,PHI,@,COL,3:02,N,,COL
13,2022-04-20,PHI,@,COL,3:09,D,,COL
14,2022-04-22,PHI,,MIL,3:20,N,,PHI
15,2022-04-23,PHI,,MIL,2:57,D,,PHI
16,2022-04-24,PHI,,MIL,2:49,N,,PHI
17,2022-04-25,PHI,,COL,3:09,N,,PHI
18,2022-04-26,PHI,,COL,3:19,N,,PHI
19,2022-04-27,PHI,,COL,3:20,N,,PHI
20,2022-04-28,PHI,,COL,3:08,D,,PHI
21,2022-04-29,PHI,@,NYM,3:18,N,,NYM
22,2022-04-30,PHI,@,NYM,3:48,N,,NYM
23,2022-05-01,PHI,@,NYM,3:20,N,,NYM
24,2022-05-03,PHI,,TEX,3:05,N,,PHI
25,2022-05-04,PHI,,TEX,3:14,N,,PHI
26,2022-05-05,PHI,,NYM,3:15,N,,PHI
27,2022-05-08,PHI,,NYM,2:58,D,2022-05-07 (Rain),PHI
28,2022-05-08,PHI,,NYM,3:15,D,,PHI
29,2022-05-09,PHI,@,SEA,3:01,N,,SEA
30,2022-05-10,PHI,@,SEA,3:36,N,,SEA
31,2022-05-11,PHI,@,SEA,3:11,D,,SEA
32,2022-05-12,PHI,@,LAD,3:29,N,,LAD
33,2022-05-13,PHI,@,LAD,4:18,N,,LAD
34,2022-05-14,PHI,@,LAD,2:38,N,,LAD
35,2022-05-15,PHI,@,LAD,3:33,D,,LAD
36,2022-05-17,PHI,,SDP,2:53,N,,PHI
37,2022-05-18,PHI,,SDP,2:44,N,,PHI
38,2022-05-19,PHI,,SDP,3:31,D,,PHI
39,2022-05-20,PHI,,LAD,3:44,N,,PHI
40,2022-05-21,PHI,,LAD,3:57,N,,PHI
41,2022-05-22,PHI,,LAD,3:29,D,,PHI
42,2022-05-23,PHI,@,ATL,3:37,N,,ATL
43,2022-05-24,PHI,@,ATL,3:58,N,,ATL
44,2022-05-25,PHI,@,ATL,3:30,N,,ATL
45,2022-05-26,PHI,@,ATL,2:43,N,,ATL
46,2022-05-27,PHI,@,NYM,3:41,N,,NYM
47,2022-05-28,PHI,@,NYM,3:09,N,,NYM
48,2022-05-29,PHI,@,NYM,3:51,N,,NYM
49,2022-05-30,PHI,,SFG,3:13,D,,PHI
50,2022-05-31,PHI,,SFG,4:52,N,,PHI
51,2022-06-01,PHI,,SFG,3:02,N,,PHI
52,2022-06-03,PHI,,LAA,2:41,N,,PHI
53,2022-06-04,PHI,,LAA,3:05,N,,PHI
54,2022-06-05,PHI,,LAA,3:57,D,,PHI
55,2022-06-07,PHI,@,MIL,3:00,N,,MIL
56,2022-06-08,PHI,@,MIL,2:50,N,,MIL
57,2022-06-09,PHI,@,MIL,4:01,D,,MIL
58,2022-06-10,PHI,,ARI,3:24,N,,PHI
59,2022-06-11,PHI,,ARI,2:56,D,,PHI
60,2022-06-12,PHI,,ARI,3:50,D,,PHI
61,2022-06-13,PHI,,MIA,2:59,N,,PHI
62,2022-06-14,PHI,,MIA,3:54,N,,PHI
63,2022-06-15,PHI,,MIA,3:12,D,,PHI
64,2022-06-16,PHI,@,WSN,3:02,N,,WSN
65,2022-06-17,PHI,@,WSN,3:32,D,,WSN
66,2022-06-17,PHI,@,WSN,3:45,N,,WSN
67,2022-06-18,PHI,@,WSN,3:48,D,,WSN
68,2022-06-19,PHI,@,WSN,2:57,D,,WSN
69,2022-06-21,PHI,@,TEX,3:06,N,,TEX
70,2022-06-22,PHI,@,TEX,3:12,D,,TEX
71,2022-06-23,PHI,@,SDP,2:38,N,,SDP
72,2022-06-24,PHI,@,SDP,3:05,N,,SDP
73,2022-06-25,PHI,@,SDP,2:59,N,,SDP
74,2022-06-26,PHI,@,SDP,3:19,D,,SDP
75,2022-06-28,PHI,,ATL,3:18,N,,PHI
76,2022-06-29,PHI,,ATL,2:47,N,,PHI
77,2022-06-30,PHI,,ATL,2:58,N,,PHI
78,2022-07-01,PHI,,STL,3:20,N,,PHI
79,2022-07-02,PHI,,STL,4:05,D,,PHI
80,2022-07-03,PHI,,STL,3:03,N,,PHI
81,2022-07-05,PHI,,WSN,3:03,N,,PHI
82,2022-07-06,PHI,,WSN,2:57,N,,PHI
83,2022-07-07,PHI,,WSN,2:56,D,,PHI
84,2022-07-08,PHI,@,STL,2:23,N,,STL
85,2022-07-09,PHI,@,STL,2:58,D,,STL
86,2022-07-10,PHI,@,STL,3:09,D,,STL
87,2022-07-11,PHI,@,STL,2:41,N,,STL
88,2022-07-12,PHI,@,TOR,2:52,N,,TOR
89,2022-07-13,PHI,@,TOR,2:31,N,,TOR
90,2022-07-15,PHI,@,MIA,3:04,N,,MIA
91,2022-07-16,PHI,@,MIA,2:52,D,,MIA
92,2022-07-17,PHI,@,MIA,2:42,D,,MIA
93,2022-07-22,PHI,,CHC,3:28,N,,PHI
94,2022-07-23,PHI,,CHC,3:36,N,,PHI
95,2022-07-24,PHI,,CHC,2:50,D,,PHI
96,2022-07-25,PHI,,ATL,3:16,N,,PHI
97,2022-07-26,PHI,,ATL,3:10,N,,PHI
98,2022-07-27,PHI,,ATL,2:54,D,,PHI
99,2022-07-28,PHI,@,PIT,3:11,N,,PIT
100,2022-07-29,PHI,@,PIT,3:30,N,,PIT
101,2022-07-30,PHI,@,PIT,2:54,N,,PIT
102,2022-07-31,PHI,@,PIT,3:07,D,,PIT
103,2022-08-02,PHI,@,ATL,3:27,N,,ATL
104,2022-08-03,PHI,@,ATL,2:40,D,,ATL
105,2022-08-04,PHI,,WSN,1:39,N,,PHI
106,2022-08-05,PHI,,WSN,2:46,N,,PHI
107,2022-08-06,PHI,,WSN,3:39,N,,PHI
108,2022-08-07,PHI,,WSN,3:19,D,,PHI
109,2022-08-09,PHI,,MIA,2:46,N,,PHI
110,2022-08-10,PHI,,MIA,2:38,N,,PHI
111,2022-08-11,PHI,,MIA,3:07,D,,PHI
112,2022-08-12,PHI,@,NYM,2:54,N,,NYM
113,2022-08-13,PHI,@,NYM,2:24,N,,NYM
114,2022-08-14,PHI,@,NYM,3:22,D,,NYM
115,2022-08-15,PHI,@,CIN,2:53,N,,CIN
116,2022-08-16,PHI,@,CIN,3:20,N,,CIN
117,2022-08-17,PHI,@,CIN,2:27,D,,CIN
118,2022-08-19,PHI,,NYM,3:28,N,,PHI
119,2022-08-20,PHI,,NYM,3:42,D,2022-05-06 (Rain),PHI
120,2022-08-20,PHI,,NYM,3:23,N,,PHI
121,2022-08-21,PHI,,NYM,4:26,D,,PHI
122,2022-08-22,PHI,,CIN,2:40,N,,PHI
123,2022-08-23,PHI,,CIN,3:12,N,,PHI
124,2022-08-24,PHI,,CIN,3:16,N,,PHI
125,2022-08-25,PHI,,CIN,2:36,N,,PHI
126,2022-08-26,PHI,,PIT,2:55,N,,PHI
127,2022-08-27,PHI,,PIT,2:59,N,,PHI
128,2022-08-28,PHI,,PIT,2:51,D,,PHI
129,2022-08-29,PHI,@,ARI,3:35,N,,ARI
130,2022-08-30,PHI,@,ARI,2:59,N,,ARI
131,2022-08-31,PHI,@,ARI,3:26,N,,ARI
132,2022-09-02,PHI,@,SFG,3:05,N,,SFG
133,2022-09-03,PHI,@,SFG,3:33,D,,SFG
134,2022-09-04,PHI,@,SFG,3:10,D,,SFG
135,2022-09-06,PHI,,MIA,3:06,N,,PHI
136,2022-09-07,PHI,,MIA,3:02,N,,PHI
137,2022-09-08,PHI,,MIA,3:04,N,,PHI
138,2022-09-09,PHI,,WSN,2:39,N,,PHI
139,2022-09-10,PHI,,WSN,3:15,N,,PHI
140,2022-09-11,PHI,,WSN,3:29,D,,PHI
141,2022-09-13,PHI,@,MIA,2:34,N,,MIA
142,2022-09-14,PHI,@,MIA,3:12,N,,MIA
143,2022-09-15,PHI,@,MIA,3:02,N,,MIA
144,2022-09-16,PHI,@,ATL,3:15,N,,ATL
145,2022-09-17,PHI,@,ATL,3:18,N,,ATL
146,2022-09-18,PHI,@,ATL,3:06,D,,ATL
147,2022-09-20,PHI,,TOR,3:41,N,,PHI
148,2022-09-21,PHI,,TOR,4:08,N,,PHI
149,2022-09-22,PHI,,ATL,3:08,N,,PHI
150,2022-09-23,PHI,,ATL,3:20,N,,PHI
151,2022-09-24,PHI,,ATL,3:22,D,,PHI
152,2022-09-25,PHI,,ATL,4:09,D,,PHI
153,2022-09-27,PHI,@,CHC,2:15,N,,CHC
154,2022-09-28,PHI,@,CHC,2:59,N,,CHC
155,2022-09-29,PHI,@,CHC,2:55,D,,CHC
156,2022-09-30,PHI,@,WSN,3:17,D,,WSN
157,2022-10-01,PHI,@,WSN,2:58,D,,WSN
158,2022-10-01,PHI,@,WSN,2:49,N,,WSN
159,2022-10-02,PHI,@,WSN,2:20,D,,WSN
160,2022-10-03,PHI,@,HOU,2:59,N,,HOU
161,2022-10-04,PHI,@,HOU,3:01,N,,HOU
162,2022-10-05,PHI,@,HOU,2:49,D,,HOU
