Gm#,Date,Tm,@,Opp,away,lag,seg_start,seg
1,2022-04-08,PHI,,OAK,0,,True,1.0
2,2022-04-09,PHI,,OAK,0,0.0,False,1.0
3,2022-04-10,PHI,,OAK,0,0.0,False,1.0
4,2022-04-11,PHI,,NYM,0,0.0,False,1.0
5,2022-04-12,PHI,,NYM,0,0.0,False,1.0
6,2022-04-13,PHI,,NYM,0,0.0,False,1.0
7,2022-04-14,PHI,@,MIA,1,0.0,True,2.0
8,2022-04-15,PHI,@,MIA,1,1.0,False,2.0
9,2022-04-16,PHI,@,MIA,1,1.0,False,2.0
10,2022-04-17,PHI,@,MIA,1,1.0,False,2.0
11,2022-04-18,PHI,@,COL,1,1.0,False,2.0
12,2022-04-19,PHI,@,COL,1,1.0,False,2.0
13,2022-04-20,PHI,@,COL,1,1.0,False,2.0
14,2022-04-22,PHI,,MIL,0,1.0,True,3.0
15,2022-04-23,PHI,,MIL,0,0.0,False,3.0
16,2022-04-24,PHI,,MIL,0,0.0,False,3.0
17,2022-04-25,PHI,,COL,0,0.0,False,3.0
18,2022-04-26,PHI,,COL,0,0.0,False,3.0
19,2022-04-27,PHI,,COL,0,0.0,False,3.0
20,2022-04-28,PHI,,COL,0,0.0,False,3.0
21,2022-04-29,PHI,@,NYM,1,0.0,True,4.0
22,2022-04-30,PHI,@,NYM,1,1.0,False,4.0
23,2022-05-01,PHI,@,NYM,1,1.0,False,4.0
24,2022-05-03,PHI,,TEX,0,1.0,True,5.0
25,2022-05-04,PHI,,TEX,0,0.0,False,5.0
26,2022-05-05,PHI,,NYM,0,0.0,False,5.0
27,2022-05-08,PHI,,NYM,0,0.0,False,5.0
28,2022-05-08,PHI,,NYM,0,0.0,False,5.0
29,2022-05-09,PHI,@,SEA,1,0.0,True,6.0
30,2022-05-10,PHI,@,SEA,1,1.0,False,6.0
31,2022-05-11,PHI,@,SEA,1,1.0,False,6.0
32,2022-05-12,PHI,@,LAD,1,1.0,False,6.0
33,2022-05-13,PHI,@,LAD,1,1.0,False,6.0
34,2022-05-14,PHI,@,LAD,1,1.0,False,6.0
35,2022-05-15,PHI,@,LAD,1,1.0,False,6.0
36,2022-05-17,PHI,,SDP,0,1.0,True,7.0
37,2022-05-18,PHI,,SDP,0,0.0,False,7.0
38,2022-05-19,PHI,,SDP,0,0.0,False,7.0
39,2022-05-20,PHI,,LAD,0,0.0,False,7.0
40,2022-05-21,PHI,,LAD,0,0.0,False,7.0
41,2022-05-22,PHI,,LAD,0,0.0,False,7.0
42,2022-05-23,PHI,@,ATL,1,0.0,True,8.0
43,2022-05-24,PHI,@,ATL,1,1.0,False,8.0
44,2022-05-25,PHI,@,ATL,1,1.0,False,8.0
45,2022-05-26,PHI,@,ATL,1,1.0,False,8.0
46,2022-05-27,PHI,@,NYM,1,1.0,False,8.0
47,2022-05-28,PHI,@,NYM,1,1.0,False,8.0
48,2022-05-29,PHI,@,NYM,1,1.0,False,8.0
49,2022-05-30,PHI,,SFG,0,1.0,True,9.0
50,2022-05-31,PHI,,SFG,0,0.0,False,9.0
51,2022-06-01,PHI,,SFG,0,0.0,False,9.0
52,2022-06-03,PHI,,LAA,0,0.0,False,9.0
53,2022-06-04,PHI,,LAA,0,0.0,False,9.0
54,2022-06-05,PHI,,LAA,0,0.0,False,9.0
55,2022-06-07,PHI,@,MIL,1,0.0,True,10.0
56,2022-06-08,PHI,@,MIL,1,1.0,False,10.0
57,2022-06-09,PHI,@,MIL,1,1.0,False,10.0
58,2022-06-10,PHI,,ARI,0,1.0,True,11.0
59,2022-06-11,PHI,,ARI,0,0.0,False,11.0
60,2022-06-12,PHI,,ARI,0,0.0,False,11.0
61,2022-06-13,PHI,,MIA,0,0.0,False,11.0
62,2022-06-14,PHI,,MIA,0,0.0,False,11.0
63,2022-06-15,PHI,,MIA,0,0.0,False,11.0
64,2022-06-16,PHI,@,WSN,1,0.0,True,12.0
65,2022-06-17,PHI,@,WSN,1,1.0,False,12.0
66,2022-06-17,PHI,@,WSN,1,1.0,False,12.0
67,2022-06-18,PHI,@,WSN,1,1.0,False,12.0
68,2022-06-19,PHI,@,WSN,1,1.0,False,12.0
69,2022-06-21,PHI,@,TEX,1,1.0,False,12.0
70,2022-06-22,PHI,@,TEX,1,1.0,False,12.0
71,2022-06-23,PHI,@,SDP,1,1.0,False,12.0
72,2022-06-24,PHI,@,SDP,1,1.0,False,12.0
73,2022-06-25,PHI,@,SDP,1,1.0,False,12.0
74,2022-06-26,PHI,@,SDP,1,1.0,False,12.0
75,2022-06-28,PHI,,ATL,0,1.0,True,13.0
76,2022-06-29,PHI,,ATL,0,0.0,False,13.0
77,2022-06-30,PHI,,ATL,0,0.0,False,13.0
78,2022-07-01,PHI,,STL,0,0.0,False,13.0
79,2022-07-02,PHI,,STL,0,0.0,False,13.0
80,2022-07-03,PHI,,STL,0,0.0,False,13.0
81,2022-07-05,PHI,,WSN,0,0.0,False,13.0
82,2022-07-06,PHI,,WSN,0,0.0,False,13.0
83,2022-07-07,PHI,,WSN,0,0.0,False,13.0
84,2022-07-08,PHI,@,STL,1,0.0,True,14.0
85,2022-07-09,PHI,@,STL,1,1.0,False,14.0
86,2022-07-10,PHI,@,STL,1,1.0,False,14.0
87,2022-07-11,PHI,@,STL,1,1.0,False,14.0
88,2022-07-12,PHI,@,TOR,1,1.0,False,14.0
89,2022-07-13,PHI,@,TOR,1,1.0,False,14.0
90,2022-07-15,PHI,@,MIA,1,1.0,False,14.0
91,2022-07-16,PHI,@,MIA,1,1.0,False,14.0
92,2022-07-17,PHI,@,MIA,1,1.0,False,14.0
93,2022-07-22,PHI,,CHC,0,1.0,True,15.0
94,2022-07-23,PHI,,CHC,0,0.0,False,15.0
95,2022-07-24,PHI,,CHC,0,0.0,False,15.0
96,2022-07-25,PHI,,ATL,0,0.0,False,15.0
97,2022-07-26,PHI,,ATL,0,0.0,False,15.0
98,2022-07-27,PHI,,ATL,0,0.0,False,15.0
99,2022-07-28,PHI,@,PIT,1,0.0,True,16.0
100,2022-07-29,PHI,@,PIT,1,1.0,False,16.0
101,2022-07-30,PHI,@,PIT,1,1.0,False,16.0
102,2022-07-31,PHI,@,PIT,1,1.0,False,16.0
103,2022-08-02,PHI,@,ATL,1,1.0,False,16.0
104,2022-08-03,PHI,@,ATL,1,1.0,False,16.0
105,2022-08-04,PHI,,WSN,0,1.0,True,17.0
106,2022-08-05,PHI,,WSN,0,0.0,False,17.0
107,2022-08-06,PHI,,WSN,0,0.0,False,17.0
