Gm#,Date,Tm,@,Opp,last_opp,new_series,series
1,2022-04-08,PHI,,OAK,,True,1.0
2,2022-04-09,PHI,,OAK,OAK,False,1.0
3,2022-04-10,PHI,,OAK,OAK,False,1.0
4,2022-04-11,PHI,,NYM,OAK,True,2.0
5,2022-04-12,PHI,,NYM,NYM,False,2.0
6,2022-04-13,PHI,,NYM,NYM,False,2.0
7,2022-04-14,PHI,@,MIA,NYM,True,3.0
8,2022-04-15,PHI,@,MIA,MIA,False,3.0
9,2022-04-16,PHI,@,MIA,MIA,False,3.0
10,2022-04-17,PHI,@,MIA,MIA,False,3.0
11,2022-04-18,PHI,@,COL,MIA,True,4.0
12,2022-04-19,PHI,@,COL,COL,False,4.0
13,2022-04-20,PHI,@,COL,COL,False,4.0
14,2022-04-22,PHI,,MIL,COL,True,5.0
15,2022-04-23,PHI,,MIL,MIL,False,5.0
16,2022-04-24,PHI,,MIL,MIL,False,5.0
17,2022-04-25,PHI,,COL,MIL,True,6.0
18,2022-04-26,PHI,,COL,COL,False,6.0
19,2022-04-27,PHI,,COL,COL,False,6.0
20,2022-04-28,PHI,,COL,COL,False,6.0
21,2022-04-29,PHI,@,NYM,COL,True,7.0
22,2022-04-30,PHI,@,NYM,NYM,False,7.0
23,2022-05-01,PHI,@,NYM,NYM,False,7.0
24,2022-05-03,PHI,,TEX,NYM,True,8.0
25,2022-05-04,PHI,,TEX,TEX,False,8.0
26,2022-05-05,PHI,,NYM,TEX,True,9.0
27,2022-05-08,PHI,,NYM,NYM,False,9.0
28,2022-05-08,PHI,,NYM,NYM,False,9.0
29,2022-05-09,PHI,@,SEA,NYM,True,10.0
30,2022-05-10,PHI,@,SEA,SEA,False,10.0
31,2022-05-11,PHI,@,SEA,SEA,False,10.0
32,2022-05-12,PHI,@,LAD,SEA,True,11.0
33,2022-05-13,PHI,@,LAD,LAD,False,11.0
34,2022-05-14,PHI,@,LAD,LAD,False,11.0
35,2022-05-15,PHI,@,LAD,LAD,False,11.0
36,2022-05-17,PHI,,SDP,LAD,True,12.0
37,2022-05-18,PHI,,SDP,SDP,False,12.0
38,2022-05-19,PHI,,SDP,SDP,False,12.0
39,2022-05-20,PHI,,LAD,SDP,True,13.0
40,2022-05-21,PHI,,LAD,LAD,False,13.0
41,2022-05-22,PHI,,LAD,LAD,False,13.0
42,2022-05-23,PHI,@,ATL,LAD,True,14.0
43,2022-05-24,PHI,@,ATL,ATL,False,14.0
44,2022-05-25,PHI,@,ATL,ATL,False,14.0
45,2022-05-26,PHI,@,ATL,ATL,False,14.0
46,2022-05-27,PHI,@,NYM,ATL,True,15.0
47,2022-05-28,PHI,@,NYM,NYM,False,15.0
48,2022-05-29,PHI,@,NYM,NYM,False,15.0
49,2022-05-30,PHI,,SFG,NYM,True,16.0
50,2022-05-31,PHI,,SFG,SFG,False,16.0
51,2022-06-01,PHI,,SFG,SFG,False,16.0
52,2022-06-03,PHI,,LAA,SFG,True,17.0
53,2022-06-04,PHI,,LAA,LAA,False,17.0
54,2022-06-05,PHI,,LAA,LAA,False,17.0
55,2022-06-07,PHI,@,MIL,LAA,True,18.0
56,2022-06-08,PHI,@,MIL,MIL,False,18.0
57,2022-06-09,PHI,@,MIL,MIL,False,18.0
58,2022-06-10,PHI,,ARI,MIL,True,19.0
59,2022-06-11,PHI,,ARI,ARI,False,19.0
60,2022-06-12,PHI,,ARI,ARI,False,19.0
61,2022-06-13,PHI,,MIA,ARI,True,20.0
62,2022-06-14,PHI,,MIA,MIA,False,20.0
63,2022-06-15,PHI,,MIA,MIA,False,20.0
64,2022-06-16,PHI,@,WSN,MIA,True,21.0
65,2022-06-17,PHI,@,WSN,WSN,False,21.0
66,2022-06-17,PHI,@,WSN,WSN,False,21.0
67,2022-06-18,PHI,@,WSN,WSN,False,21.0
68,2022-06-19,PHI,@,WSN,WSN,False,21.0
69,2022-06-21,PHI,@,TEX,WSN,True,22.0
70,2022-06-22,PHI,@,TEX,TEX,False,22.0
71,2022-06-23,PHI,@,SDP,TEX,True,23.0
72,2022-06-24,PHI,@,SDP,SDP,False,23.0
73,2022-06-25,PHI,@,SDP,SDP,False,23.0
74,2022-06-26,PHI,@,SDP,SDP,False,23.0
75,2022-06-28,PHI,,ATL,SDP,True,24.0
76,2022-06-29,PHI,,ATL,ATL,False,24.0
77,2022-06-30,PHI,,ATL,ATL,False,24.0
78,2022-07-01,PHI,,STL,ATL,True,25.0
79,2022-07-02,PHI,,STL,STL,False,25.0
80,2022-07-03,PHI,,STL,STL,False,25.0
81,2022-07-05,PHI,,WSN,STL,True,26.0
82,2022-07-06,PHI,,WSN,WSN,False,26.0
83,2022-07-07,PHI,,WSN,WSN,False,26.0
84,2022-07-08,PHI,@,STL,WSN,True,27.0
85,2022-07-09,PHI,@,STL,STL,False,27.0
86,2022-07-10,PHI,@,STL,STL,False,27.0
87,2022-07-11,PHI,@,STL,STL,False,27.0
88,2022-07-12,PHI,@,TOR,STL,True,28.0
89,2022-07-13,PHI,@,TOR,TOR,False,28.0
90,2022-07-15,PHI,@,MIA,TOR,True,29.0
91,2022-07-16,PHI,@,MIA,MIA,False,29.0
92,2022-07-17,PHI,@,MIA,MIA,False,29.0
93,2022-07-22,PHI,,CHC,MIA,True,30.0
94,2022-07-23,PHI,,CHC,CHC,False,30.0
95,2022-07-24,PHI,,CHC,CHC,False,30.0
96,2022-07-25,PHI,,ATL,CHC,True,31.0
97,2022-07-26,PHI,,ATL,ATL,False,31.0
98,2022-07-27,PHI,,ATL,ATL,False,31.0
99,2022-07-28,PHI,@,PIT,ATL,True,32.0
100,2022-07-29,PHI,@,PIT,PIT,False,32.0
101,2022-07-30,PHI,@,PIT,PIT,False,32.0
102,2022-07-31,PHI,@,PIT,PIT,False,32.0
103,2022-08-02,PHI,@,ATL,PIT,True,33.0
104,2022-08-03,PHI,@,ATL,ATL,False,33.0
105,2022-08-04,PHI,,WSN,ATL,True,34.0
106,2022-08-05,PHI,,WSN,WSN,False,34.0
107,2022-08-06,PHI,,WSN,WSN,False,34.0
108,2022-08-07,PHI,,WSN,WSN,False,34.0
109,2022-08-09,PHI,,MIA,WSN,True,35.0
110,2022-08-10,PHI,,MIA,MIA,False,35.0
111,2022-08-11,PHI,,MIA,MIA,False,35.0
112,2022-08-12,PHI,@,NYM,MIA,True,36.0
113,2022-08-13,PHI,@,NYM,NYM,False,36.0
114,2022-08-14,PHI,@,NYM,NYM,False,36.0
115,2022-08-15,PHI,@,CIN,NYM,True,37.0
116,2022-08-16,PHI,@,CIN,CIN,False,37.0
117,2022-08-17,PHI,@,CIN,CIN,False,37.0
118,2022-08-19,PHI,,NYM,CIN,True,38.0
119,2022-08-20,PHI,,NYM,NYM,False,38.0
120,2022-08-20,PHI,,NYM,NYM,False,38.0
121,2022-08-21,PHI,,NYM,NYM,False,38.0
122,2022-08-22,PHI,,CIN,NYM,True,39.0
123,2022-08-23,PHI,,CIN,CIN,False,39.0
124,2022-08-24,PHI,,CIN,CIN,False,39.0
125,2022-08-25,PHI,,CIN,CIN,False,39.0
126,2022-08-26,PHI,,PIT,CIN,True,40.0
127,2022-08-27,PHI,,PIT,PIT,False,40.0
128,2022-08-28,PHI,,PIT,PIT,False,40.0
129,2022-08-29,PHI,@,ARI,PIT,True,41.0
130,2022-08-30,PHI,@,ARI,ARI,False,41.0
131,2022-08-31,PHI,@,ARI,ARI,False,41.0
132,2022-09-02,PHI,@,SFG,ARI,True,42.0
133,2022-09-03,PHI,@,SFG,SFG,False,42.0
134,2022-09-04,PHI,@,SFG,SFG,False,42.0
135,2022-09-06,PHI,,MIA,SFG,True,43.0
136,2022-09-07,PHI,,MIA,MIA,False,43.0
137,2022-09-08,PHI,,MIA,MIA,False,43.0
138,2022-09-09,PHI,,WSN,MIA,True,44.0
139,2022-09-10,PHI,,WSN,WSN,False,44.0
140,2022-09-11,PHI,,WSN,WSN,False,44.0
