Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2024-03-28,SFG,@,SDP,2:34,D,,SDP
2,2024-03-29,SFG,@,SDP,2:25,N,,SDP
3,2024-03-30,SFG,@,SDP,3:04,D,,SDP
4,2024-03-31,SFG,@,SDP,2:43,D,,SDP
5,2024-04-01,SFG,@,LAD,2:38,N,,LAD
6,2024-04-02,SFG,@,LAD,2:57,N,,LAD
7,2024-04-03,SFG,@,LAD,2:25,N,,LAD
8,2024-04-05,SFG,,SDP,2:25,D,,SFG
9,2024-04-06,SFG,,SDP,2:10,N,,SFG
10,2024-04-07,SFG,,SDP,2:16,D,,SFG
11,2024-04-08,SFG,,WSN,2:48,N,,SFG
12,2024-04-09,SFG,,WSN,2:41,N,,SFG
13,2024-04-10,SFG,,WSN,2:07,D,,SFG
14,2024-04-12,SFG,@,TBR,2:32,N,,TBR
15,2024-04-13,SFG,@,TBR,2:27,D,,TBR
16,2024-04-14,SFG,@,TBR,2:20,D,,TBR
17,2024-04-15,SFG,@,MIA,2:36,N,,MIA
18,2024-04-16,SFG,@,MIA,2:41,N,,MIA
19,2024-04-17,SFG,@,MIA,2:24,D,,MIA
20,2024-04-18,SFG,,ARI,2:12,N,,SFG
21,2024-04-19,SFG,,ARI,3:00,N,,SFG
22,2024-04-20,SFG,,ARI,2:34,D,,SFG
23,2024-04-21,SFG,,ARI,2:40,D,,SFG
24,2024-04-22,SFG,,NYM,2:25,N,,SFG
25,2024-04-23,SFG,,NYM,2:10,N,,SFG
26,2024-04-24,SFG,,NYM,2:50,D,,SFG
27,2024-04-26,SFG,,PIT,2:23,N,,SFG
28,2024-04-27,SFG,,PIT,2:46,N,,SFG
29,2024-04-28,SFG,,PIT,2:23,D,,SFG
30,2024-04-30,SFG,@,BOS,2:32,N,,BOS
31,2024-05-01,SFG,@,BOS,2:14,N,,BOS
32,2024-05-02,SFG,@,BOS,2:21,D,,BOS
33,2024-05-03,SFG,@,PHI,3:00,N,,PHI
34,2024-05-04,SFG,@,PHI,3:01,N,,PHI
35,2024-05-05,SFG,@,PHI,2:45,N,,PHI
36,2024-05-06,SFG,@,PHI,2:23,D,,PHI
37,2024-05-07,SFG,@,COL,2:31,N,,COL
38,2024-05-08,SFG,@,COL,2:46,N,,COL
39,2024-05-09,SFG,@,COL,2:20,D,,COL
40,2024-05-10,SFG,,CIN,2:30,N,,SFG
41,2024-05-11,SFG,,CIN,2:35,D,,SFG
42,2024-05-12,SFG,,CIN,3:13,D,,SFG
43,2024-05-13,SFG,,LAD,2:55,N,,SFG
44,2024-05-14,SFG,,LAD,2:36,N,,SFG
