Gm#,Date,Tm,@,Opp,last_opp,new_series,series
1,2024-03-28,SFG,@,SDP,,True,1.0
2,2024-03-29,SFG,@,SDP,SDP,False,1.0
3,2024-03-30,SFG,@,SDP,SDP,False,1.0
4,2024-03-31,SFG,@,SDP,SDP,False,1.0
5,2024-04-01,SFG,@,LAD,SDP,True,2.0
6,2024-04-02,SFG,@,LAD,LAD,False,2.0
7,2024-04-03,SFG,@,LAD,LAD,False,2.0
8,2024-04-05,SFG,,SDP,LAD,True,3.0
9,2024-04-06,SFG,,SDP,SDP,False,3.0
10,2024-04-07,SFG,,SDP,SDP,False,3.0
11,2024-04-08,SFG,,WSN,SDP,True,4.0
12,2024-04-09,SFG,,WSN,WSN,False,4.0
13,2024-04-10,SFG,,WSN,WSN,False,4.0
14,2024-04-12,SFG,@,TBR,WSN,True,5.0
15,2024-04-13,SFG,@,TBR,TBR,False,5.0
16,2024-04-14,SFG,@,TBR,TBR,False,5.0
17,2024-04-15,SFG,@,MIA,TBR,True,6.0
18,2024-04-16,SFG,@,MIA,MIA,False,6.0
19,2024-04-17,SFG,@,MIA,MIA,False,6.0
20,2024-04-18,SFG,,ARI,MIA,True,7.0
21,2024-04-19,SFG,,ARI,ARI,False,7.0
22,2024-04-20,SFG,,ARI,ARI,False,7.0
23,2024-04-21,SFG,,ARI,ARI,False,7.0
24,2024-04-22,SFG,,NYM,ARI,True,8.0
25,2024-04-23,SFG,,NYM,NYM,False,8.0
26,2024-04-24,SFG,,NYM,NYM,False,8.0
27,2024-04-26,SFG,,PIT,NYM,True,9.0
28,2024-04-27,SFG,,PIT,PIT,False,9.0
29,2024-04-28,SFG,,PIT,PIT,False,9.0
30,2024-04-30,SFG,@,BOS,PIT,True,10.0
31,2024-05-01,SFG,@,BOS,BOS,False,10.0
32,2024-05-02,SFG,@,BOS,BOS,False,10.0
33,2024-05-03,SFG,@,PHI,BOS,True,11.0
34,2024-05-04,SFG,@,PHI,PHI,False,11.0
35,2024-05-05,SFG,@,PHI,PHI,False,11.0
36,2024-05-06,SFG,@,PHI,PHI,False,11.0
37,2024-05-07,SFG,@,COL,PHI,True,12.0
38,2024-05-08,SFG,@,COL,COL,False,12.0
39,2024-05-09,SFG,@,COL,COL,False,12.0
40,2024-05-10,SFG,,CIN,COL,True,13.0
41,2024-05-11,SFG,,CIN,CIN,False,13.0
42,2024-05-12,SFG,,CIN,CIN,False,13.0
43,2024-05-13,SFG,,LAD,CIN,True,14.0
44,2024-05-14,SFG,,LAD,LAD,False,14.0
45,2024-05-15,SFG,,LAD,LAD,False,14.0
46,2024-05-17,SFG,,COL,LAD,True,15.0
47,2024-05-18,SFG,,COL,COL,False,15.0
48,2024-05-19,SFG,,COL,COL,False,15.0
49,2024-05-21,SFG,@,PIT,COL,True,16.0
50,2024-05-22,SFG,@,PIT,PIT,False,16.0
51,2024-05-23,SFG,@,PIT,PIT,False,16.0
52,2024-05-24,SFG,@,NYM,PIT,True,17.0
53,2024-05-25,SFG,@,NYM,NYM,False,17.0
54,2024-05-26,SFG,@,NYM,NYM,False,17.0
55,2024-05-27,SFG,,PHI,NYM,True,18.0
56,2024-05-28,SFG,,PHI,PHI,False,18.0
57,2024-05-29,SFG,,PHI,PHI,False,18.0
58,2024-05-31,SFG,,NYY,PHI,True,19.0
59,2024-06-01,SFG,,NYY,NYY,False,19.0
60,2024-06-02,SFG,,NYY,NYY,False,19.0
61,2024-06-03,SFG,@,ARI,NYY,True,20.0
62,2024-06-04,SFG,@,ARI,ARI,False,20.0
63,2024-06-05,SFG,@,ARI,ARI,False,20.0
64,2024-06-07,SFG,@,TEX,ARI,True,21.0
65,2024-06-08,SFG,@,TEX,TEX,False,21.0
66,2024-06-09,SFG,@,TEX,TEX,False,21.0
67,2024-06-10,SFG,,HOU,TEX,True,22.0
68,2024-06-11,SFG,,HOU,HOU,False,22.0
69,2024-06-12,SFG,,HOU,HOU,False,22.0
70,2024-06-14,SFG,,LAA,HOU,True,23.0
71,2024-06-15,SFG,,LAA,LAA,False,23.0
72,2024-06-16,SFG,,LAA,LAA,False,23.0
73,2024-06-17,SFG,@,CHC,LAA,True,24.0
74,2024-06-18,SFG,@,CHC,CHC,False,24.0
75,2024-06-19,SFG,@,CHC,CHC,False,24.0
76,2024-06-20,SFG,@,STL,CHC,True,25.0
77,2024-06-22,SFG,@,STL,STL,False,25.0
78,2024-06-23,SFG,@,STL,STL,False,25.0
79,2024-06-24,SFG,,CHC,STL,True,26.0
80,2024-06-25,SFG,,CHC,CHC,False,26.0
81,2024-06-26,SFG,,CHC,CHC,False,26.0
82,2024-06-27,SFG,,CHC,CHC,False,26.0
83,2024-06-28,SFG,,LAD,CHC,True,27.0
84,2024-06-29,SFG,,LAD,LAD,False,27.0
85,2024-06-30,SFG,,LAD,LAD,False,27.0
86,2024-07-02,SFG,@,ATL,LAD,True,28.0
87,2024-07-03,SFG,@,ATL,ATL,False,28.0
88,2024-07-04,SFG,@,ATL,ATL,False,28.0
89,2024-07-05,SFG,@,CLE,ATL,True,29.0
90,2024-07-06,SFG,@,CLE,CLE,False,29.0
91,2024-07-07,SFG,@,CLE,CLE,False,29.0
92,2024-07-09,SFG,,TOR,CLE,True,30.0
93,2024-07-10,SFG,,TOR,TOR,False,30.0
94,2024-07-11,SFG,,TOR,TOR,False,30.0
95,2024-07-12,SFG,,MIN,TOR,True,31.0
96,2024-07-13,SFG,,MIN,MIN,False,31.0
97,2024-07-14,SFG,,MIN,MIN,False,31.0
98,2024-07-19,SFG,@,COL,MIN,True,32.0
99,2024-07-20,SFG,@,COL,COL,False,32.0
100,2024-07-21,SFG,@,COL,COL,False,32.0
101,2024-07-22,SFG,@,LAD,COL,True,33.0
102,2024-07-23,SFG,@,LAD,LAD,False,33.0
103,2024-07-24,SFG,@,LAD,LAD,False,33.0
104,2024-07-25,SFG,@,LAD,LAD,False,33.0
105,2024-07-26,SFG,,COL,LAD,True,34.0
106,2024-07-27,SFG,,COL,COL,False,34.0
107,2024-07-27,SFG,,COL,COL,False,34.0
108,2024-07-28,SFG,,COL,COL,False,34.0
109,2024-07-30,SFG,,OAK,COL,True,35.0
110,2024-07-31,SFG,,OAK,OAK,False,35.0
111,2024-08-02,SFG,@,CIN,OAK,True,36.0
112,2024-08-03,SFG,@,CIN,CIN,False,36.0
113,2024-08-04,SFG,@,CIN,CIN,False,36.0
114,2024-08-05,SFG,@,WSN,CIN,True,37.0
115,2024-08-06,SFG,@,WSN,WSN,False,37.0
116,2024-08-07,SFG,@,WSN,WSN,False,37.0
117,2024-08-08,SFG,@,WSN,WSN,False,37.0
118,2024-08-09,SFG,,DET,WSN,True,38.0
119,2024-08-10,SFG,,DET,DET,False,38.0
120,2024-08-11,SFG,,DET,DET,False,38.0
121,2024-08-12,SFG,,ATL,DET,True,39.0
122,2024-08-13,SFG,,ATL,ATL,False,39.0
123,2024-08-14,SFG,,ATL,ATL,False,39.0
124,2024-08-15,SFG,,ATL,ATL,False,39.0
125,2024-08-17,SFG,@,OAK,ATL,True,40.0
126,2024-08-18,SFG,@,OAK,OAK,False,40.0
127,2024-08-19,SFG,,CHW,OAK,True,41.0
128,2024-08-20,SFG,,CHW,CHW,False,41.0
129,2024-08-21,SFG,,CHW,CHW,False,41.0
130,2024-08-23,SFG,@,SEA,CHW,True,42.0
131,2024-08-24,SFG,@,SEA,SEA,False,42.0
132,2024-08-25,SFG,@,SEA,SEA,False,42.0
133,2024-08-27,SFG,@,MIL,SEA,True,43.0
134,2024-08-28,SFG,@,MIL,MIL,False,43.0
135,2024-08-29,SFG,@,MIL,MIL,False,43.0
136,2024-08-30,SFG,,MIA,MIL,True,44.0
