Gm#,Date,Tm,@,Opp,away,lag,seg_start,seg
1,2022-04-08,TEX,@,TOR,1,,True,1.0
2,2022-04-09,TEX,@,TOR,1,1.0,False,1.0
3,2022-04-10,TEX,@,TOR,1,1.0,False,1.0
4,2022-04-11,TEX,,COL,0,1.0,True,2.0
5,2022-04-12,TEX,,COL,0,0.0,False,2.0
6,2022-04-14,TEX,,LAA,0,0.0,False,2.0
7,2022-04-15,TEX,,LAA,0,0.0,False,2.0
8,2022-04-16,TEX,,LAA,0,0.0,False,2.0
9,2022-04-17,TEX,,LAA,0,0.0,False,2.0
10,2022-04-19,TEX,@,SEA,1,0.0,True,3.0
11,2022-04-20,TEX,@,SEA,1,1.0,False,3.0
12,2022-04-21,TEX,@,SEA,1,1.0,False,3.0
13,2022-04-22,TEX,@,OAK,1,1.0,False,3.0
14,2022-04-23,TEX,@,OAK,1,1.0,False,3.0
15,2022-04-24,TEX,@,OAK,1,1.0,False,3.0
16,2022-04-25,TEX,,HOU,0,1.0,True,4.0
17,2022-04-26,TEX,,HOU,0,0.0,False,4.0
18,2022-04-27,TEX,,HOU,0,0.0,False,4.0
19,2022-04-28,TEX,,HOU,0,0.0,False,4.0
20,2022-04-29,TEX,,ATL,0,0.0,False,4.0
21,2022-04-30,TEX,,ATL,0,0.0,False,4.0
22,2022-05-01,TEX,,ATL,0,0.0,False,4.0
23,2022-05-03,TEX,@,PHI,1,0.0,True,5.0
24,2022-05-04,TEX,@,PHI,1,1.0,False,5.0
25,2022-05-08,TEX,@,NYY,1,1.0,False,5.0
26,2022-05-08,TEX,@,NYY,1,1.0,False,5.0
27,2022-05-09,TEX,@,NYY,1,1.0,False,5.0
28,2022-05-10,TEX,,KCR,0,1.0,True,6.0
29,2022-05-11,TEX,,KCR,0,0.0,False,6.0
30,2022-05-12,TEX,,KCR,0,0.0,False,6.0
31,2022-05-13,TEX,,BOS,0,0.0,False,6.0
32,2022-05-14,TEX,,BOS,0,0.0,False,6.0
33,2022-05-15,TEX,,BOS,0,0.0,False,6.0
34,2022-05-16,TEX,,LAA,0,0.0,False,6.0
35,2022-05-17,TEX,,LAA,0,0.0,False,6.0
36,2022-05-18,TEX,,LAA,0,0.0,False,6.0
37,2022-05-19,TEX,@,HOU,1,0.0,True,7.0
38,2022-05-20,TEX,@,HOU,1,1.0,False,7.0
39,2022-05-21,TEX,@,HOU,1,1.0,False,7.0
40,2022-05-22,TEX,@,HOU,1,1.0,False,7.0
41,2022-05-24,TEX,@,LAA,1,1.0,False,7.0
42,2022-05-25,TEX,@,LAA,1,1.0,False,7.0
43,2022-05-26,TEX,@,OAK,1,1.0,False,7.0
44,2022-05-27,TEX,@,OAK,1,1.0,False,7.0
45,2022-05-28,TEX,@,OAK,1,1.0,False,7.0
46,2022-05-29,TEX,@,OAK,1,1.0,False,7.0
47,2022-05-30,TEX,,TBR,0,1.0,True,8.0
48,2022-05-31,TEX,,TBR,0,0.0,False,8.0
49,2022-06-01,TEX,,TBR,0,0.0,False,8.0
50,2022-06-02,TEX,,TBR,0,0.0,False,8.0
51,2022-06-03,TEX,,SEA,0,0.0,False,8.0
52,2022-06-04,TEX,,SEA,0,0.0,False,8.0
53,2022-06-05,TEX,,SEA,0,0.0,False,8.0
54,2022-06-07,TEX,@,CLE,1,0.0,True,9.0
55,2022-06-07,TEX,@,CLE,1,1.0,False,9.0
56,2022-06-08,TEX,@,CLE,1,1.0,False,9.0
57,2022-06-10,TEX,@,CHW,1,1.0,False,9.0
58,2022-06-11,TEX,@,CHW,1,1.0,False,9.0
59,2022-06-12,TEX,@,CHW,1,1.0,False,9.0
60,2022-06-13,TEX,,HOU,0,1.0,True,10.0
61,2022-06-14,TEX,,HOU,0,0.0,False,10.0
62,2022-06-15,TEX,,HOU,0,0.0,False,10.0
63,2022-06-16,TEX,@,DET,1,0.0,True,11.0
64,2022-06-17,TEX,@,DET,1,1.0,False,11.0
65,2022-06-18,TEX,@,DET,1,1.0,False,11.0
66,2022-06-19,TEX,@,DET,1,1.0,False,11.0
67,2022-06-21,TEX,,PHI,0,1.0,True,12.0
68,2022-06-22,TEX,,PHI,0,0.0,False,12.0
69,2022-06-24,TEX,,WSN,0,0.0,False,12.0
70,2022-06-25,TEX,,WSN,0,0.0,False,12.0
71,2022-06-26,TEX,,WSN,0,0.0,False,12.0
72,2022-06-27,TEX,@,KCR,1,0.0,True,13.0
73,2022-06-28,TEX,@,KCR,1,1.0,False,13.0
74,2022-06-29,TEX,@,KCR,1,1.0,False,13.0
75,2022-07-01,TEX,@,NYM,1,1.0,False,13.0
76,2022-07-02,TEX,@,NYM,1,1.0,False,13.0
77,2022-07-03,TEX,@,NYM,1,1.0,False,13.0
78,2022-07-04,TEX,@,BAL,1,1.0,False,13.0
79,2022-07-05,TEX,@,BAL,1,1.0,False,13.0
80,2022-07-06,TEX,@,BAL,1,1.0,False,13.0
81,2022-07-08,TEX,,MIN,0,1.0,True,14.0
82,2022-07-09,TEX,,MIN,0,0.0,False,14.0
