Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2024-03-28,TEX,,CHC,3:15,N,,TEX
2,2024-03-30,TEX,,CHC,2:32,N,,TEX
3,2024-03-31,TEX,,CHC,3:02,D,,TEX
4,2024-04-01,TEX,@,TBR,2:34,N,,TBR
5,2024-04-02,TEX,@,TBR,2:23,N,,TBR
6,2024-04-03,TEX,@,TBR,2:26,D,,TBR
7,2024-04-05,TEX,,HOU,2:34,N,,TEX
8,2024-04-06,TEX,,HOU,2:58,N,,TEX
9,2024-04-07,TEX,,HOU,2:23,N,,TEX
10,2024-04-08,TEX,,HOU,2:36,N,,TEX
11,2024-04-09,TEX,,OAK,2:23,N,,TEX
12,2024-04-10,TEX,,OAK,2:22,N,,TEX
13,2024-04-11,TEX,,OAK,2:18,D,,TEX
14,2024-04-12,TEX,@,HOU,3:03,N,,HOU
15,2024-04-13,TEX,@,HOU,2:47,D,,HOU
16,2024-04-14,TEX,@,HOU,2:34,D,,HOU
17,2024-04-15,TEX,@,DET,2:21,N,,DET
18,2024-04-16,TEX,@,DET,2:23,D,,DET
19,2024-04-17,TEX,@,DET,2:37,D,,DET
20,2024-04-18,TEX,@,DET,3:04,D,,DET
21,2024-04-19,TEX,@,ATL,2:30,N,,ATL
22,2024-04-20,TEX,@,ATL,2:32,N,,ATL
23,2024-04-21,TEX,@,ATL,2:28,N,,ATL
24,2024-04-23,TEX,,SEA,2:29,N,,TEX
25,2024-04-24,TEX,,SEA,2:57,N,,TEX
26,2024-04-25,TEX,,SEA,2:18,D,,TEX
27,2024-04-26,TEX,,CIN,2:21,N,,TEX
28,2024-04-27,TEX,,CIN,2:34,D,,TEX
29,2024-04-28,TEX,,CIN,2:30,D,,TEX
30,2024-04-30,TEX,,WSN,2:19,N,,TEX
31,2024-05-01,TEX,,WSN,2:11,N,,TEX
32,2024-05-02,TEX,,WSN,2:30,D,,TEX
33,2024-05-03,TEX,@,KCR,2:24,N,,KCR
34,2024-05-04,TEX,@,KCR,2:50,N,,KCR
35,2024-05-05,TEX,@,KCR,2:32,D,,KCR
36,2024-05-06,TEX,@,OAK,2:26,N,,OAK
37,2024-05-07,TEX,@,OAK,3:07,D,,OAK
38,2024-05-08,TEX,@,OAK,2:19,D,,OAK
39,2024-05-08,TEX,@,OAK,3:33,D,,OAK
40,2024-05-10,TEX,@,COL,2:21,N,,COL
41,2024-05-11,TEX,@,COL,2:48,N,,COL
42,2024-05-12,TEX,@,COL,2:25,D,,COL
43,2024-05-13,TEX,,CLE,2:46,N,,TEX
