Gm#,Date,Tm,@,Opp,last_opp,new_series,series
1,2024-03-28,TEX,,CHC,,True,1.0
2,2024-03-30,TEX,,CHC,CHC,False,1.0
3,2024-03-31,TEX,,CHC,CHC,False,1.0
4,2024-04-01,TEX,@,TBR,CHC,True,2.0
5,2024-04-02,TEX,@,TBR,TBR,False,2.0
6,2024-04-03,TEX,@,TBR,TBR,False,2.0
7,2024-04-05,TEX,,HOU,TBR,True,3.0
8,2024-04-06,TEX,,HOU,HOU,False,3.0
9,2024-04-07,TEX,,HOU,HOU,False,3.0
10,2024-04-08,TEX,,HOU,HOU,False,3.0
11,2024-04-09,TEX,,OAK,HOU,True,4.0
12,2024-04-10,TEX,,OAK,OAK,False,4.0
13,2024-04-11,TEX,,OAK,OAK,False,4.0
14,2024-04-12,TEX,@,HOU,OAK,True,5.0
15,2024-04-13,TEX,@,HOU,HOU,False,5.0
16,2024-04-14,TEX,@,HOU,HOU,False,5.0
17,2024-04-15,TEX,@,DET,HOU,True,6.0
18,2024-04-16,TEX,@,DET,DET,False,6.0
19,2024-04-17,TEX,@,DET,DET,False,6.0
20,2024-04-18,TEX,@,DET,DET,False,6.0
21,2024-04-19,TEX,@,ATL,DET,True,7.0
22,2024-04-20,TEX,@,ATL,ATL,False,7.0
23,2024-04-21,TEX,@,ATL,ATL,False,7.0
24,2024-04-23,TEX,,SEA,ATL,True,8.0
25,2024-04-24,TEX,,SEA,SEA,False,8.0
26,2024-04-25,TEX,,SEA,SEA,False,8.0
27,2024-04-26,TEX,,CIN,SEA,True,9.0
28,2024-04-27,TEX,,CIN,CIN,False,9.0
29,2024-04-28,TEX,,CIN,CIN,False,9.0
30,2024-04-30,TEX,,WSN,CIN,True,10.0
31,2024-05-01,TEX,,WSN,WSN,False,10.0
32,2024-05-02,TEX,,WSN,WSN,False,10.0
33,2024-05-03,TEX,@,KCR,WSN,True,11.0
34,2024-05-04,TEX,@,KCR,KCR,False,11.0
35,2024-05-05,TEX,@,KCR,KCR,False,11.0
36,2024-05-06,TEX,@,OAK,KCR,True,12.0
37,2024-05-07,TEX,@,OAK,OAK,False,12.0
38,2024-05-08,TEX,@,OAK,OAK,False,12.0
39,2024-05-08,TEX,@,OAK,OAK,False,12.0
40,2024-05-10,TEX,@,COL,OAK,True,13.0
41,2024-05-11,TEX,@,COL,COL,False,13.0
42,2024-05-12,TEX,@,COL,COL,False,13.0
43,2024-05-13,TEX,,CLE,COL,True,14.0
44,2024-05-14,TEX,,CLE,CLE,False,14.0
45,2024-05-15,TEX,,CLE,CLE,False,14.0
46,2024-05-17,TEX,,LAA,CLE,True,15.0
47,2024-05-18,TEX,,LAA,LAA,False,15.0
48,2024-05-19,TEX,,LAA,LAA,False,15.0
49,2024-05-21,TEX,@,PHI,LAA,True,16.0
50,2024-05-22,TEX,@,PHI,PHI,False,16.0
51,2024-05-23,TEX,@,PHI,PHI,False,16.0
52,2024-05-24,TEX,@,MIN,PHI,True,17.0
53,2024-05-25,TEX,@,MIN,MIN,False,17.0
54,2024-05-26,TEX,@,MIN,MIN,False,17.0
55,2024-05-28,TEX,,ARI,MIN,True,18.0
56,2024-05-29,TEX,,ARI,ARI,False,18.0
57,2024-05-31,TEX,@,MIA,ARI,True,19.0
58,2024-06-01,TEX,@,MIA,MIA,False,19.0
59,2024-06-02,TEX,@,MIA,MIA,False,19.0
60,2024-06-03,TEX,,DET,MIA,True,20.0
61,2024-06-04,TEX,,DET,DET,False,20.0
