Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2022-04-08,TOR,,TEX,3:26,N,,TOR
2,2022-04-09,TOR,,TEX,2:39,D,,TOR
3,2022-04-10,TOR,,TEX,3:24,D,,TOR
4,2022-04-11,TOR,@,NYY,3:03,N,,NYY
5,2022-04-12,TOR,@,NYY,3:07,N,,NYY
6,2022-04-13,TOR,@,NYY,3:10,N,,NYY
7,2022-04-14,TOR,@,NYY,3:06,N,,NYY
8,2022-04-15,TOR,,OAK,3:00,N,,TOR
9,2022-04-16,TOR,,OAK,3:05,D,,TOR
10,2022-04-17,TOR,,OAK,3:05,D,,TOR
11,2022-04-19,TOR,@,BOS,3:10,N,,BOS
12,2022-04-20,TOR,@,BOS,3:07,N,,BOS
13,2022-04-21,TOR,@,BOS,2:59,D,,BOS
14,2022-04-22,TOR,@,HOU,2:53,N,,HOU
15,2022-04-23,TOR,@,HOU,2:54,D,,HOU
16,2022-04-24,TOR,@,HOU,3:45,D,,HOU
17,2022-04-25,TOR,,BOS,2:16,N,,TOR
18,2022-04-26,TOR,,BOS,3:47,N,,TOR
19,2022-04-27,TOR,,BOS,3:05,N,,TOR
20,2022-04-28,TOR,,BOS,2:42,D,,TOR
21,2022-04-29,TOR,,HOU,3:42,N,,TOR
22,2022-04-30,TOR,,HOU,2:43,D,,TOR
23,2022-05-01,TOR,,HOU,2:52,D,,TOR
24,2022-05-02,TOR,,NYY,2:54,N,,TOR
25,2022-05-03,TOR,,NYY,2:57,N,,TOR
26,2022-05-04,TOR,,NYY,2:44,N,,TOR
27,2022-05-05,TOR,@,CLE,3:03,N,,CLE
28,2022-05-07,TOR,@,CLE,3:23,D,2022-05-06 (Rain),CLE
29,2022-05-07,TOR,@,CLE,2:55,D,,CLE
30,2022-05-08,TOR,@,CLE,3:02,D,,CLE
31,2022-05-10,TOR,@,NYY,3:39,N,,NYY
32,2022-05-11,TOR,@,NYY,2:50,D,,NYY
33,2022-05-13,TOR,@,TBR,2:49,N,,TBR
34,2022-05-14,TOR,@,TBR,3:03,N,,TBR
35,2022-05-15,TOR,@,TBR,2:47,D,,TBR
36,2022-05-16,TOR,,SEA,3:23,N,,TOR
37,2022-05-17,TOR,,SEA,2:20,N,,TOR
38,2022-05-18,TOR,,SEA,2:47,N,,TOR
39,2022-05-20,TOR,,CIN,2:42,N,,TOR
40,2022-05-21,TOR,,CIN,2:19,D,,TOR
41,2022-05-22,TOR,,CIN,3:17,D,,TOR
42,2022-05-23,TOR,@,STL,3:21,N,,STL
43,2022-05-24,TOR,@,STL,3:30,N,,STL
44,2022-05-26,TOR,@,LAA,2:56,N,,LAA
45,2022-05-27,TOR,@,LAA,3:05,N,,LAA
46,2022-05-28,TOR,@,LAA,3:45,N,,LAA
47,2022-05-29,TOR,@,LAA,4:13,D,,LAA
