Gm#,Date,Tm,@,Opp,last_opp,new_series,series
1,2022-04-08,TOR,,TEX,,True,1.0
2,2022-04-09,TOR,,TEX,TEX,False,1.0
3,2022-04-10,TOR,,TEX,TEX,False,1.0
4,2022-04-11,TOR,@,NYY,TEX,True,2.0
5,2022-04-12,TOR,@,NYY,NYY,False,2.0
6,2022-04-13,TOR,@,NYY,NYY,False,2.0
7,2022-04-14,TOR,@,NYY,NYY,False,2.0
8,2022-04-15,TOR,,OAK,NYY,True,3.0
9,2022-04-16,TOR,,OAK,OAK,False,3.0
10,2022-04-17,TOR,,OAK,OAK,False,3.0
11,2022-04-19,TOR,@,BOS,OAK,True,4.0
12,2022-04-20,TOR,@,BOS,BOS,False,4.0
13,2022-04-21,TOR,@,BOS,BOS,False,4.0
14,2022-04-22,TOR,@,HOU,BOS,True,5.0
15,2022-04-23,TOR,@,HOU,HOU,False,5.0
16,2022-04-24,TOR,@,HOU,HOU,False,5.0
17,2022-04-25,TOR,,BOS,HOU,True,6.0
18,2022-04-26,TOR,,BOS,BOS,False,6.0
19,2022-04-27,TOR,,BOS,BOS,False,6.0
20,2022-04-28,TOR,,BOS,BOS,False,6.0
21,2022-04-29,TOR,,HOU,BOS,True,7.0
22,2022-04-30,TOR,,HOU,HOU,False,7.0
23,2022-05-01,TOR,,HOU,HOU,False,7.0
24,2022-05-02,TOR,,NYY,HOU,True,8.0
25,2022-05-03,TOR,,NYY,NYY,False,8.0
26,2022-05-04,TOR,,NYY,NYY,False,8.0
27,2022-05-05,TOR,@,CLE,NYY,True,9.0
28,2022-05-07,TOR,@,CLE,CLE,False,9.0
29,2022-05-07,TOR,@,CLE,CLE,False,9.0
30,2022-05-08,TOR,@,CLE,CLE,False,9.0
31,2022-05-10,TOR,@,NYY,CLE,True,10.0
32,2022-05-11,TOR,@,NYY,NYY,False,10.0
33,2022-05-13,TOR,@,TBR,NYY,True,11.0
34,2022-05-14,TOR,@,TBR,TBR,False,11.0
35,2022-05-15,TOR,@,TBR,TBR,False,11.0
36,2022-05-16,TOR,,SEA,TBR,True,12.0
37,2022-05-17,TOR,,SEA,SEA,False,12.0
38,2022-05-18,TOR,,SEA,SEA,False,12.0
39,2022-05-20,TOR,,CIN,SEA,True,13.0
40,2022-05-21,TOR,,CIN,CIN,False,13.0
41,2022-05-22,TOR,,CIN,CIN,False,13.0
42,2022-05-23,TOR,@,STL,CIN,True,14.0
43,2022-05-24,TOR,@,STL,STL,False,14.0
44,2022-05-26,TOR,@,LAA,STL,True,15.0
45,2022-05-27,TOR,@,LAA,LAA,False,15.0
46,2022-05-28,TOR,@,LAA,LAA,False,15.0
47,2022-05-29,TOR,@,LAA,LAA,False,15.0
48,2022-05-31,TOR,,CHW,LAA,True,16.0
49,2022-06-01,TOR,,CHW,CHW,False,16.0
50,2022-06-02,TOR,,CHW,CHW,False,16.0
51,2022-06-03,TOR,,MIN,CHW,True,17.0
52,2022-06-04,TOR,,MIN,MIN,False,17.0
53,2022-06-05,TOR,,MIN,MIN,False,17.0
54,2022-06-06,TOR,@,KCR,MIN,True,18.0
55,2022-06-07,TOR,@,KCR,KCR,False,18.0
56,2022-06-08,TOR,@,KCR,KCR,False,18.0
57,2022-06-10,TOR,@,DET,KCR,True,19.0
58,2022-06-11,TOR,@,DET,DET,False,19.0
59,2022-06-12,TOR,@,DET,DET,False,19.0
60,2022-06-13,TOR,,BAL,DET,True,20.0
61,2022-06-14,TOR,,BAL,BAL,False,20.0
62,2022-06-15,TOR,,BAL,BAL,False,20.0
63,2022-06-16,TOR,,BAL,BAL,False,20.0
64,2022-06-17,TOR,,NYY,BAL,True,21.0
65,2022-06-18,TOR,,NYY,NYY,False,21.0
66,2022-06-19,TOR,,NYY,NYY,False,21.0
67,2022-06-20,TOR,@,CHW,NYY,True,22.0
68,2022-06-21,TOR,@,CHW,CHW,False,22.0
69,2022-06-22,TOR,@,CHW,CHW,False,22.0
70,2022-06-24,TOR,@,MIL,CHW,True,23.0
71,2022-06-25,TOR,@,MIL,MIL,False,23.0
72,2022-06-26,TOR,@,MIL,MIL,False,23.0
73,2022-06-27,TOR,,BOS,MIL,True,24.0
74,2022-06-28,TOR,,BOS,BOS,False,24.0
75,2022-06-29,TOR,,BOS,BOS,False,24.0
76,2022-06-30,TOR,,TBR,BOS,True,25.0
77,2022-07-01,TOR,,TBR,TBR,False,25.0
78,2022-07-02,TOR,,TBR,TBR,False,25.0
79,2022-07-02,TOR,,TBR,TBR,False,25.0
80,2022-07-03,TOR,,TBR,TBR,False,25.0
81,2022-07-04,TOR,@,OAK,TBR,True,26.0
82,2022-07-05,TOR,@,OAK,OAK,False,26.0
83,2022-07-06,TOR,@,OAK,OAK,False,26.0
84,2022-07-07,TOR,@,SEA,OAK,True,27.0
85,2022-07-08,TOR,@,SEA,SEA,False,27.0
86,2022-07-09,TOR,@,SEA,SEA,False,27.0
87,2022-07-10,TOR,@,SEA,SEA,False,27.0
88,2022-07-12,TOR,,PHI,SEA,True,28.0
89,2022-07-13,TOR,,PHI,PHI,False,28.0
