Gm#,Date,Tm,@,Opp,away,lag,seg_start,seg
1,2024-03-28,TOR,@,TBR,1,,True,1.0
2,2024-03-29,TOR,@,TBR,1,1.0,False,1.0
3,2024-03-30,TOR,@,TBR,1,1.0,False,1.0
4,2024-03-31,TOR,@,TBR,1,1.0,False,1.0
5,2024-04-01,TOR,@,HOU,1,1.0,False,1.0
6,2024-04-02,TOR,@,HOU,1,1.0,False,1.0
7,2024-04-03,TOR,@,HOU,1,1.0,False,1.0
8,2024-04-05,TOR,@,NYY,1,1.0,False,1.0
9,2024-04-06,TOR,@,NYY,1,1.0,False,1.0
10,2024-04-07,TOR,@,NYY,1,1.0,False,1.0
11,2024-04-08,TOR,,SEA,0,1.0,True,2.0
12,2024-04-09,TOR,,SEA,0,0.0,False,2.0
13,2024-04-10,TOR,,SEA,0,0.0,False,2.0
14,2024-04-12,TOR,,COL,0,0.0,False,2.0
15,2024-04-13,TOR,,COL,0,0.0,False,2.0
16,2024-04-14,TOR,,COL,0,0.0,False,2.0
17,2024-04-15,TOR,,NYY,0,0.0,False,2.0
18,2024-04-16,TOR,,NYY,0,0.0,False,2.0
19,2024-04-17,TOR,,NYY,0,0.0,False,2.0
20,2024-04-19,TOR,@,SDP,1,0.0,True,3.0
21,2024-04-20,TOR,@,SDP,1,1.0,False,3.0
22,2024-04-21,TOR,@,SDP,1,1.0,False,3.0
23,2024-04-22,TOR,@,KCR,1,1.0,False,3.0
24,2024-04-23,TOR,@,KCR,1,1.0,False,3.0
25,2024-04-24,TOR,@,KCR,1,1.0,False,3.0
26,2024-04-25,TOR,@,KCR,1,1.0,False,3.0
27,2024-04-26,TOR,,LAD,0,1.0,True,4.0
28,2024-04-27,TOR,,LAD,0,0.0,False,4.0
29,2024-04-28,TOR,,LAD,0,0.0,False,4.0
30,2024-04-29,TOR,,KCR,0,0.0,False,4.0
31,2024-04-30,TOR,,KCR,0,0.0,False,4.0
32,2024-05-01,TOR,,KCR,0,0.0,False,4.0
33,2024-05-03,TOR,@,WSN,1,0.0,True,5.0
34,2024-05-04,TOR,@,WSN,1,1.0,False,5.0
35,2024-05-05,TOR,@,WSN,1,1.0,False,5.0
36,2024-05-07,TOR,@,PHI,1,1.0,False,5.0
37,2024-05-08,TOR,@,PHI,1,1.0,False,5.0
38,2024-05-10,TOR,,MIN,0,1.0,True,6.0
39,2024-05-11,TOR,,MIN,0,0.0,False,6.0
40,2024-05-12,TOR,,MIN,0,0.0,False,6.0
41,2024-05-13,TOR,@,BAL,1,0.0,True,7.0
42,2024-05-15,TOR,@,BAL,1,1.0,False,7.0
43,2024-05-17,TOR,,TBR,0,1.0,True,8.0
44,2024-05-18,TOR,,TBR,0,0.0,False,8.0
45,2024-05-19,TOR,,TBR,0,0.0,False,8.0
46,2024-05-20,TOR,,CHW,0,0.0,False,8.0
47,2024-05-21,TOR,,CHW,0,0.0,False,8.0
48,2024-05-22,TOR,,CHW,0,0.0,False,8.0
49,2024-05-23,TOR,@,DET,1,0.0,True,9.0
50,2024-05-24,TOR,@,DET,1,1.0,False,9.0
51,2024-05-25,TOR,@,DET,1,1.0,False,9.0
52,2024-05-26,TOR,@,DET,1,1.0,False,9.0
53,2024-05-27,TOR,@,CHW,1,1.0,False,9.0
54,2024-05-28,TOR,@,CHW,1,1.0,False,9.0
55,2024-05-29,TOR,@,CHW,1,1.0,False,9.0
56,2024-05-31,TOR,,PIT,0,1.0,True,10.0
57,2024-06-01,TOR,,PIT,0,0.0,False,10.0
58,2024-06-02,TOR,,PIT,0,0.0,False,10.0
59,2024-06-03,TOR,,BAL,0,0.0,False,10.0
60,2024-06-04,TOR,,BAL,0,0.0,False,10.0
61,2024-06-05,TOR,,BAL,0,0.0,False,10.0
62,2024-06-06,TOR,,BAL,0,0.0,False,10.0
63,2024-06-07,TOR,@,OAK,1,0.0,True,11.0
64,2024-06-08,TOR,@,OAK,1,1.0,False,11.0
