Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2022-04-07,WSN,,NYM,3:31,N,,WSN
2,2022-04-08,WSN,,NYM,3:43,N,,WSN
3,2022-04-09,WSN,,NYM,3:14,N,,WSN
4,2022-04-10,WSN,,NYM,3:01,D,,WSN
5,2022-04-11,WSN,@,ATL,3:33,N,,ATL
6,2022-04-12,WSN,@,ATL,3:37,N,,ATL
7,2022-04-13,WSN,@,ATL,2:57,D,,ATL
8,2022-04-14,WSN,@,PIT,3:37,N,,PIT
9,2022-04-15,WSN,@,PIT,3:14,N,,PIT
10,2022-04-16,WSN,@,PIT,3:25,N,,PIT
11,2022-04-17,WSN,@,PIT,3:20,D,,PIT
12,2022-04-19,WSN,,ARI,3:08,D,2022-04-18 (Rain),WSN
13,2022-04-19,WSN,,ARI,2:31,N,,WSN
14,2022-04-20,WSN,,ARI,3:12,N,,WSN
15,2022-04-21,WSN,,ARI,3:00,D,,WSN
16,2022-04-22,WSN,,SFG,2:53,N,,WSN
17,2022-04-23,WSN,,SFG,2:48,D,,WSN
18,2022-04-24,WSN,,SFG,3:19,D,,WSN
19,2022-04-26,WSN,,MIA,3:13,N,,WSN
20,2022-04-27,WSN,,MIA,3:20,N,,WSN
21,2022-04-28,WSN,,MIA,2:46,D,,WSN
22,2022-04-29,WSN,@,SFG,3:46,N,,SFG
23,2022-04-30,WSN,@,SFG,3:20,D,,SFG
24,2022-05-01,WSN,@,SFG,3:37,D,,SFG
25,2022-05-03,WSN,@,COL,2:39,N,,COL
26,2022-05-04,WSN,@,COL,2:18,N,,COL
27,2022-05-05,WSN,@,COL,3:25,D,,COL
28,2022-05-06,WSN,@,LAA,2:28,N,,LAA
29,2022-05-07,WSN,@,LAA,3:02,N,,LAA
30,2022-05-08,WSN,@,LAA,3:26,D,,LAA
31,2022-05-10,WSN,,NYM,3:08,N,,WSN
32,2022-05-11,WSN,,NYM,3:05,N,,WSN
33,2022-05-12,WSN,,NYM,2:45,D,,WSN
34,2022-05-13,WSN,,HOU,2:45,N,,WSN
35,2022-05-14,WSN,,HOU,3:27,N,,WSN
36,2022-05-15,WSN,,HOU,3:07,D,,WSN
37,2022-05-16,WSN,@,MIA,3:01,N,,MIA
38,2022-05-17,WSN,@,MIA,3:28,N,,MIA
39,2022-05-18,WSN,@,MIA,3:56,N,,MIA
40,2022-05-20,WSN,@,MIL,2:46,N,,MIL
41,2022-05-21,WSN,@,MIL,3:13,N,,MIL
42,2022-05-22,WSN,@,MIL,3:03,D,,MIL
43,2022-05-23,WSN,,LAD,2:52,N,,WSN
44,2022-05-24,WSN,,LAD,3:19,N,,WSN
45,2022-05-25,WSN,,LAD,2:53,D,,WSN
46,2022-05-26,WSN,,COL,2:40,N,,WSN
47,2022-05-28,WSN,,COL,3:37,D,2022-05-27 (Rain),WSN
48,2022-05-28,WSN,,COL,2:53,N,,WSN
49,2022-05-29,WSN,,COL,3:13,D,,WSN
50,2022-05-30,WSN,@,NYM,3:29,N,,NYM
51,2022-05-31,WSN,@,NYM,3:31,N,,NYM
52,2022-06-01,WSN,@,NYM,3:02,D,,NYM
53,2022-06-02,WSN,@,CIN,2:40,N,,CIN
54,2022-06-03,WSN,@,CIN,3:09,N,,CIN
55,2022-06-04,WSN,@,CIN,3:44,D,,CIN
56,2022-06-05,WSN,@,CIN,3:22,D,,CIN
57,2022-06-07,WSN,@,MIA,2:57,N,,MIA
58,2022-06-08,WSN,@,MIA,3:29,N,,MIA
59,2022-06-09,WSN,@,MIA,3:09,N,,MIA
60,2022-06-10,WSN,,MIL,3:15,N,,WSN
61,2022-06-11,WSN,,MIL,3:02,D,,WSN
62,2022-06-12,WSN,,MIL,3:11,D,,WSN
63,2022-06-13,WSN,,ATL,3:15,N,,WSN
64,2022-06-14,WSN,,ATL,3:14,N,,WSN
65,2022-06-15,WSN,,ATL,3:27,N,,WSN
66,2022-06-16,WSN,,PHI,3:02,N,,WSN
67,2022-06-17,WSN,,PHI,3:32,D,,WSN
68,2022-06-17,WSN,,PHI,3:45,N,,WSN
69,2022-06-18,WSN,,PHI,3:48,D,,WSN
70,2022-06-19,WSN,,PHI,2:57,D,,WSN
71,2022-06-21,WSN,@,BAL,2:46,N,,BAL
72,2022-06-22,WSN,@,BAL,2:32,N,,BAL
73,2022-06-24,WSN,@,TEX,3:05,N,,TEX
74,2022-06-25,WSN,@,TEX,2:42,D,,TEX
75,2022-06-26,WSN,@,TEX,3:17,D,,TEX
76,2022-06-27,WSN,,PIT,2:54,N,,WSN
77,2022-06-28,WSN,,PIT,2:51,N,,WSN
78,2022-06-29,WSN,,PIT,3:48,D,,WSN
79,2022-07-01,WSN,,MIA,3:05,N,,WSN
80,2022-07-02,WSN,,MIA,3:20,D,,WSN
81,2022-07-03,WSN,,MIA,3:51,D,,WSN
82,2022-07-04,WSN,,MIA,2:53,D,,WSN
83,2022-07-05,WSN,@,PHI,3:03,N,,PHI
84,2022-07-06,WSN,@,PHI,2:57,N,,PHI
85,2022-07-07,WSN,@,PHI,2:56,D,,PHI
86,2022-07-08,WSN,@,ATL,2:51,N,,ATL
87,2022-07-09,WSN,@,ATL,2:36,D,,ATL
88,2022-07-10,WSN,@,ATL,3:53,D,,ATL
89,2022-07-13,WSN,,SEA,2:53,D,2022-07-12 (Rain),WSN
90,2022-07-13,WSN,,SEA,2:58,N,,WSN
91,2022-07-14,WSN,,ATL,2:54,N,,WSN
92,2022-07-15,WSN,,ATL,3:32,N,,WSN
93,2022-07-16,WSN,,ATL,2:47,D,,WSN
94,2022-07-17,WSN,,ATL,2:54,D,,WSN
95,2022-07-22,WSN,@,ARI,2:46,N,,ARI
96,2022-07-23,WSN,@,ARI,2:44,N,,ARI
97,2022-07-24,WSN,@,ARI,3:44,D,,ARI
98,2022-07-25,WSN,@,LAD,3:14,N,,LAD
99,2022-07-26,WSN,@,LAD,3:27,N,,LAD
100,2022-07-27,WSN,@,LAD,3:03,D,,LAD
101,2022-07-29,WSN,,STL,2:42,N,,WSN
102,2022-07-30,WSN,,STL,3:18,N,,WSN
103,2022-07-31,WSN,,STL,2:50,D,,WSN
104,2022-08-01,WSN,,NYM,3:20,N,,WSN
