Gm#,Date,Tm,@,Opp,away,lag,seg_start,seg
1,2022-04-07,WSN,,NYM,0,,True,1.0
2,2022-04-08,WSN,,NYM,0,0.0,False,1.0
3,2022-04-09,WSN,,NYM,0,0.0,False,1.0
4,2022-04-10,WSN,,NYM,0,0.0,False,1.0
5,2022-04-11,WSN,@,ATL,1,0.0,True,2.0
6,2022-04-12,WSN,@,ATL,1,1.0,False,2.0
7,2022-04-13,WSN,@,ATL,1,1.0,False,2.0
8,2022-04-14,WSN,@,PIT,1,1.0,False,2.0
9,2022-04-15,WSN,@,PIT,1,1.0,False,2.0
10,2022-04-16,WSN,@,PIT,1,1.0,False,2.0
11,2022-04-17,WSN,@,PIT,1,1.0,False,2.0
12,2022-04-19,WSN,,ARI,0,1.0,True,3.0
13,2022-04-19,WSN,,ARI,0,0.0,False,3.0
14,2022-04-20,WSN,,ARI,0,0.0,False,3.0
15,2022-04-21,WSN,,ARI,0,0.0,False,3.0
16,2022-04-22,WSN,,SFG,0,0.0,False,3.0
17,2022-04-23,WSN,,SFG,0,0.0,False,3.0
18,2022-04-24,WSN,,SFG,0,0.0,False,3.0
19,2022-04-26,WSN,,MIA,0,0.0,False,3.0
20,2022-04-27,WSN,,MIA,0,0.0,False,3.0
21,2022-04-28,WSN,,MIA,0,0.0,False,3.0
22,2022-04-29,WSN,@,SFG,1,0.0,True,4.0
23,2022-04-30,WSN,@,SFG,1,1.0,False,4.0
24,2022-05-01,WSN,@,SFG,1,1.0,False,4.0
25,2022-05-03,WSN,@,COL,1,1.0,False,4.0
26,2022-05-04,WSN,@,COL,1,1.0,False,4.0
27,2022-05-05,WSN,@,COL,1,1.0,False,4.0
28,2022-05-06,WSN,@,LAA,1,1.0,False,4.0
29,2022-05-07,WSN,@,LAA,1,1.0,False,4.0
30,2022-05-08,WSN,@,LAA,1,1.0,False,4.0
31,2022-05-10,WSN,,NYM,0,1.0,True,5.0
32,2022-05-11,WSN,,NYM,0,0.0,False,5.0
33,2022-05-12,WSN,,NYM,0,0.0,False,5.0
34,2022-05-13,WSN,,HOU,0,0.0,False,5.0
35,2022-05-14,WSN,,HOU,0,0.0,False,5.0
36,2022-05-15,WSN,,HOU,0,0.0,False,5.0
37,2022-05-16,WSN,@,MIA,1,0.0,True,6.0
38,2022-05-17,WSN,@,MIA,1,1.0,False,6.0
39,2022-05-18,WSN,@,MIA,1,1.0,False,6.0
40,2022-05-20,WSN,@,MIL,1,1.0,False,6.0
41,2022-05-21,WSN,@,MIL,1,1.0,False,6.0
42,2022-05-22,WSN,@,MIL,1,1.0,False,6.0
43,2022-05-23,WSN,,LAD,0,1.0,True,7.0
44,2022-05-24,WSN,,LAD,0,0.0,False,7.0
45,2022-05-25,WSN,,LAD,0,0.0,False,7.0
46,2022-05-26,WSN,,COL,0,0.0,False,7.0
47,2022-05-28,WSN,,COL,0,0.0,False,7.0
48,2022-05-28,WSN,,COL,0,0.0,False,7.0
49,2022-05-29,WSN,,COL,0,0.0,False,7.0
50,2022-05-30,WSN,@,NYM,1,0.0,True,8.0
51,2022-05-31,WSN,@,NYM,1,1.0,False,8.0
52,2022-06-01,WSN,@,NYM,1,1.0,False,8.0
53,2022-06-02,WSN,@,CIN,1,1.0,False,8.0
54,2022-06-03,WSN,@,CIN,1,1.0,False,8.0
55,2022-06-04,WSN,@,CIN,1,1.0,False,8.0
56,2022-06-05,WSN,@,CIN,1,1.0,False,8.0
57,2022-06-07,WSN,@,MIA,1,1.0,False,8.0
58,2022-06-08,WSN,@,MIA,1,1.0,False,8.0
59,2022-06-09,WSN,@,MIA,1,1.0,False,8.0
60,2022-06-10,WSN,,MIL,0,1.0,True,9.0
61,2022-06-11,WSN,,MIL,0,0.0,False,9.0
62,2022-06-12,WSN,,MIL,0,0.0,False,9.0
63,2022-06-13,WSN,,ATL,0,0.0,False,9.0
64,2022-06-14,WSN,,ATL,0,0.0,False,9.0
65,2022-06-15,WSN,,ATL,0,0.0,False,9.0
66,2022-06-16,WSN,,PHI,0,0.0,False,9.0
67,2022-06-17,WSN,,PHI,0,0.0,False,9.0
68,2022-06-17,WSN,,PHI,0,0.0,False,9.0
69,2022-06-18,WSN,,PHI,0,0.0,False,9.0
70,2022-06-19,WSN,,PHI,0,0.0,False,9.0
71,2022-06-21,WSN,@,BAL,1,0.0,True,10.0
72,2022-06-22,WSN,@,BAL,1,1.0,False,10.0
73,2022-06-24,WSN,@,TEX,1,1.0,False,10.0
74,2022-06-25,WSN,@,TEX,1,1.0,False,10.0
75,2022-06-26,WSN,@,TEX,1,1.0,False,10.0
76,2022-06-27,WSN,,PIT,0,1.0,True,11.0
77,2022-06-28,WSN,,PIT,0,0.0,False,11.0
78,2022-06-29,WSN,,PIT,0,0.0,False,11.0
79,2022-07-01,WSN,,MIA,0,0.0,False,11.0
80,2022-07-02,WSN,,MIA,0,0.0,False,11.0
81,2022-07-03,WSN,,MIA,0,0.0,False,11.0
82,2022-07-04,WSN,,MIA,0,0.0,False,11.0
83,2022-07-05,WSN,@,PHI,1,0.0,True,12.0
84,2022-07-06,WSN,@,PHI,1,1.0,False,12.0
85,2022-07-07,WSN,@,PHI,1,1.0,False,12.0
86,2022-07-08,WSN,@,ATL,1,1.0,False,12.0
87,2022-07-09,WSN,@,ATL,1,1.0,False,12.0
88,2022-07-10,WSN,@,ATL,1,1.0,False,12.0
89,2022-07-13,WSN,,SEA,0,1.0,True,13.0
90,2022-07-13,WSN,,SEA,0,0.0,False,13.0
91,2022-07-14,WSN,,ATL,0,0.0,False,13.0
92,2022-07-15,WSN,,ATL,0,0.0,False,13.0
93,2022-07-16,WSN,,ATL,0,0.0,False,13.0
94,2022-07-17,WSN,,ATL,0,0.0,False,13.0
95,2022-07-22,WSN,@,ARI,1,0.0,True,14.0
96,2022-07-23,WSN,@,ARI,1,1.0,False,14.0
97,2022-07-24,WSN,@,ARI,1,1.0,False,14.0
98,2022-07-25,WSN,@,LAD,1,1.0,False,14.0
99,2022-07-26,WSN,@,LAD,1,1.0,False,14.0
100,2022-07-27,WSN,@,LAD,1,1.0,False,14.0
101,2022-07-29,WSN,,STL,0,1.0,True,15.0
102,2022-07-30,WSN,,STL,0,0.0,False,15.0
103,2022-07-31,WSN,,STL,0,0.0,False,15.0
104,2022-08-01,WSN,,NYM,0,0.0,False,15.0
105,2022-08-02,WSN,,NYM,0,0.0,False,15.0
106,2022-08-03,WSN,,NYM,0,0.0,False,15.0
107,2022-08-04,WSN,@,PHI,1,0.0,True,16.0
108,2022-08-05,WSN,@,PHI,1,1.0,False,16.0
109,2022-08-06,WSN,@,PHI,1,1.0,False,16.0
110,2022-08-07,WSN,@,PHI,1,1.0,False,16.0
111,2022-08-08,WSN,@,CHC,1,1.0,False,16.0
112,2022-08-09,WSN,@,CHC,1,1.0,False,16.0
113,2022-08-10,WSN,@,CHC,1,1.0,False,16.0
114,2022-08-12,WSN,,SDP,0,1.0,True,17.0
115,2022-08-13,WSN,,SDP,0,0.0,False,17.0
116,2022-08-14,WSN,,SDP,0,0.0,False,17.0
117,2022-08-15,WSN,,CHC,0,0.0,False,17.0
118,2022-08-16,WSN,,CHC,0,0.0,False,17.0
119,2022-08-17,WSN,,CHC,0,0.0,False,17.0
120,2022-08-18,WSN,@,SDP,1,0.0,True,18.0
121,2022-08-19,WSN,@,SDP,1,1.0,False,18.0
122,2022-08-20,WSN,@,SDP,1,1.0,False,18.0
123,2022-08-21,WSN,@,SDP,1,1.0,False,18.0
124,2022-08-23,WSN,@,SEA,1,1.0,False,18.0
125,2022-08-24,WSN,@,SEA,1,1.0,False,18.0
126,2022-08-26,WSN,,CIN,0,1.0,True,19.0
127,2022-08-27,WSN,,CIN,0,0.0,False,19.0
128,2022-08-28,WSN,,CIN,0,0.0,False,19.0
129,2022-08-30,WSN,,OAK,0,0.0,False,19.0
130,2022-08-31,WSN,,OAK,0,0.0,False,19.0
131,2022-09-01,WSN,,OAK,0,0.0,False,19.0
132,2022-09-02,WSN,@,NYM,1,0.0,True,20.0
133,2022-09-03,WSN,@,NYM,1,1.0,False,20.0
134,2022-09-04,WSN,@,NYM,1,1.0,False,20.0
135,2022-09-05,WSN,@,STL,1,1.0,False,20.0
136,2022-09-06,WSN,@,STL,1,1.0,False,20.0
137,2022-09-07,WSN,@,STL,1,1.0,False,20.0
138,2022-09-08,WSN,@,STL,1,1.0,False,20.0
139,2022-09-09,WSN,@,PHI,1,1.0,False,20.0
140,2022-09-10,WSN,@,PHI,1,1.0,False,20.0
141,2022-09-11,WSN,@,PHI,1,1.0,False,20.0
142,2022-09-13,WSN,,BAL,0,1.0,True,21.0
143,2022-09-14,WSN,,BAL,0,0.0,False,21.0
144,2022-09-16,WSN,,MIA,0,0.0,False,21.0
145,2022-09-17,WSN,,MIA,0,0.0,False,21.0
146,2022-09-18,WSN,,MIA,0,0.0,False,21.0
147,2022-09-19,WSN,@,ATL,1,0.0,True,22.0
148,2022-09-20,WSN,@,ATL,1,1.0,False,22.0
149,2022-09-21,WSN,@,ATL,1,1.0,False,22.0
150,2022-09-23,WSN,@,MIA,1,1.0,False,22.0
151,2022-09-24,WSN,@,MIA,1,1.0,False,22.0
152,2022-09-25,WSN,@,MIA,1,1.0,False,22.0
153,2022-09-26,WSN,,ATL,0,1.0,True,23.0
154,2022-09-27,WSN,,ATL,0,0.0,False,23.0
155,2022-09-28,WSN,,ATL,0,0.0,False,23.0
