Gm#,Date,Tm,@,Opp,last_opp,new_series,series
1,2024-03-28,WSN,@,CIN,,True,1.0
2,2024-03-30,WSN,@,CIN,CIN,False,1.0
3,2024-03-31,WSN,@,CIN,CIN,False,1.0
4,2024-04-01,WSN,,PIT,CIN,True,2.0
5,2024-04-03,WSN,,PIT,PIT,False,2.0
6,2024-04-04,WSN,,PIT,PIT,False,2.0
7,2024-04-05,WSN,,PHI,PIT,True,3.0
8,2024-04-06,WSN,,PHI,PHI,False,3.0
9,2024-04-07,WSN,,PHI,PHI,False,3.0
10,2024-04-08,WSN,@,SFG,PHI,True,4.0
11,2024-04-09,WSN,@,SFG,SFG,False,4.0
12,2024-04-10,WSN,@,SFG,SFG,False,4.0
13,2024-04-12,WSN,@,OAK,SFG,True,5.0
14,2024-04-13,WSN,@,OAK,OAK,False,5.0
15,2024-04-14,WSN,@,OAK,OAK,False,5.0
16,2024-04-15,WSN,@,LAD,OAK,True,6.0
17,2024-04-16,WSN,@,LAD,LAD,False,6.0
18,2024-04-17,WSN,@,LAD,LAD,False,6.0
19,2024-04-19,WSN,,HOU,LAD,True,7.0
20,2024-04-20,WSN,,HOU,HOU,False,7.0
21,2024-04-21,WSN,,HOU,HOU,False,7.0
22,2024-04-23,WSN,,LAD,HOU,True,8.0
23,2024-04-24,WSN,,LAD,LAD,False,8.0
24,2024-04-25,WSN,,LAD,LAD,False,8.0
25,2024-04-26,WSN,@,MIA,LAD,True,9.0
26,2024-04-27,WSN,@,MIA,MIA,False,9.0
27,2024-04-28,WSN,@,MIA,MIA,False,9.0
28,2024-04-29,WSN,@,MIA,MIA,False,9.0
29,2024-04-30,WSN,@,TEX,MIA,True,10.0
30,2024-05-01,WSN,@,TEX,TEX,False,10.0
31,2024-05-02,WSN,@,TEX,TEX,False,10.0
32,2024-05-03,WSN,,TOR,TEX,True,11.0
33,2024-05-04,WSN,,TOR,TOR,False,11.0
34,2024-05-05,WSN,,TOR,TOR,False,11.0
35,2024-05-07,WSN,,BAL,TOR,True,12.0
36,2024-05-08,WSN,,BAL,BAL,False,12.0
37,2024-05-10,WSN,@,BOS,BAL,True,13.0
38,2024-05-11,WSN,@,BOS,BOS,False,13.0
39,2024-05-12,WSN,@,BOS,BOS,False,13.0
40,2024-05-14,WSN,@,CHW,BOS,True,14.0
41,2024-05-14,WSN,@,CHW,CHW,False,14.0
42,2024-05-15,WSN,@,CHW,CHW,False,14.0
43,2024-05-17,WSN,@,PHI,CHW,True,15.0
44,2024-05-18,WSN,@,PHI,PHI,False,15.0
