Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,ARI,,COL,W,16,1,,1-0,1,Tied,Gallen,Freeland,,2:37,N,49011,.98,+,
2,Friday Mar 29,boxscore,ARI,,COL,W,7,3,,2-0,1,Tied,Kelly,Quantrill,,2:36,N,29480,1.00,++,
3,Saturday Mar 30,boxscore,ARI,,COL,L,4,9,,2-1,1,Tied,Lambert,Henry,,3:17,N,32133,1.06,-,
4,Sunday Mar 31,boxscore,ARI,,COL,W,5,1,,3-1,1,Tied,Pfaadt,Feltner,,2:22,D,21824,1.00,+,
5,Monday Apr 1,boxscore,ARI,,NYY,L,2,5,,3-2,2,1.0,Weaver,Nelson,González,2:59,N,38608,.97,-,
6,Tuesday Apr 2,boxscore,ARI,,NYY,W,7,0,,4-2,2,1.0,Gallen,Cortés,,2:27,N,39863,.93,+,
7,Wednesday Apr 3,boxscore,ARI,,NYY,L,5,6,11,4-3,2,2.0,Holmes,McGough,Ferguson,3:04,D,35038,.98,-,
8,Friday Apr 5,boxscore,ARI,@,ATL,L-wo,5,6,10,4-4,2,2.0,Johnson,McGough,,3:10,N,41426,.98,--,
9,Saturday Apr 6,boxscore,ARI,@,ATL,L,8,9,,4-5,2,3.0,Minter,Frías,Iglesias,2:49,N,41278,.95,---,
10,Sunday Apr 7,boxscore,ARI,@,ATL,L,2,5,,4-6,2,3.0,Sale,Nelson,Johnson,2:30,D,40693,.93,----,
11,Monday Apr 8,boxscore,ARI,@,COL,L,5,7,,4-7,3,4.0,Lambert,McGough,Bird,3:07,N,18870,.90,-----,
12,Tuesday Apr 9,boxscore,ARI,@,COL,W,3,2,,5-7,2,4.0,Kelly,Quantrill,Ginkel,2:38,N,19359,.87,+,
13,Wednesday Apr 10,boxscore,ARI,@,COL,W,5,3,,6-7,2,3.0,Mantiply,Lawrence,Ginkel,2:53,D,18311,.92,++,
14,Friday Apr 12,boxscore,ARI,,STL,L,6,9,,6-8,3,3.0,Gallegos,Mantiply,Helsley,2:44,N,29247,.94,-,
15,Saturday Apr 13,boxscore,ARI,,STL,W,4,2,,7-8,2,3.0,Nelson,Gibson,Ginkel,2:22,N,33640,.88,+,
16,Sunday Apr 14,boxscore,ARI,,STL,W,5,0,,8-8,2,2.0,Gallen,Mikolas,,2:29,D,26460,.91,++,
17,Monday Apr 15,boxscore,ARI,,CHC,L,2,3,11,8-9,3,2.0,Thompson,Jarvis,,3:16,N,24468,.95,-,
18,Tuesday Apr 16,boxscore,ARI,,CHC,W-wo,12,11,10,9-9,3,2.0,Ginkel,Smyly,,3:38,N,26426,.94,+,
19,Wednesday Apr 17,boxscore,ARI,,CHC,L,3,5,,9-10,3,2.0,Wesneski,Pfaadt,,2:26,D,26567,.96,-,
20,Thursday Apr 18,boxscore,ARI,@,SFG,L,0,5,,9-11,3,2.5,Webb,Allen,,2:12,N,26896,.94,--,
21,Friday Apr 19,boxscore,ARI,@,SFG,W,17,1,,10-11,3,1.5,Montgomery,Snell,,3:00,N,33921,.91,+,
22,Saturday Apr 20,boxscore,ARI,@,SFG,L,3,7,,10-12,3,1.5,Walker,Gallen,,2:34,D,31063,1.01,-,
23,Sunday Apr 21,boxscore,ARI,@,SFG,W,5,3,,11-12,3,1.5,Cecconi,Miller,Ginkel,2:40,D,35922,.96,+,
24,Monday Apr 22,boxscore,ARI,@,STL,L-wo,3,5,,11-13,3,2.0,Helsley,Thompson,,2:30,N,33036,.95,-,
25,Tuesday Apr 23,boxscore,ARI,@,STL,W,14,1,,12-13,3,2.0,Henry,Matz,Allen,2:37,N,32875,.88,+,
26,Wednesday Apr 24,boxscore,ARI,@,STL,L,1,5,,12-14,3,3.0,Gibson,Montgomery,,2:21,D,36390,.93,-,
27,Friday Apr 26,boxscore,ARI,@,SEA,L,1,6,,12-15,4,4.5,Hancock,Gallen,,2:09,N,33997,.82,--,
28,Saturday Apr 27,boxscore,ARI,@,SEA,L,1,3,,12-16,4,5.5,Kirby,Cecconi,Muñoz,2:16,N,38956,.77,---,
29,Sunday Apr 28,boxscore,ARI,@,SEA,W,3,2,,13-16,3,4.5,Mantiply,Thornton,Ginkel,2:26,D,33474,.71,+,
30,Monday Apr 29,boxscore,ARI,,LAD,L,4,8,,13-17,3,5.5,Paxton,Henry,,2:50,N,36985,.91,-,
31,Tuesday Apr 30,boxscore,ARI,,LAD,W-wo,4,3,10,14-17,3,4.5,McGough,Crismatt,,2:47,N,28667,.85,+,
32,Wednesday May 1,boxscore,ARI,,LAD,L,0,8,,14-18,4,5.5,Yamamoto,Montgomery,,2:49,N,34088,.94,-,
33,Friday May 3,boxscore,ARI,,SDP,L,1,7,,14-19,4,6.5,Cease,Cecconi,,2:36,N,31976,.80,--,
34,Saturday May 4,boxscore,ARI,,SDP,L,1,13,,14-20,4,7.5,King,Pfaadt,,2:50,N,39661,.76,---,
35,Sunday May 5,boxscore,ARI,,SDP,W,11,4,,15-20,3,7.5,Nelson,Waldron,,2:39,D,30968,.67,+,
36,Tuesday May 7,boxscore,ARI,@,CIN,W,6,2,,16-20,3,8.0,Gallen,Montas,,2:27,N,14485,.67,++,
37,Wednesday May 8,boxscore,ARI,@,CIN,W,4,3,,17-20,3,8.0,Montgomery,Ashcraft,Mantiply,2:42,N,15660,.74,+++,
38,Thursday May 9,boxscore,ARI,@,CIN,W,5,4,,18-20,3,7.5,Ginkel,Cruz,Sewald,2:51,D,18214,.79,++++,
39,Friday May 10,boxscore,ARI,@,BAL,L,2,4,,18-21,3,7.5,Irvin,Pfaadt,Cano,2:34,N,27703,.80,-,
40,Saturday May 11,boxscore,ARI,@,BAL,L-wo,4,5,11,18-22,3,8.5,Kimbrel,Jarvis,,3:11,D,27882,.74,--,
41,Sunday May 12,boxscore,ARI,@,BAL,W,9,2,,19-22,3,7.5,Gallen,Kremer,,2:43,D,31448,.68,+,
42,Monday May 13,boxscore,ARI,,CIN,W-wo,6,5,,20-22,3,7.5,Martinez,Díaz,,3:18,N,18017,.77,++,
43,Tuesday May 14,boxscore,ARI,,CIN,L,2,6,,20-23,3,8.5,Greene,Cecconi,,2:30,N,20068,.82,-,
44,Wednesday May 15,boxscore,ARI,,CIN,W,2,1,,21-23,2,7.5,Thompson,Cruz,Sewald,1:59,D,16826,.75,+,
45,Friday May 17,boxscore,ARI,,DET,L,0,13,,21-24,3,8.0,Skubal,Nelson,,2:17,N,25122,.81,-,
46,Saturday May 18,boxscore,ARI,,DET,L,3,8,,21-25,4,9.0,Flaherty,Gallen,,2:51,N,35826,.76,--,
47,Sunday May 19,boxscore,ARI,,DET,W,6,4,,22-25,4,9.0,Thompson,Holton,Sewald,2:37,D,26991,.68,+,
48,Monday May 20,boxscore,ARI,@,LAD,L,4,6,,22-26,4,10.0,Yamamoto,Cecconi,Hudson,2:39,N,37634,.84,-,
49,Tuesday May 21,boxscore,ARI,@,LAD,W,7,3,,23-26,3,9.0,Pfaadt,Stone,,2:30,N,46180,.77,+,
50,Wednesday May 22,boxscore,ARI,@,LAD,W,6,0,,24-26,3,8.0,Nelson,Glasnow,,2:40,N,46593,.83,++,
51,Friday May 24,boxscore,ARI,,MIA,L,0,3,,24-27,4,8.0,Garrett,Gallen,,1:58,N,22642,.78,-,
52,Saturday May 25,boxscore,ARI,,MIA,W,3,2,,25-27,4,7.0,Montgomery,Sánchez,Sewald,2:21,N,31966,.74,+,
53,Sunday May 26,boxscore,ARI,,MIA,L,1,3,,25-28,4,7.0,Weathers,Ginkel,Scott,2:37,D,25723,.80,-,
54,Tuesday May 28,boxscore,ARI,@,TEX,L,2,4,,25-29,4,8.5,Heaney,Pfaadt,Yates,2:11,N,37977,.76,--,
55,Wednesday May 29,boxscore,ARI,@,TEX,L,1,6,,25-30,4,9.5,Dunning,Nelson,,2:42,D,34023,.70,---,
56,Thursday May 30,boxscore,ARI,@,NYM,L,2,3,,25-31,4,10.0,Young,Thompson,Garrett,2:43,N,20926,.68,----,
57,Friday May 31,boxscore,ARI,@,NYM,L,9,10,,25-32,4,10.0,Severino,Montgomery,,2:51,N,33884,.59,-----,
58,Saturday Jun 1,boxscore,ARI,@,NYM,W,10,5,,26-32,4,10.0,Ginkel,Manaea,,2:53,D,30600,.57,+,
59,Sunday Jun 2,boxscore,ARI,@,NYM,W,5,4,,27-32,4,10.0,Martinez,Diekman,Sewald,2:40,D,31059,.61,++,
60,Monday Jun 3,boxscore,ARI,,SFG,W-wo,4,2,,28-32,4,9.5,Thompson,Rodríguez,,2:12,N,21551,.70,+++,
61,Tuesday Jun 4,boxscore,ARI,,SFG,W,8,5,,29-32,3,8.5,Ginkel,Harrison,Sewald,2:59,N,23548,.76,++++,
