Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,BOS,@,SEA,W,6,4,,1-0,1,Tied,Bello,Castillo,Jansen,2:45,N,45337,.93,+,
2,Friday Mar 29,boxscore,BOS,@,SEA,L,0,1,,1-1,3,1.0,Kirby,Pivetta,Muñoz,2:24,N,30013,.99,-,
3,Saturday Mar 30,boxscore,BOS,@,SEA,L-wo,3,4,10,1-2,4,2.0,Saucedo,Rodríguez,,2:46,N,32149,.94,--,
4,Sunday Mar 31,boxscore,BOS,@,SEA,W,5,1,,2-2,3,2.0,Whitlock,Miller,Slaten,2:32,D,29331,.89,+,
5,Monday Apr 1,boxscore,BOS,@,OAK,W,9,0,,3-2,3,2.0,Houck,Boyle,Anderson,2:31,N,6618,.98,++,
6,Tuesday Apr 2,boxscore,BOS,@,OAK,W,5,4,11,4-2,2,1.0,Winckowski,Spence,,3:04,N,5112,.97,+++,
7,Wednesday Apr 3,boxscore,BOS,@,OAK,W,1,0,,5-2,2,1.0,Pivetta,Stripling,Jansen,2:21,D,6436,1.02,++++,
8,Friday Apr 5,boxscore,BOS,@,LAA,W,8,6,,6-2,1,Tied,Martin,Soriano,Jansen,3:11,N,44714,1.07,+++++,
9,Saturday Apr 6,boxscore,BOS,@,LAA,L,1,2,,6-3,2,1.0,Detmers,Weissert,Estévez,2:42,N,44485,1.10,-,
10,Sunday Apr 7,boxscore,BOS,@,LAA,W,12,2,,7-3,2,1.0,Houck,Silseth,Anderson,2:56,D,38917,1.11,+,
11,Tuesday Apr 9,boxscore,BOS,,BAL,L,1,7,,7-4,2,2.5,Burnes,Bello,,2:40,D,36093,1.15,-,
12,Wednesday Apr 10,boxscore,BOS,,BAL,L,5,7,,7-5,3,2.5,Baumann,Martin,Kimbrel,2:41,N,27936,1.08,--,
13,Thursday Apr 11,boxscore,BOS,,BAL,L,4,9,10,7-6,3,3.0,Kimbrel,Campbell,,3:16,N,26230,1.09,---,
14,Friday Apr 12,boxscore,BOS,,LAA,L,0,7,,7-7,4,3.5,Detmers,Houck,,2:20,N,26106,.98,----,
15,Saturday Apr 13,boxscore,BOS,,LAA,W,7,2,,8-7,3,4.0,Weissert,Canning,,2:28,D,31878,.92,+,
16,Sunday Apr 14,boxscore,BOS,,LAA,W,5,4,,9-7,3,3.0,Bello,Anderson,Jansen,2:55,D,30792,.99,++,
17,Monday Apr 15,boxscore,BOS,,CLE,L,0,6,,9-8,3,3.0,Herrin,Bernardino,,2:45,D,33008,.96,-,
18,Tuesday Apr 16,boxscore,BOS,,CLE,L,7,10,11,9-9,5,3.0,Clase,Winckowski,Barlow,3:37,N,30133,.98,--,
19,Wednesday Apr 17,boxscore,BOS,,CLE,W,2,0,,10-9,3,3.0,Houck,Lively,,1:49,N,32024,.90,+,
20,Thursday Apr 18,boxscore,BOS,,CLE,L,4,5,,10-10,5,3.5,Carrasco,Criswell,Clase,2:39,D,35494,.97,-,
21,Friday Apr 19,boxscore,BOS,@,PIT,W,8,1,,11-10,4,3.5,Bello,Priester,,2:22,N,17959,.88,+,
22,Saturday Apr 20,boxscore,BOS,@,PIT,W,4,2,,12-10,4,2.5,Crawford,Keller,Jansen,2:48,D,26025,.91,++,
23,Sunday Apr 21,boxscore,BOS,@,PIT,W,6,1,,13-10,3,2.5,Slaten,Pérez,,2:52,D,18814,.94,+++,
24,Tuesday Apr 23,boxscore,BOS,@,CLE,L,1,4,,13-11,3,3.0,Barlow,Houck,Clase,2:18,N,13543,1.01,-,
25,Wednesday Apr 24,boxscore,BOS,@,CLE,W,8,0,,14-11,3,3.0,Criswell,Carrasco,,2:28,N,13916,.98,+,
26,Thursday Apr 25,boxscore,BOS,@,CLE,L,4,6,,14-12,3,3.0,Gaddis,Anderson,Clase,2:49,D,16082,1.07,-,
27,Friday Apr 26,boxscore,BOS,,CHC,L,1,7,,14-13,3,3.0,Imanaga,Crawford,,2:34,N,31801,.94,--,
28,Saturday Apr 27,boxscore,BOS,,CHC,W,17,0,,15-13,3,3.0,Slaten,Brown,,2:40,D,35169,.94,+,
29,Sunday Apr 28,boxscore,BOS,,CHC,W-wo,5,4,,16-13,3,3.0,Jansen,Leiter,,2:34,N,32052,.97,++,
30,Tuesday Apr 30,boxscore,BOS,,SFG,W,4,0,,17-13,3,2.5,Criswell,Webb,,2:32,N,30027,1.00,+++,
31,Wednesday May 1,boxscore,BOS,,SFG,W,6,2,,18-13,3,1.5,Crawford,Jefferies,,2:14,N,30787,1.01,++++,
32,Thursday May 2,boxscore,BOS,,SFG,L,1,3,,18-14,3,2.5,Walker,Kelly,Doval,2:21,D,30065,1.08,-,
