Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,CHC,@,TEX,L-wo,3,4,10,0-1,4,1.0,Robertson,Smyly,,3:15,N,42130,.91,-,
2,Saturday Mar 30,boxscore,CHC,@,TEX,L,2,11,,0-2,5,2.5,Bradford,Hendricks,,2:32,N,37570,.86,--,
3,Sunday Mar 31,boxscore,CHC,@,TEX,W,9,5,,1-2,4,2.5,Neris,Leclerc,,3:02,D,32078,.79,+,
4,Monday Apr 1,boxscore,CHC,,COL,W,5,0,,2-2,4,2.5,Imanaga,Hudson,,2:26,D,40072,.90,++,
5,Tuesday Apr 2,boxscore,CHC,,COL,W,12,2,,3-2,3,2.0,Assad,Freeland,,2:37,N,26555,.89,+++,
6,Wednesday Apr 3,boxscore,CHC,,COL,W,9,8,,4-2,3,1.0,Alzolay,Mears,,3:00,N,25900,.95,++++,
7,Friday Apr 5,boxscore,CHC,,LAD,W,9,7,,5-2,3,0.5,Smyly,Miller,Alzolay,2:57,D,34981,.98,+++++,
8,Saturday Apr 6,boxscore,CHC,,LAD,L,1,4,,5-3,3,1.5,Yamamoto,Wicks,,2:45,D,41040,1.02,-,
9,Sunday Apr 7,boxscore,CHC,,LAD,W,8,1,,6-3,3,1.5,Almonte,Stone,Palencia,2:32,D,38322,1.01,+,
10,Monday Apr 8,boxscore,CHC,@,SDP,L,8,9,,6-4,3,2.5,Peralta,Alzolay,Suarez,2:56,N,33864,1.04,-,
11,Tuesday Apr 9,boxscore,CHC,@,SDP,W,5,1,,7-4,3,1.5,Smyly,Musgrove,,2:51,N,35171,.98,+,
12,Wednesday Apr 10,boxscore,CHC,@,SDP,L,2,10,,7-5,3,2.0,Cease,Hendricks,,2:30,D,39048,1.05,-,
13,Friday Apr 12,boxscore,CHC,@,SEA,L,2,4,,7-6,3,2.5,Miller,Wicks,Stanek,2:35,N,33500,.97,--,
14,Saturday Apr 13,boxscore,CHC,@,SEA,W,4,1,,8-6,3,2.5,Imanaga,Hancock,Alzolay,2:24,N,38104,.91,+,
15,Sunday Apr 14,boxscore,CHC,@,SEA,W,3,2,,9-6,3,1.5,Assad,Castillo,Alzolay,2:35,D,32423,.95,++,
16,Monday Apr 15,boxscore,CHC,@,ARI,W,3,2,11,10-6,3,0.5,Thompson,Jarvis,,3:16,N,24468,1.01,+++,
17,Tuesday Apr 16,boxscore,CHC,@,ARI,L-wo,11,12,10,10-7,3,0.5,Ginkel,Smyly,,3:38,N,26426,1.08,-,
18,Wednesday Apr 17,boxscore,CHC,@,ARI,W,5,3,,11-7,2,0.5,Wesneski,Pfaadt,,2:26,D,26567,1.04,+,
19,Friday Apr 19,boxscore,CHC,,MIA,W,8,3,,12-7,2,0.5,Taillon,Puk,,2:25,D,29595,1.07,++,
20,Saturday Apr 20 (1),boxscore,CHC,,MIA,L,2,3,,12-8,2,1.0,Faucher,Alzolay,Scott,2:38,D,36379,1.10,-,
21,Saturday Apr 20 (2),boxscore,CHC,,MIA,W,5,3,,13-8,2,1.0,Imanaga,Bender,Neris,2:22,N,32386,1.08,+,
22,Sunday Apr 21,boxscore,CHC,,MIA,L,3,6,,13-9,2,2.0,Cabrera,Hendricks,Scott,2:34,D,36067,1.10,-,
23,Tuesday Apr 23,boxscore,CHC,,HOU,W,7,2,,14-9,2,0.5,Wicks,France,Almonte,2:37,N,30643,1.04,+,
24,Wednesday Apr 24,boxscore,CHC,,HOU,W,4,3,,15-9,2,0.5,Taillon,Arrighetti,Neris,2:45,N,32327,1.09,++,
25,Thursday Apr 25,boxscore,CHC,,HOU,W,3,1,,16-9,2,0.5,Wesneski,Montero,Neris,2:43,D,29876,1.06,+++,
26,Friday Apr 26,boxscore,CHC,@,BOS,W,7,1,,17-9,2,0.5,Imanaga,Crawford,,2:34,N,31801,1.13,++++,
27,Saturday Apr 27,boxscore,CHC,@,BOS,L,0,17,,17-10,2,0.5,Slaten,Brown,,2:40,D,35169,1.11,-,
28,Sunday Apr 28,boxscore,CHC,@,BOS,L-wo,4,5,,17-11,2,0.5,Jansen,Leiter,,2:34,N,32052,1.10,--,
29,Monday Apr 29,boxscore,CHC,@,NYM,W,3,1,,18-11,1,up 0.5,Leiter,Díaz,Neris,2:05,N,25046,1.17,+,
30,Tuesday Apr 30,boxscore,CHC,@,NYM,L,2,4,,18-12,2,0.5,Reid-Foley,Alzolay,López,2:31,N,22880,1.22,-,
31,Wednesday May 1,boxscore,CHC,@,NYM,W,1,0,,19-12,2,0.5,Imanaga,Buttó,Neris,2:37,N,22485,1.22,+,
32,Thursday May 2,boxscore,CHC,@,NYM,L-wo,6,7,11,19-13,2,1.0,Young,Palencia,,3:17,D,22224,1.23,-,
33,Friday May 3,boxscore,CHC,,MIL,L,1,3,,19-14,2,2.0,Peguero,Alzolay,Megill,2:37,D,33557,1.32,--,
34,Saturday May 4,boxscore,CHC,,MIL,W,6,5,,20-14,2,1.0,Taillon,Myers,Neris,2:30,D,40505,1.34,+,
35,Sunday May 5,boxscore,CHC,,MIL,W,5,0,,21-14,1,Tied,Assad,Peralta,,2:23,D,39299,1.30,++,
36,Monday May 6,boxscore,CHC,,SDP,L,3,6,,21-15,1,Tied,Darvish,Lovelady,Suarez,3:01,N,35560,1.25,-,
37,Tuesday May 7,boxscore,CHC,,SDP,W-wo,3,2,,22-15,1,Tied,Neris,De Los Santos,,2:31,N,38133,1.24,+,
38,Wednesday May 8,boxscore,CHC,,SDP,L,0,3,,22-16,1,Tied,Cease,Wesneski,Suarez,2:29,D,30138,1.22,-,
39,Friday May 10,boxscore,CHC,@,PIT,W,7,2,,23-16,2,0.5,Brown,Jones,,2:37,N,16454,1.23,+,
40,Saturday May 11,boxscore,CHC,@,PIT,L,9,10,,23-17,2,1.5,Holderman,Thompson,Bednar,2:56,D,34924,1.26,-,
41,Sunday May 12,boxscore,CHC,@,PIT,W,5,4,10,24-17,2,0.5,Neris,Chapman,Alzolay,3:19,D,18554,1.24,+,
42,Monday May 13,boxscore,CHC,@,ATL,L,0,2,,24-18,2,0.5,Kerr,Wesneski,Minter,2:31,N,34582,1.23,-,
43,Tuesday May 14,boxscore,CHC,@,ATL,L,0,7,,24-19,2,1.5,Sale,Taillon,,2:12,N,37357,1.23,--,
44,Wednesday May 15,boxscore,CHC,@,ATL,W,7,1,,25-19,2,1.5,Assad,Morton,,2:30,N,36623,1.24,+,
45,Thursday May 16,boxscore,CHC,,PIT,L,4,5,,25-20,2,2.0,Jones,Steele,Bednar,2:27,N,36202,1.21,-,
46,Friday May 17,boxscore,CHC,,PIT,L,3,9,,25-21,2,2.0,Skenes,Hendricks,,2:57,D,35372,1.22,--,
47,Saturday May 18,boxscore,CHC,,PIT,W-wo,1,0,,26-21,2,2.0,Neris,Bednar,,2:10,D,39857,1.23,+,
48,Sunday May 19,boxscore,CHC,,PIT,L,2,3,,26-22,2,2.0,Keller,Taillon,Bednar,2:45,D,39008,1.20,-,
49,Tuesday May 21,boxscore,CHC,,ATL,W-wo,4,3,10,27-22,2,1.5,Little,Bummer,,3:14,N,36121,1.15,+,
50,Wednesday May 22,boxscore,CHC,,ATL,L,2,9,,27-23,2,1.5,Fried,Steele,,2:08,N,37584,1.24,-,
51,Thursday May 23,boxscore,CHC,,ATL,L,0,3,,27-24,2,2.0,Lee,Wesneski,Iglesias,2:34,D,35646,1.18,--,
52,Saturday May 25,boxscore,CHC,@,STL,L,6,7,,27-25,2,3.5,Romero,Leiter,Helsley,2:53,N,45071,1.14,---,
53,Sunday May 26,boxscore,CHC,@,STL,L,3,4,,27-26,2,3.5,Gray,Assad,Helsley,2:36,N,40892,1.13,----,
54,Monday May 27,boxscore,CHC,@,MIL,L,1,5,,27-27,2,4.5,Hudson,Leiter,,2:17,D,41882,1.18,-----,
55,Tuesday May 28,boxscore,CHC,@,MIL,W,6,3,10,28-27,2,3.5,Neris,Megill,,3:09,N,24076,1.11,+,
56,Wednesday May 29,boxscore,CHC,@,MIL,L,6,10,,28-28,2,4.5,Koenig,Imanaga,,2:32,N,26695,1.17,-,
57,Thursday May 30,boxscore,CHC,@,MIL,L,4,6,,28-29,3,5.5,Hudson,Little,Peguero,2:33,D,33219,1.12,--,
58,Friday May 31,boxscore,CHC,,CIN,L,4,5,,28-30,3,6.5,Cruz,Smyly,Díaz,3:05,D,36281,.89,---,
59,Saturday Jun 1,boxscore,CHC,,CIN,W,7,5,,29-30,2,6.5,Leiter,Sims,Neris,2:46,N,36430,.87,+,
60,Sunday Jun 2,boxscore,CHC,,CIN,L,2,5,,29-31,3,7.5,Lodolo,Brown,Díaz,2:24,D,38129,.90,-,
61,Tuesday Jun 4,boxscore,CHC,,CHW,W,7,6,,30-31,2,6.0,Little,Leasure,Neris,2:28,N,38397,.82,+,
62,Wednesday Jun 5,boxscore,CHC,,CHW,W-wo,7,6,,31-31,2,5.0,Neris,Kopech,,2:55,N,40073,.87,++,
63,Thursday Jun 6,boxscore,CHC,@,CIN,L,4,8,,31-32,2,5.5,Greene,Assad,,2:33,N,25601,.97,-,
64,Friday Jun 7,boxscore,CHC,@,CIN,L,2,3,,31-33,2,6.5,Lodolo,Steele,Díaz,2:10,N,37501,.96,--,
65,Saturday Jun 8,boxscore,CHC,@,CIN,L,3,4,,31-34,4,7.5,Abbott,Brown,Wilson,2:32,D,40274,.86,---,
66,Sunday Jun 9,boxscore,CHC,@,CIN,W,4,2,,32-34,2,6.5,Imanaga,Montas,Neris,2:49,D,32737,.78,+,
67,Tuesday Jun 11,boxscore,CHC,@,TBR,L-wo,2,5,,32-35,3,7.0,Devenski,Neris,,2:38,N,15192,.81,-,
68,Wednesday Jun 12,boxscore,CHC,@,TBR,W,4,3,,33-35,2,7.0,Miller,Cleavinger,Neris,2:41,N,16927,.76,+,
69,Thursday Jun 13,boxscore,CHC,@,TBR,L,2,3,,33-36,4,7.5,Bradley,Leiter,Fairbanks,2:17,N,19679,.81,-,
70,Friday Jun 14,boxscore,CHC,,STL,L,0,3,,33-37,5,7.5,Gibson,Wesneski,Helsley,2:28,D,40160,.84,--,
71,Saturday Jun 15,boxscore,CHC,,STL,W,5,1,,34-37,4,7.5,Imanaga,Pallante,,2:30,D,40088,.73,+,
72,Sunday Jun 16,boxscore,CHC,,STL,L,1,2,,34-38,5,8.5,Mikolas,Taillon,Helsley,2:48,D,39118,.84,-,
73,Monday Jun 17,boxscore,CHC,,SFG,L,6,7,,34-39,5,8.5,Miller,Neris,Doval,3:06,N,36048,.69,--,
74,Tuesday Jun 18,boxscore,CHC,,SFG,W,5,2,,35-39,5,8.5,Miller,Rogers,Thompson,2:10,N,36297,.63,+,
75,Wednesday Jun 19,boxscore,CHC,,SFG,W,6,5,,36-39,4,8.5,Hendricks,Bivens,Brewer,2:45,D,37673,.68,++,
76,Friday Jun 21,boxscore,CHC,,NYM,L,1,11,,36-40,5,8.0,Quintana,Imanaga,,3:03,D,37037,.71,-,
77,Saturday Jun 22,boxscore,CHC,,NYM,W,8,1,,37-40,4,7.0,Taillon,Megill,,2:30,D,39319,.66,+,
78,Sunday Jun 23,boxscore,CHC,,NYM,L,2,5,,37-41,4,8.0,Severino,Assad,Diekman,3:10,N,39417,.71,-,
79,Monday Jun 24,boxscore,CHC,@,SFG,L-wo,4,5,,37-42,5,9.0,Howard,Smyly,,2:42,N,30701,.63,--,
80,Tuesday Jun 25,boxscore,CHC,@,SFG,L,1,5,,37-43,5,10.0,Rogers,Hendricks,,2:26,N,30368,.58,---,
81,Wednesday Jun 26,boxscore,CHC,@,SFG,L,3,4,,37-44,5,11.0,Jackson,Smyly,Doval,2:25,N,30893,.49,----,
82,Thursday Jun 27,boxscore,CHC,@,SFG,W,5,3,10,38-44,5,10.5,Neris,Jackson,Hodge,2:51,D,31535,.41,+,
83,Friday Jun 28,boxscore,CHC,@,MIL,L,2,4,,38-45,5,11.5,Rea,Taillon,Megill,2:24,N,39298,.47,-,
84,Saturday Jun 29,boxscore,CHC,@,MIL,W,5,3,,39-45,5,10.5,Little,Payamps,Neris,2:33,D,42238,.41,+,
85,Sunday Jun 30,boxscore,CHC,@,MIL,L,1,7,,39-46,5,11.5,Peralta,Hendricks,,2:21,D,42658,.41,-,
86,Tuesday Jul 2,boxscore,CHC,,PHI,L,4,6,,39-47,5,12.0,Mercado,Wesneski,Hoffman,2:27,N,38670,.37,--,
87,Wednesday Jul 3,boxscore,CHC,,PHI,L,3,5,,39-48,5,13.0,Strahm,Miller,Alvarado,2:43,N,36692,.32,---,
88,Thursday Jul 4,boxscore,CHC,,PHI,W,10,2,,40-48,5,12.0,Taillon,Sánchez,,2:23,D,40143,.26,+,
89,Friday Jul 5,boxscore,CHC,,LAA,W,5,1,,41-48,5,11.0,Steele,Canning,,2:07,D,36948,.27,++,
90,Saturday Jul 6,boxscore,CHC,,LAA,L,0,7,,41-49,5,11.0,Anderson,Hendricks,,2:29,D,36420,.34,-,
91,Sunday Jul 7,boxscore,CHC,,LAA,W,5,0,,42-49,5,11.0,Wesneski,Soriano,Neris,2:18,D,34355,.30,+,
92,Tuesday Jul 9,boxscore,CHC,@,BAL,W,9,2,,43-49,5,10.0,Taillon,Kremer,,2:39,N,30373,.34,++,
93,Wednesday Jul 10,boxscore,CHC,@,BAL,W,4,0,,44-49,4,10.0,Imanaga,Burnes,,2:45,N,20694,.39,+++,
94,Thursday Jul 11,boxscore,CHC,@,BAL,W,8,0,,45-49,4,9.0,Steele,Suárez,,2:13,N,22685,.48,++++,
95,Friday Jul 12,boxscore,CHC,@,STL,W,5,1,,46-49,4,8.0,Hendricks,Gray,Neris,2:56,N,40667,.65,+++++,
96,Saturday Jul 13 (1),boxscore,CHC,@,STL,L,3,11,,46-50,5,8.5,Lynn,Wesneski,,2:27,D,39129,.72,-,
97,Saturday Jul 13 (2),boxscore,CHC,@,STL,L,4,5,,46-51,5,8.5,Romero,Hodge,Helsley,2:41,N,43827,.62,--,
