Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,CLE,@,OAK,W,8,0,,1-0,1,Tied,Bieber,Wood,,2:22,N,13522,.96,+,
2,Friday Mar 29,boxscore,CLE,@,OAK,W,6,4,,2-0,1,up 0.5,Allen,Stripling,Clase,2:39,N,3837,1.00,++,
3,Saturday Mar 30,boxscore,CLE,@,OAK,W,12,3,,3-0,1,up 0.5,Sandlin,Sears,,3:01,D,5425,1.04,+++,
4,Sunday Mar 31,boxscore,CLE,@,OAK,L-wo,3,4,,3-1,2,0.5,Jiménez,Barlow,,2:30,D,4118,1.05,-,
5,Monday Apr 1,boxscore,CLE,@,SEA,L,4,5,,3-2,2,1.5,Hancock,McKenzie,Stanek,2:35,N,21322,1.03,--,
6,Tuesday Apr 2,boxscore,CLE,@,SEA,W,5,2,,4-2,2,1.0,Bieber,Castillo,Clase,2:27,N,20646,1.02,+,
7,Wednesday Apr 3,boxscore,CLE,@,SEA,W,8,0,,5-2,2,0.5,Allen,Kirby,,2:22,D,22583,1.02,++,
8,Thursday Apr 4,boxscore,CLE,@,MIN,W,4,2,,6-2,1,Tied,Bibee,López,Clase,2:57,D,35595,1.12,+++,
9,Saturday Apr 6,boxscore,CLE,@,MIN,W,3,1,,7-2,1,up 0.5,Sandlin,Ryan,Clase,2:51,D,25806,1.16,++++,
10,Monday Apr 8,boxscore,CLE,,CHW,W,4,0,,8-2,1,up 2.0,McKenzie,Banks,,2:35,N,35735,1.11,+++++,
11,Tuesday Apr 9,boxscore,CLE,,CHW,L,5,7,,8-3,1,up 1.0,Wilson,Barlow,Kopech,2:45,N,14887,1.16,-,
12,Wednesday Apr 10,boxscore,CLE,,CHW,W-wo,7,6,10,9-3,1,up 1.0,Morgan,Shaw,,2:57,N,12405,1.16,+,
13,Saturday Apr 13 (1),boxscore,CLE,,NYY,L,2,3,,9-4,2,0.5,Schmidt,Carrasco,Holmes,2:57,D,17089,1.14,-,
14,Saturday Apr 13 (2),boxscore,CLE,,NYY,L,2,8,,9-5,2,0.5,Poteet,McKenzie,,2:28,N,31066,1.15,--,
15,Sunday Apr 14,boxscore,CLE,,NYY,W-wo,8,7,10,10-5,1,up 0.5,Beede,Ferguson,,3:08,D,28119,1.16,+,
16,Monday Apr 15,boxscore,CLE,@,BOS,W,6,0,,11-5,1,up 0.5,Herrin,Bernardino,,2:45,D,33008,1.18,++,
17,Tuesday Apr 16,boxscore,CLE,@,BOS,W,10,7,11,12-5,1,up 1.0,Clase,Winckowski,Barlow,3:37,N,30133,1.19,+++,
18,Wednesday Apr 17,boxscore,CLE,@,BOS,L,0,2,,12-6,1,up 0.5,Houck,Lively,,1:49,N,32024,1.18,-,
19,Thursday Apr 18,boxscore,CLE,@,BOS,W,5,4,,13-6,1,up 1.0,Carrasco,Criswell,Clase,2:39,D,35494,1.16,+,
20,Friday Apr 19,boxscore,CLE,,OAK,W,10,2,,14-6,1,up 1.0,McKenzie,Boyle,,2:15,N,16262,1.19,++,
21,Saturday Apr 20,boxscore,CLE,,OAK,W,6,3,,15-6,1,up 2.0,Allen,Wood,Clase,2:36,N,19487,1.17,+++,
22,Sunday Apr 21,boxscore,CLE,,OAK,W,6,2,,16-6,1,up 3.0,Bibee,Stripling,,2:39,D,16905,1.20,++++,
23,Tuesday Apr 23,boxscore,CLE,,BOS,W,4,1,,17-6,1,up 3.5,Barlow,Houck,Clase,2:18,N,13543,1.21,+++++,
24,Wednesday Apr 24,boxscore,CLE,,BOS,L,0,8,,17-7,1,up 2.5,Criswell,Carrasco,,2:28,N,13916,1.17,-,
25,Thursday Apr 25,boxscore,CLE,,BOS,W,6,4,,18-7,1,up 2.5,Gaddis,Anderson,Clase,2:49,D,16082,1.22,+,
26,Friday Apr 26,boxscore,CLE,@,ATL,L,2,6,,18-8,1,up 1.5,Sale,Allen,,2:35,N,40210,1.19,-,
