Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 7,boxscore,LAA,,HOU,L,1,3,,0-1,5,1.0,Valdez,Ohtani,Pressly,3:15,N,44723,.95,-,
2,Friday Apr 8,boxscore,LAA,,HOU,L,6,13,,0-2,5,2.0,Montero,Ortega,,3:44,N,42719,.96,--,
3,Saturday Apr 9,boxscore,LAA,,HOU,W,2,0,,1-2,3,1.5,Syndergaard,Verlander,Iglesias,3:02,N,36139,.90,+,
4,Sunday Apr 10,boxscore,LAA,,HOU,L,1,4,,1-3,5,2.0,Urquidy,Suarez,Pressly,3:15,D,41253,.93,-,
5,Monday Apr 11,boxscore,LAA,,MIA,W,6,2,,2-3,4,1.5,Lorenzen,Hernández,,2:42,N,20480,.79,+,
6,Tuesday Apr 12,boxscore,LAA,,MIA,W-wo,4,3,,3-3,2,1.5,Iglesias,Bender,,2:59,D,16132,.81,++,
7,Thursday Apr 14,boxscore,LAA,@,TEX,L,5,10,,3-4,3,1.5,King,Ohtani,,3:30,N,21440,.97,-,
8,Friday Apr 15,boxscore,LAA,@,TEX,W,9,6,,4-4,2,0.5,Warren,Allard,Iglesias,3:32,N,28723,.94,+,
9,Saturday Apr 16,boxscore,LAA,@,TEX,W,7,2,,5-4,2,0.5,Syndergaard,Hearn,,3:10,N,34493,1.00,++,
10,Sunday Apr 17,boxscore,LAA,@,TEX,W,8,3,,6-4,1,up 0.5,Mayers,Pérez,,3:25,D,22650,1.01,+++,
11,Monday Apr 18,boxscore,LAA,@,HOU,L,3,8,,6-5,2,0.5,Garcia,Lorenzen,,3:22,N,42646,1.09,-,
12,Tuesday Apr 19,boxscore,LAA,@,HOU,W,7,2,,7-5,1,Tied,Ortega,Valdez,,3:36,N,30212,1.10,+,
13,Wednesday Apr 20,boxscore,LAA,@,HOU,W,6,0,,8-5,1,up 0.5,Ohtani,Odorizzi,,3:08,N,29049,1.10,++,
14,Friday Apr 22,boxscore,LAA,,BAL,L,3,5,,8-6,1,Tied,Zimmermann,Detmers,López,2:55,N,31679,1.08,-,
15,Saturday Apr 23,boxscore,LAA,,BAL,L,4,5,,8-7,2,1.0,Baker,Loup,López,3:11,N,43883,1.07,--,
16,Sunday Apr 24,boxscore,LAA,,BAL,W,7,6,,9-7,2,1.0,Herget,Baumann,Bradley,3:42,D,41984,1.01,+,
17,Monday Apr 25,boxscore,LAA,,CLE,W,3,0,,10-7,2,0.5,Lorenzen,Bieber,Iglesias,2:22,N,23099,1.05,++,
