Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,OAK,,CLE,L,0,8,,0-1,2,1.0,Bieber,Wood,,2:22,N,13522,.99,-,
2,Friday Mar 29,boxscore,OAK,,CLE,L,4,6,,0-2,4,1.5,Allen,Stripling,Clase,2:39,N,3837,.95,--,
3,Saturday Mar 30,boxscore,OAK,,CLE,L,3,12,,0-3,4,2.5,Sandlin,Sears,,3:01,D,5425,.87,---,
4,Sunday Mar 31,boxscore,OAK,,CLE,W-wo,4,3,,1-3,4,1.5,Jiménez,Barlow,,2:30,D,4118,.82,+,
5,Monday Apr 1,boxscore,OAK,,BOS,L,0,9,,1-4,4,2.5,Houck,Boyle,Anderson,2:31,N,6618,.87,-,
6,Tuesday Apr 2,boxscore,OAK,,BOS,L,4,5,11,1-5,4,2.5,Winckowski,Spence,,3:04,N,5112,.78,--,
7,Wednesday Apr 3,boxscore,OAK,,BOS,L,0,1,,1-6,5,3.5,Pivetta,Stripling,Jansen,2:21,D,6436,.75,---,
8,Friday Apr 5,boxscore,OAK,@,DET,L,4,5,,1-7,5,4.5,Foley,Erceg,Lange,2:33,D,44711,.69,----,
9,Saturday Apr 6,boxscore,OAK,@,DET,W,4,0,,2-7,4,4.5,Blackburn,Maeda,,2:31,D,27529,.65,+,
10,Sunday Apr 7,boxscore,OAK,@,DET,W,7,1,,3-7,4,3.5,Boyle,Flaherty,,2:34,D,15174,.70,++,
11,Tuesday Apr 9,boxscore,OAK,@,TEX,W,4,3,,4-7,3,2.0,Kelly,Leclerc,Miller,2:23,N,18714,.82,+++,
12,Wednesday Apr 10,boxscore,OAK,@,TEX,L,2,6,,4-8,4,3.0,Bradford,Stripling,,2:22,N,30488,.86,-,
13,Thursday Apr 11,boxscore,OAK,@,TEX,W,1,0,,5-8,3,2.0,Sears,Gray,Miller,2:18,D,19726,.83,+,
14,Friday Apr 12,boxscore,OAK,,WSN,W-wo,2,1,10,6-8,3,2.0,Kelly,Finnegan,,2:36,N,5777,.74,++,
15,Saturday Apr 13,boxscore,OAK,,WSN,L,1,3,,6-9,3,2.0,Gore,Boyle,Finnegan,2:35,D,3330,.81,-,
16,Sunday Apr 14,boxscore,OAK,,WSN,W,7,6,,7-9,3,1.0,Spence,Law,Miller,2:45,D,8637,.78,+,
17,Monday Apr 15,boxscore,OAK,,STL,L,1,3,,7-10,3,2.0,Gray,Stripling,Helsley,2:19,N,5508,.80,-,
18,Tuesday Apr 16,boxscore,OAK,,STL,L,2,3,,7-11,4,2.0,Lynn,Jiménez,Helsley,2:29,N,3296,.77,--,
19,Wednesday Apr 17,boxscore,OAK,,STL,W,6,3,,8-11,4,2.0,Blackburn,Matz,Miller,2:30,D,9551,.73,+,
20,Friday Apr 19,boxscore,OAK,@,CLE,L,2,10,,8-12,4,2.5,McKenzie,Boyle,,2:15,N,16262,.83,-,
21,Saturday Apr 20,boxscore,OAK,@,CLE,L,3,6,,8-13,4,2.5,Allen,Wood,Clase,2:36,N,19487,.80,--,
22,Sunday Apr 21,boxscore,OAK,@,CLE,L,2,6,,8-14,4,3.5,Bibee,Stripling,,2:39,D,16905,.75,---,
23,Monday Apr 22,boxscore,OAK,@,NYY,W,2,0,,9-14,3,3.0,Erceg,González,Miller,2:32,D,30366,.67,+,
