Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Mar 29,boxscore,PHI,,ATL,L,3,9,,0-1,2,1.0,Johnson,Alvarado,,2:54,D,44452,1.02,-,
2,Saturday Mar 30,boxscore,PHI,,ATL,L,4,12,,0-2,3,2.0,Chavez,Nola,,2:58,D,44468,.96,--,
3,Sunday Mar 31,boxscore,PHI,,ATL,W,5,4,,1-2,2,1.0,Strahm,Bummer,Alvarado,2:39,D,42515,.91,+,
4,Monday Apr 1,boxscore,PHI,,CIN,L,3,6,10,1-3,2,2.0,Díaz,Brogdon,,3:04,N,33754,.90,-,
5,Tuesday Apr 2,boxscore,PHI,,CIN,W,9,4,,2-3,2,1.0,Turnbull,Ashcraft,Pinto,2:44,N,28119,.89,+,
6,Wednesday Apr 3,boxscore,PHI,,CIN,L,1,4,,2-4,3,1.5,Montas,Wheeler,Díaz,2:34,D,28077,.88,-,
7,Friday Apr 5,boxscore,PHI,@,WSN,W,4,0,,3-4,2,1.5,Nola,Corbin,,2:51,N,21374,.94,+,
8,Saturday Apr 6,boxscore,PHI,@,WSN,W,5,2,,4-4,2,1.5,Suárez,Irvin,Alvarado,2:28,D,29718,1.00,++,
9,Sunday Apr 7,boxscore,PHI,@,WSN,L,2,3,,4-5,2,2.5,Gore,Sánchez,Finnegan,2:31,D,24765,1.07,-,
10,Monday Apr 8,boxscore,PHI,@,STL,W,5,3,10,5-5,2,1.5,Hoffman,Helsley,Soto,2:50,N,32621,.92,+,
11,Tuesday Apr 9,boxscore,PHI,@,STL,L,0,3,,5-6,2,2.5,Gray,Wheeler,Helsley,2:39,N,31972,1.00,-,
12,Wednesday Apr 10,boxscore,PHI,@,STL,W,4,3,,6-6,2,2.0,Nola,Pallante,Hoffman,3:10,D,33104,.95,+,
13,Thursday Apr 11,boxscore,PHI,,PIT,W,5,1,,7-6,2,1.0,Suárez,Jones,,2:15,N,33362,.97,++,
14,Friday Apr 12,boxscore,PHI,,PIT,L,2,5,,7-7,2,2.0,Falter,Sánchez,Bednar,2:48,N,35578,1.04,-,
15,Saturday Apr 13,boxscore,PHI,,PIT,W-wo,4,3,,8-7,2,1.0,Hoffman,Hernandez,,2:57,D,40519,1.00,+,
16,Sunday Apr 14,boxscore,PHI,,PIT,L,2,9,,8-8,2,2.0,Keller,Wheeler,,2:33,D,44568,1.03,-,
17,Monday Apr 15,boxscore,PHI,,COL,W-wo,2,1,10,9-8,2,2.0,Domínguez,Bird,,2:40,N,35496,.96,+,
18,Tuesday Apr 16,boxscore,PHI,,COL,W,5,0,,10-8,2,2.0,Suárez,Gomber,,2:07,N,35010,.98,++,
19,Wednesday Apr 17,boxscore,PHI,,COL,W,7,6,,11-8,2,2.0,Sánchez,Feltner,Alvarado,2:51,N,35706,.98,+++,
20,Friday Apr 19,boxscore,PHI,,CHW,W,7,0,,12-8,2,2.0,Turnbull,Crochet,,2:18,N,39069,1.03,++++,
21,Saturday Apr 20,boxscore,PHI,,CHW,W,9,5,,13-8,2,2.0,Wheeler,Soroka,Alvarado,3:03,N,44546,1.01,+++++,
22,Sunday Apr 21,boxscore,PHI,,CHW,W,8,2,,14-8,2,1.0,Nola,Nastrini,,2:37,D,43614,1.04,++++++,
23,Monday Apr 22,boxscore,PHI,@,CIN,W,7,0,,15-8,2,1.0,Suárez,Greene,,2:02,N,11263,1.14,+++++++,
24,Tuesday Apr 23,boxscore,PHI,@,CIN,L,1,8,,15-9,2,2.0,Cruz,Sánchez,,2:35,N,13653,1.15,-,
25,Wednesday Apr 24,boxscore,PHI,@,CIN,L,4,7,,15-10,2,3.0,Wilson,Domínguez,Díaz,3:04,N,14515,1.14,--,
26,Thursday Apr 25,boxscore,PHI,@,CIN,W,5,0,,16-10,2,2.5,Wheeler,Martinez,,2:35,D,17557,1.12,+,
27,Friday Apr 26,boxscore,PHI,@,SDP,W,9,3,,17-10,2,2.5,Nola,Musgrove,,2:42,N,40763,1.13,++,
28,Saturday Apr 27,boxscore,PHI,@,SDP,W,5,1,,18-10,2,1.5,Suárez,Cease,,2:09,N,43018,1.15,+++,
29,Sunday Apr 28,boxscore,PHI,@,SDP,W,8,6,,19-10,2,1.5,Walker,King,Alvarado,2:36,D,42037,1.14,++++,
30,Monday Apr 29,boxscore,PHI,@,LAA,L,5,6,,19-11,2,1.5,Cimber,Domínguez,Estévez,2:43,N,25449,1.15,-,
31,Tuesday Apr 30,boxscore,PHI,@,LAA,W,7,5,,20-11,2,0.5,Alvarado,Estévez,Hoffman,2:48,N,23949,1.12,+,
