Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Apr 8,boxscore,SFG,,MIA,W-wo,6,5,10,1-0,1,Tied,Álvarez,Bass,,3:26,D,40853,.92,+,
2,Saturday Apr 9,boxscore,SFG,,MIA,L,1,2,,1-1,2,0.5,Okert,McGee,Bender,2:57,D,38885,.96,-,
3,Sunday Apr 10,boxscore,SFG,,MIA,W,3,2,,2-1,2,0.5,García,Rogers,Leone,2:43,D,37332,.94,+,
4,Monday Apr 11,boxscore,SFG,,SDP,L,2,4,,2-2,3,1.5,Wilson,Rogers,Rogers,3:30,N,23279,1.02,-,
5,Tuesday Apr 12,boxscore,SFG,,SDP,W,13,2,,3-2,3,1.0,Cobb,Darvish,,3:13,N,25560,.94,+,
6,Wednesday Apr 13,boxscore,SFG,,SDP,W,2,1,,4-2,2,0.5,Webb,Manaea,Doval,2:11,D,27197,1.04,++,
7,Friday Apr 15,boxscore,SFG,@,CLE,W,4,1,,5-2,1,Tied,Rodón,Plesac,Doval,2:56,N,33469,.97,+++,
8,Saturday Apr 16,boxscore,SFG,@,CLE,W,4,2,,6-2,1,Tied,Leone,Sandlin,McGee,3:19,N,13187,1.01,++++,
9,Sunday Apr 17,boxscore,SFG,@,CLE,W,8,1,,7-2,1,Tied,Wood,Civale,,2:57,D,9620,1.02,+++++,
10,Tuesday Apr 19 (1),boxscore,SFG,@,NYM,L-wo,4,5,10,7-3,3,1.0,Ottavino,García,,3:33,D,,1.06,-,2022-04-18 (Rain)
11,Tuesday Apr 19 (2),boxscore,SFG,@,NYM,L,1,3,,7-4,3,1.0,Scherzer,Webb,May,2:41,D,27490,1.05,--,
12,Wednesday Apr 20,boxscore,SFG,@,NYM,W,5,2,,8-4,2,1.0,Rodón,Bassitt,McGee,3:20,N,30050,1.05,+,
13,Thursday Apr 21,boxscore,SFG,@,NYM,L,2,6,,8-5,4,1.5,Carrasco,DeSclafani,,2:35,D,28760,1.10,-,
14,Friday Apr 22,boxscore,SFG,@,WSN,W,7,1,,9-5,2,1.5,Junis,Corbin,,2:53,N,23751,1.02,+,
15,Saturday Apr 23,boxscore,SFG,@,WSN,W,5,2,,10-5,2,0.5,Wood,Sanchez,Doval,2:48,D,27799,1.07,++,
16,Sunday Apr 24,boxscore,SFG,@,WSN,W,12,3,,11-5,2,0.5,Webb,Adon,,3:19,D,26003,1.08,+++,
17,Monday Apr 25,boxscore,SFG,@,MIL,W,4,2,,12-5,2,0.5,McGee,Cousins,Doval,3:01,N,21186,1.09,++++,
18,Tuesday Apr 26,boxscore,SFG,,OAK,W,8,2,,13-5,1,up 0.5,Rodón,Jefferies,,3:01,N,32898,1.05,+++++,
19,Wednesday Apr 27,boxscore,SFG,,OAK,L,0,1,,13-6,1,up 0.5,Blackburn,Long,Jiménez,3:00,N,32014,1.08,-,
20,Friday Apr 29,boxscore,SFG,,WSN,L,4,14,,13-7,3,0.5,Sanchez,Wood,,3:46,N,38256,1.12,--,
21,Saturday Apr 30,boxscore,SFG,,WSN,W,9,3,,14-7,1,up 0.5,Webb,Adon,,3:20,D,33241,1.06,+,
22,Sunday May 1,boxscore,SFG,,WSN,L,5,11,,14-8,3,0.5,Gray,Cobb,,3:37,D,38451,1.13,-,
23,Tuesday May 3,boxscore,SFG,@,LAD,L,1,3,,14-9,3,1.5,Urías,Rodón,Kimbrel,3:05,N,43370,1.22,--,
24,Wednesday May 4,boxscore,SFG,@,LAD,L,1,9,,14-10,3,2.5,Gonsolin,Wood,,3:00,N,52203,1.20,---,
25,Thursday May 5,boxscore,SFG,,STL,L,1,7,,14-11,4,3.0,Mikolas,Littell,,3:01,N,22562,1.05,----,
26,Friday May 6,boxscore,SFG,,STL,L,2,3,,14-12,4,3.5,Helsley,Doval,Gallegos,2:52,N,28898,1.01,-----,
27,Saturday May 7,boxscore,SFG,,STL,W,13,7,,15-12,4,4.0,Webb,Matz,,3:22,D,40113,.95,+,
28,Sunday May 8,boxscore,SFG,,STL,W,4,3,,16-12,3,4.0,Leone,Cabrera,Doval,3:08,D,38193,.99,++,
29,Monday May 9,boxscore,SFG,,COL,W,8,5,,17-12,3,3.0,Rodón,Gomber,,3:15,N,20039,1.07,+++,
30,Tuesday May 10,boxscore,SFG,,COL,W,9,2,,18-12,3,3.0,Wood,Senzatela,,3:10,N,21472,1.11,++++,
31,Wednesday May 11,boxscore,SFG,,COL,W,7,1,,19-12,3,2.0,Cobb,Kuhl,,3:14,D,23341,1.08,+++++,
32,Friday May 13,boxscore,SFG,@,STL,W,8,2,,20-12,3,0.5,Webb,Hicks,,3:06,N,39612,1.10,++++++,
33,Saturday May 14,boxscore,SFG,@,STL,L,0,4,,20-13,3,0.5,Hudson,Junis,,3:05,D,44537,1.17,-,
34,Sunday May 15,boxscore,SFG,@,STL,L,6,15,,20-14,3,1.5,Wainwright,Rodón,,3:05,N,39703,1.16,--,
