Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,TEX,,CHC,W-wo,4,3,10,1-0,1,up 1.0,Robertson,Smyly,,3:15,N,42130,.92,+,
2,Saturday Mar 30,boxscore,TEX,,CHC,W,11,2,,2-0,1,up 0.5,Bradford,Hendricks,,2:32,N,37570,.94,++,
3,Sunday Mar 31,boxscore,TEX,,CHC,L,5,9,,2-1,1,up 0.5,Neris,Leclerc,,3:02,D,32078,.98,-,
4,Monday Apr 1,boxscore,TEX,@,TBR,W,9,3,,3-1,1,up 0.5,Dunning,Pepiot,,2:34,N,14144,1.00,+,
5,Tuesday Apr 2,boxscore,TEX,@,TBR,L,2,5,,3-2,1,Tied,Eflin,Heaney,,2:23,N,11697,1.03,-,
6,Wednesday Apr 3,boxscore,TEX,@,TBR,W,4,1,,4-2,1,Tied,Eovaldi,Civale,,2:26,D,18881,1.01,+,
7,Friday Apr 5,boxscore,TEX,,HOU,W,10,2,,5-2,1,up 1.0,Bradford,Brown,,2:34,N,34583,1.10,++,
8,Saturday Apr 6,boxscore,TEX,,HOU,W,7,2,,6-2,1,up 1.0,Yates,France,Leclerc,2:58,N,39594,1.06,+++,
9,Sunday Apr 7,boxscore,TEX,,HOU,L,1,3,,6-3,1,up 1.0,Blanco,Dunning,Hader,2:23,N,35681,1.13,-,
10,Monday Apr 8,boxscore,TEX,,HOU,L,5,10,,6-4,1,Tied,Martinez,Heaney,,2:36,N,31737,1.13,--,
11,Tuesday Apr 9,boxscore,TEX,,OAK,L,3,4,,6-5,1,Tied,Kelly,Leclerc,Miller,2:23,N,18714,1.06,---,
12,Wednesday Apr 10,boxscore,TEX,,OAK,W,6,2,,7-5,1,up 1.0,Bradford,Stripling,,2:22,N,30488,1.04,+,
13,Thursday Apr 11,boxscore,TEX,,OAK,L,0,1,,7-6,1,up 0.5,Sears,Gray,Miller,2:18,D,19726,1.11,-,
14,Friday Apr 12,boxscore,TEX,@,HOU,W,12,8,,8-6,1,up 0.5,Dunning,France,,3:03,N,39842,1.05,+,
15,Saturday Apr 13,boxscore,TEX,@,HOU,L,2,9,,8-7,1,up 0.5,Abreu,Ureña,,2:47,D,38574,1.06,-,
16,Sunday Apr 14,boxscore,TEX,@,HOU,L,5,8,,8-8,1,up 0.5,Javier,Eovaldi,,2:34,D,36759,1.04,--,
17,Monday Apr 15,boxscore,TEX,@,DET,W,1,0,,9-8,1,up 0.5,Lorenzen,Olson,Yates,2:21,N,12005,1.02,+,
18,Tuesday Apr 16,boxscore,TEX,@,DET,L,2,4,,9-9,1,up 0.5,Chafin,Ureña,Foley,2:23,D,10377,1.00,-,
19,Wednesday Apr 17,boxscore,TEX,@,DET,W,5,4,,10-9,1,up 0.5,Yates,Miller,,2:37,D,10259,1.00,+,
20,Thursday Apr 18,boxscore,TEX,@,DET,W,9,7,,11-9,1,up 1.5,Leclerc,Miller,Yates,3:04,D,11339,1.04,++,
21,Friday Apr 19,boxscore,TEX,@,ATL,L,3,8,,11-10,1,up 1.0,Sale,Latz,,2:30,N,40810,1.01,-,
22,Saturday Apr 20,boxscore,TEX,@,ATL,L,2,5,,11-11,1,Tied,Morton,Eovaldi,Iglesias,2:32,N,41744,1.01,--,
23,Sunday Apr 21,boxscore,TEX,@,ATL,W,6,4,,12-11,1,up 0.5,Lorenzen,Vines,Yates,2:28,N,36581,.97,+,
24,Tuesday Apr 23,boxscore,TEX,,SEA,L,0,4,,12-12,2,0.5,Gilbert,Dunning,,2:29,N,27295,1.12,-,
25,Wednesday Apr 24,boxscore,TEX,,SEA,W,5,1,,13-12,1,up 0.5,Hernández,Miller,,2:57,N,31896,1.10,+,
