Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,TOR,@,TBR,W,8,2,,1-0,1,Tied,Berríos,Eflin,,2:33,D,25025,.97,+,
2,Friday Mar 29,boxscore,TOR,@,TBR,L,2,8,,1-1,3,1.0,Civale,Bassitt,,2:28,N,18653,1.07,-,
3,Saturday Mar 30,boxscore,TOR,@,TBR,L,1,5,,1-2,4,2.0,Littell,Kikuchi,,2:44,D,18905,.99,--,
4,Sunday Mar 31,boxscore,TOR,@,TBR,W,9,2,,2-2,3,2.0,White,Armstrong,,2:47,D,14875,.95,+,
5,Monday Apr 1,boxscore,TOR,@,HOU,L,0,10,,2-3,4,3.0,Blanco,Francis,,2:01,N,27285,.96,-,
6,Tuesday Apr 2,boxscore,TOR,@,HOU,W,2,1,,3-3,4,2.0,Green,Hader,,2:28,N,28811,.89,+,
7,Wednesday Apr 3,boxscore,TOR,@,HOU,L,0,8,,3-4,4,3.0,Javier,Bassitt,,2:45,N,26279,.92,-,
8,Friday Apr 5,boxscore,TOR,@,NYY,W,3,0,,4-4,4,2.0,García,Ferguson,Green,2:54,D,47812,.92,+,
9,Saturday Apr 6,boxscore,TOR,@,NYY,L,8,9,,4-5,4,3.0,Weaver,Gausman,Holmes,3:20,N,42250,.99,-,
10,Sunday Apr 7,boxscore,TOR,@,NYY,L,3,8,,4-6,5,4.0,Cousins,Francis,Santana,3:10,D,40569,.96,--,
11,Monday Apr 8,boxscore,TOR,,SEA,W,5,2,,5-6,4,4.0,Berríos,Castillo,,2:33,N,40069,.82,+,
12,Tuesday Apr 9,boxscore,TOR,,SEA,W,5,3,,6-6,4,4.0,Bassitt,Kirby,Green,2:53,N,31310,.89,++,
13,Wednesday Apr 10,boxscore,TOR,,SEA,L,1,6,10,6-7,5,4.0,Muñoz,Mayza,,2:40,D,22960,.90,-,
14,Friday Apr 12,boxscore,TOR,,COL,L,4,12,,6-8,5,4.5,Feltner,Gausman,,2:53,N,29035,.81,--,
15,Saturday Apr 13,boxscore,TOR,,COL,W,5,3,,7-8,5,5.0,Francis,Hudson,García,2:32,D,31472,.79,+,
16,Sunday Apr 14,boxscore,TOR,,COL,W,5,0,,8-8,5,4.0,Berríos,Freeland,,2:32,D,27481,.83,++,
17,Monday Apr 15,boxscore,TOR,,NYY,W,3,1,,9-8,3,3.0,Bassitt,Gil,García,2:23,N,30962,1.02,+++,
18,Tuesday Apr 16,boxscore,TOR,,NYY,W,5,4,,10-8,3,2.0,Kikuchi,Rodón,Romano,2:56,N,31175,1.07,++++,
19,Wednesday Apr 17,boxscore,TOR,,NYY,L,4,6,,10-9,3,3.0,González,Swanson,Holmes,3:10,D,30233,1.10,-,
20,Friday Apr 19,boxscore,TOR,@,SDP,W,5,1,,11-9,3,3.0,Francis,Waldron,,2:57,N,44890,.92,+,
21,Saturday Apr 20,boxscore,TOR,@,SDP,W,5,2,,12-9,3,2.0,Berríos,Vásquez,Romano,2:36,N,43273,.95,++,
22,Sunday Apr 21,boxscore,TOR,@,SDP,L,3,6,,12-10,4,3.0,Musgrove,Bassitt,Suarez,2:31,D,44527,.97,-,
23,Monday Apr 22,boxscore,TOR,@,KCR,W,5,3,,13-10,3,2.5,Kikuchi,Singer,Romano,2:23,N,10004,1.01,+,
24,Tuesday Apr 23,boxscore,TOR,@,KCR,L,2,3,,13-11,3,3.0,Stratton,Gausman,McArthur,2:33,N,11373,1.01,-,
25,Wednesday Apr 24,boxscore,TOR,@,KCR,L,2,3,,13-12,4,4.0,Schreiber,Rodríguez,McArthur,2:38,N,10282,1.02,--,
26,Thursday Apr 25,boxscore,TOR,@,KCR,L,1,2,5,13-13,4,4.0,Ragans,Berríos,,1:33,D,9740,.97,---,
27,Friday Apr 26,boxscore,TOR,,LAD,L,2,12,,13-14,4,4.0,Stone,Bassitt,,2:39,N,39688,.88,----,
28,Saturday Apr 27,boxscore,TOR,,LAD,L,2,4,,13-15,4,5.0,Glasnow,Kikuchi,Phillips,2:49,D,39405,.84,-----,
29,Sunday Apr 28,boxscore,TOR,,LAD,W,3,1,,14-15,4,5.0,Gausman,Grove,Romano,2:20,D,39053,.80,+,
30,Monday Apr 29,boxscore,TOR,,KCR,W,6,5,,15-15,4,4.0,Cabrera,Bowlan,Pearson,2:56,N,29879,.88,++,
31,Tuesday Apr 30,boxscore,TOR,,KCR,L,1,4,,15-16,4,5.0,Ragans,Berríos,McArthur,2:19,N,27189,.91,-,
32,Wednesday May 1,boxscore,TOR,,KCR,L,1,6,,15-17,4,5.0,Lugo,Bassitt,,2:19,D,32307,.89,--,
33,Friday May 3,boxscore,TOR,@,WSN,L,3,9,,15-18,4,6.5,Barnes,Swanson,,2:49,N,22856,.75,---,
34,Saturday May 4,boxscore,TOR,@,WSN,W,6,3,,16-18,4,6.5,Gausman,Irvin,,2:59,D,22836,.69,+,
35,Sunday May 5,boxscore,TOR,@,WSN,L,8,11,,16-19,5,7.5,Harvey,Cabrera,Finnegan,3:01,D,18363,.74,-,
36,Tuesday May 7,boxscore,TOR,@,PHI,L,1,10,,16-20,5,7.5,Sánchez,Berríos,,2:35,N,39492,.65,--,
37,Wednesday May 8,boxscore,TOR,@,PHI,W,5,3,,17-20,5,7.5,Bassitt,Nola,Romano,3:01,D,34681,.64,+,
38,Friday May 10,boxscore,TOR,,MIN,L,2,3,,17-21,5,8.5,Ryan,Kikuchi,Jax,2:24,N,34205,.72,-,
39,Saturday May 11,boxscore,TOR,,MIN,W,10,8,,18-21,5,8.5,Swanson,Jackson,Romano,3:08,D,35069,.68,+,
40,Sunday May 12,boxscore,TOR,,MIN,L,1,5,,18-22,5,8.5,Ober,Manoah,,2:20,D,32200,.69,-,
41,Monday May 13,boxscore,TOR,@,BAL,W,3,2,10,19-22,5,7.5,Romano,Webb,,2:42,N,24358,.70,+,
42,Wednesday May 15,boxscore,TOR,@,BAL,L-wo,2,3,,19-23,5,9.0,Coulombe,Romano,,3:05,D,29578,.75,-,
43,Friday May 17,boxscore,TOR,,TBR,L,3,4,,19-24,5,10.5,Alexander,Bassitt,Fairbanks,2:40,N,32640,.63,--,
44,Saturday May 18,boxscore,TOR,,TBR,L,4,5,,19-25,5,11.5,Ramírez,Pearson,Cleavinger,2:42,D,34416,.56,---,
45,Sunday May 19,boxscore,TOR,,TBR,W,5,2,,20-25,5,11.5,Manoah,Civale,Romano,2:27,D,35840,.49,+,
46,Monday May 20,boxscore,TOR,,CHW,W,9,3,,21-25,5,10.5,Berríos,Fedde,,2:35,D,36993,.50,++,
47,Tuesday May 21,boxscore,TOR,,CHW,L,0,5,,21-26,5,10.5,Crochet,Kikuchi,,2:21,N,28176,.58,-,
48,Wednesday May 22,boxscore,TOR,,CHW,W,9,2,,22-26,5,10.5,Bassitt,Nastrini,,2:43,N,28670,.52,+,
49,Thursday May 23,boxscore,TOR,@,DET,W,9,1,,23-26,5,10.5,Gausman,Flaherty,,2:30,N,17049,.59,++,
50,Friday May 24,boxscore,TOR,@,DET,L,2,6,,23-27,5,11.5,Maeda,Manoah,Foley,2:37,N,27160,.64,-,
51,Saturday May 25,boxscore,TOR,@,DET,L,1,2,,23-28,5,12.5,Olson,Berríos,Holton,2:04,D,35321,.57,--,
52,Sunday May 26,boxscore,TOR,@,DET,L-wo,11,14,,23-29,5,12.5,Englert,Romano,,3:19,D,27627,.51,---,
53,Monday May 27,boxscore,TOR,@,CHW,W,5,1,,24-29,5,12.0,Bassitt,Nastrini,,2:40,D,14993,.44,+,
54,Tuesday May 28,boxscore,TOR,@,CHW,W,7,2,,25-29,5,11.0,Gausman,Woodford,,2:48,N,11852,.44,++,
55,Wednesday May 29,boxscore,TOR,@,CHW,W,3,1,,26-29,5,11.0,Richards,Flexen,Romano,2:31,N,11599,.51,+++,
56,Friday May 31,boxscore,TOR,,PIT,W-wo,5,3,14,27-29,4,11.5,Cabrera,Nicolas,,3:46,N,33356,.53,++++,
57,Saturday Jun 1,boxscore,TOR,,PIT,L,1,8,,27-30,4,12.5,Keller,Kikuchi,Ortiz,2:28,D,36484,.58,-,
58,Sunday Jun 2,boxscore,TOR,,PIT,W,5,4,,28-30,4,12.5,Bassitt,Priester,García,2:57,D,34887,.51,+,
59,Monday Jun 3,boxscore,TOR,,BAL,L,2,7,,28-31,5,13.0,Rodriguez,Gausman,,2:30,N,23842,.60,-,
60,Tuesday Jun 4,boxscore,TOR,,BAL,L,1,10,,28-32,5,14.0,Burnes,Cabrera,,2:39,N,28816,.54,--,
61,Wednesday Jun 5,boxscore,TOR,,BAL,W-wo,3,2,,29-32,5,14.0,García,Kimbrel,,2:32,N,27929,.43,+,
62,Thursday Jun 6,boxscore,TOR,,BAL,W,6,5,,30-32,5,14.0,Kikuchi,Povich,García,2:26,D,39215,.52,++,
63,Friday Jun 7,boxscore,TOR,@,OAK,L-wo,1,2,,30-33,5,14.0,Miller,Green,,2:07,N,16046,.53,-,
64,Saturday Jun 8,boxscore,TOR,@,OAK,W,7,0,,31-33,4,13.0,Gausman,Medina,,2:27,D,9285,.49,+,
65,Sunday Jun 9,boxscore,TOR,@,OAK,W,6,4,10,32-33,4,13.0,García,Adams,Cabrera,2:32,D,11276,.53,++,
66,Monday Jun 10,boxscore,TOR,@,MIL,L,1,3,,32-34,4,14.0,Rea,Berríos,Megill,2:13,N,24381,.55,-,
67,Tuesday Jun 11,boxscore,TOR,@,MIL,W,3,0,,33-34,3,14.0,Kikuchi,Rodriguez,García,2:37,N,25253,.51,+,
68,Wednesday Jun 12,boxscore,TOR,@,MIL,L,4,5,,33-35,4,15.0,Myers,Pop,Megill,2:37,D,30444,.58,-,
69,Friday Jun 14,boxscore,TOR,,CLE,L,1,3,,33-36,4,15.5,Allen,Gausman,Clase,2:22,N,36790,.55,--,
70,Saturday Jun 15,boxscore,TOR,,CLE,W,5,0,,34-36,4,14.5,Francis,Carrasco,,2:23,D,39318,.49,+,
71,Sunday Jun 16,boxscore,TOR,,CLE,W,7,6,,35-36,4,13.5,Berríos,Lively,Pearson,2:48,D,40043,.54,++,
72,Monday Jun 17,boxscore,TOR,,BOS,L,3,7,,35-37,4,14.0,Pivetta,Kikuchi,Jansen,2:43,N,29907,.61,-,
73,Tuesday Jun 18,boxscore,TOR,,BOS,L,3,4,,35-38,4,15.0,Kelly,Little,Jansen,2:56,N,38595,.55,--,
74,Wednesday Jun 19,boxscore,TOR,,BOS,L,3,7,,35-39,4,15.0,Bello,Gausman,,2:54,N,38906,.48,---,
75,Friday Jun 21,boxscore,TOR,@,CLE,L,1,7,,35-40,5,14.5,Carrasco,Rodríguez,,2:33,N,35868,.39,----,
76,Saturday Jun 22,boxscore,TOR,@,CLE,L,3,6,,35-41,5,15.5,Lively,Berríos,Clase,2:22,D,37133,.38,-----,
77,Sunday Jun 23,boxscore,TOR,@,CLE,L,5,6,,35-42,5,15.5,Herrin,Kikuchi,Clase,3:01,D,27479,.31,------,
78,Monday Jun 24,boxscore,TOR,@,BOS,L-wo,6,7,,35-43,5,16.0,Jansen,Pop,,2:37,N,35856,.30,-------,
79,Tuesday Jun 25,boxscore,TOR,@,BOS,W,9,4,,36-43,5,15.0,Gausman,Bello,,2:45,N,34546,.26,+,
80,Wednesday Jun 26,boxscore,TOR,@,BOS,W,4,1,,37-43,5,14.0,Pop,Pivetta,Green,2:36,D,34756,.32,++,
81,Thursday Jun 27,boxscore,TOR,,NYY,W,9,2,,38-43,5,13.0,Berríos,Rodón,,2:32,N,36423,.29,+++,
82,Friday Jun 28,boxscore,TOR,,NYY,L,5,16,,38-44,5,14.0,Tonkin,Kikuchi,,3:08,N,34791,.30,-,
83,Saturday Jun 29,boxscore,TOR,,NYY,W,9,3,,39-44,5,14.0,Bassitt,Cortés,,2:51,D,37448,.26,+,
84,Sunday Jun 30,boxscore,TOR,,NYY,L,1,8,,39-45,5,14.0,Cole,Gausman,,2:54,D,38534,.27,-,
85,Monday Jul 1,boxscore,TOR,,HOU,L,1,3,,39-46,5,14.5,Brown,Rodríguez,Hader,2:16,D,39265,.25,--,
86,Tuesday Jul 2,boxscore,TOR,,HOU,W,7,6,,40-46,5,14.5,Berríos,Arrighetti,Green,2:24,N,26308,.20,+,
87,Wednesday Jul 3,boxscore,TOR,,HOU,L,2,9,,40-47,5,15.5,Scott,Pop,,2:48,N,28570,.21,-,
88,Thursday Jul 4,boxscore,TOR,,HOU,L,3,5,,40-48,5,15.5,Valdez,Bassitt,Hader,2:37,D,38234,.19,--,
89,Friday Jul 5,boxscore,TOR,@,SEA,L,1,2,,40-49,5,16.5,Castillo,Gausman,Muñoz,2:27,N,34493,.15,---,
90,Saturday Jul 6,boxscore,TOR,@,SEA,W,5,4,,41-49,5,15.5,Rodríguez,Hancock,Green,2:53,D,38264,.12,+,
91,Sunday Jul 7,boxscore,TOR,@,SEA,W,5,4,10,42-49,5,15.5,Green,Snider,Cabrera,3:22,D,34885,.15,++,
92,Tuesday Jul 9,boxscore,TOR,@,SFG,L-wo,3,4,,42-50,5,15.5,Miller,Richards,,2:27,N,32924,.14,-,
