Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 7,boxscore,WSN,,NYM,L,1,5,,0-1,4,1.0,Megill,Corbin,,3:31,N,35052,.96,-,
2,Friday Apr 8,boxscore,WSN,,NYM,L,3,7,,0-2,5,2.0,Scherzer,Gray,,3:43,N,25677,.92,--,
3,Saturday Apr 9,boxscore,WSN,,NYM,L,0,5,,0-3,5,3.0,Bassitt,Adon,,3:14,N,21369,.90,---,
4,Sunday Apr 10,boxscore,WSN,,NYM,W,4,2,,1-3,5,2.0,Finnegan,Williams,Rainey,3:01,D,23158,.81,+,
5,Monday Apr 11,boxscore,WSN,@,ATL,W,11,2,,2-3,3,1.5,Rogers,Ynoa,,3:33,N,42263,.86,++,
6,Tuesday Apr 12,boxscore,WSN,@,ATL,L,4,16,,2-4,4,2.0,Elder,Corbin,Stephens,3:37,N,31462,.91,-,
7,Wednesday Apr 13,boxscore,WSN,@,ATL,W,3,1,,3-4,3,2.0,Gray,Fried,Rainey,2:57,D,31959,.91,+,
8,Thursday Apr 14,boxscore,WSN,@,PIT,L,4,9,,3-5,3,2.5,Contreras,Adon,,3:37,N,9266,.91,-,
9,Friday Apr 15,boxscore,WSN,@,PIT,W,7,2,,4-5,2,2.5,Fedde,Keller,,3:14,N,13076,.85,+,
10,Saturday Apr 16,boxscore,WSN,@,PIT,L,4,6,,4-6,4,2.5,Peters,Rogers,,3:25,N,8676,.93,-,
11,Sunday Apr 17,boxscore,WSN,@,PIT,L,3,5,,4-7,5,3.5,Hembree,Cishek,Bednar,3:20,D,8735,.89,--,
12,Tuesday Apr 19 (1),boxscore,WSN,,ARI,W,6,1,,5-7,2,3.5,Gray,Bumgarner,,3:08,D,9261,.81,+,2022-04-18 (Rain)
13,Tuesday Apr 19 (2),boxscore,WSN,,ARI,W,1,0,,6-7,2,3.5,Adon,Gilbert,Rainey,2:31,N,11720,.84,++,
14,Wednesday Apr 20,boxscore,WSN,,ARI,L,2,11,,6-8,2,3.5,Kelly,Fedde,,3:12,N,15774,.90,-,
15,Thursday Apr 21,boxscore,WSN,,ARI,L,3,4,,6-9,4,4.5,Davies,Rogers,Melancon,3:00,D,14424,.85,--,
16,Friday Apr 22,boxscore,WSN,,SFG,L,1,7,,6-10,5,5.5,Junis,Corbin,,2:53,N,23751,.83,---,
17,Saturday Apr 23,boxscore,WSN,,SFG,L,2,5,,6-11,5,5.5,Wood,Sanchez,Doval,2:48,D,27799,.72,----,
18,Sunday Apr 24,boxscore,WSN,,SFG,L,3,12,,6-12,5,6.5,Webb,Adon,,3:19,D,26003,.70,-----,
